4c4fa17a8b66b2be66137b9b7f32e5a9f4a8f5ef85a93534faaae4e267489d0a,740722863a39991562f99b10f459623d42f14bc51d7f63061468779d3b1a5aee
"1","1001"
"1","1002"
"1","1003"
"1","1004"
"1","1005"
"1","1006"
"2","1007"
"2","1008"
"2","1009"
"2","1010"
"1","1011"
"1","1012"
"1","1013"
"2","1014"
"1","1015"
"1","1016"
"3","1017"
"1","1018"
"2","1020"
"1","1021"
"1","1022"
"1","1023"
"1","1025"
"1","1026"
"1","1027"
"1","1028"
"1","1029"
"2","1030"
"2","1031"
"1","1032"
"1","1033"
"1","1034"
"2","1036"
"1","1037"
"2","1038"
"1","1040"
"2","1042"
"1","1043"
"2","1044"
"1","1045"
"1","1046"
"1","1048"
"1","1049"
"1","1050"
"1","1051"
"2","1053"
"1","1054"
"1","1055"
"2","1056"
"1","1057"
"1","1058"
"2","1059"
"2","1060"
"1","1061"
"1","1063"
"2","1064"
"3","1065"
"1","1066"
"2","1067"
"1","1068"
"2","1069"
"2","1070"
"2","1071"
"1","1075"
"2","1076"
"1","1077"
"2","1078"
"1","1079"
"1","1080"
"2","1081"
"2","1082"
"1","1083"
"2","1084"
"1","1085"
"1","1086"
"1","1087"
"1","1088"
"1","1089"
"1","1090"
"1","1091"
"2","1092"
"1","1093"
"2","1094"
"1","1095"
"2","1096"
"2","1097"
"2","1098"
"2","1099"
"1","1100"
"1","1101"
"1","1103"
"1","1104"
"3","1105"
"2","1106"
"1","1107"
"1","1108"
"2","1109"
"2","1110"
"2","1111"
"1","1112"
"2","1113"
"2","1114"
"2","1115"
"1","1116"
"2","1117"
"1","1118"
"2","1119"
"2","1120"
"1","1121"
"2","1122"
"2","1123"
"1","1124"
"1","1125"
"1","1126"
"1","1127"
"1","1128"
"1","1129"
"1","1130"
"2","1131"
"2","1132"
"1","1133"
"1","1134"
"1","1135"
"1","1136"
"1","1137"
"1","1138"
"1","1139"
"1","1140"
"1","1141"
"2","1142"
"1","1143"
"1","1144"
"1","1145"
"1","1146"
"1","1147"
"2","1150"
"2","1155"
"1","1156"
"2","1157"
"1","1158"
"1","1159"
"2","1160"
"1","1162"
"2","1163"
"2","1164"
"1","1165"
"3","1166"
"1","1167"
"1","1168"
"1","1169"
"1","1170"
"1","1171"
"1","1172"
"2","1173"
"1","1174"
"1","1175"
"2","1176"
"3","1177"
"2","1178"
"1","1179"
"2","1180"
"2","1181"
"2","1182"
"1","1183"
"2","1184"
"2","1185"
"1","1190"
"1","1191"
"1","1192"
"1","1193"
"2","1199"
"1","1200"
"2","1204"
"1","1205"
"2","1206"
"2","1207"
"2","1208"
"2","1209"
"1","1210"
"2","1211"
"1","1212"
"1","1213"
"1","1214"
"1","1215"
"1","1216"
"1","1217"
"1","1218"
"2","1219"
"2","1220"
"1","1221"
"1","1222"
"2","1223"
"1","1224"
"1","1225"
"1","1226"
"2","1227"
"1","1228"
"2","1229"
"2","1230"
"2","1231"
"1","1232"
"4","1233"
"1","1235"
"1","1236"
"1","1237"
"2","1238"
"1","1239"
"1","1240"
"1","1241"
"1","1242"
"2","1243"
"2","1244"
"2","1245"
"1","1246"
"1","1247"
"1","1248"
"3","1249"
"1","1250"
"1","1251"
"2","1252"
"2","1253"
"2","1254"
"1","1255"
"2","1256"
"2","1257"
"2","1258"
"2","1260"
"2","1261"
"2","1262"
"2","1263"
"2","1264"
"2","1265"
"2","1266"
"1","1267"
"1","1268"
"2","1269"
"1","1270"
"2","1271"
"2","1272"
"1","1273"
"1","1275"
"2","1276"
"2","1277"
"2","1278"
"1","1279"
"2","1280"
"1","1281"
"1","1282"
"1","1283"
"1","1284"
"2","1285"
"1","1287"
"1","1288"
"1","1289"
"1","1290"
"2","1293"
"1","1294"
"2","1295"
"2","1296"
"4","1297"
"1","1298"
"1","1299"
"1","1300"
"1","1301"
"1","1302"
"2","1307"
"1","1308"
"2","1309"
"2","1310"
"4","1311"
"2","1312"
"2","1316"
"2","1317"
"2","1318"
"2","1319"
"2","1320"
"2","1321"
"1","1322"
"2","1323"
"1","1324"
"2","1325"
"2","1328"
"1","1329"
"2","1330"
"2","1331"
"2","1332"
"1","1335"
"2","1336"
"1","1337"
"2","1338"
"2","1339"
"2","1343"
"2","1344"
"2","1345"
"1","1346"
"2","1347"
"1","1348"
"1","1349"
"1","1350"
"2","1351"
"2","1352"
"2","1353"
"2","1354"
"1","1355"
"1","1356"
"1","1357"
"2","1358"
"2","1359"
"1","1361"
"1","1362"
"2","1363"
"1","1364"
"1","1365"
"2","1371"
"2","1374"
"2","1376"
"1","1379"
"2","1380"
"1","1381"
"4","1382"
"1","1383"
"1","1387"
"2","1388"
"1","1701"
"1","1801"
"1","1802"
"1","1803"
"1","1804"
"2","1805"
"2","1806"
"2","1812"
