1e04b93982575e169d43b3f813efeb003a48f4c43dd0be2009442c263808da85,731d690e07afe611d6854edf17c5a04ba02f5d4a130b75640f32d604de27d85f,b1d86ba1ace1fdd18509fd6e0105715acf4fe9d2aeafe57a27598d24f45edfc9
"6101321","118001","1"
"6101322","105801","2"
"6101323","107501","3"
"6101324","111801","4"
"6101325","121001","5"
"6101326","180401","6"
"6101327","127901","7"
"6101341","106601","8"
"6101341","116501","9"
"6101341","121601","10"
"6101341","128301","11"
"6101341","180701","12"
"6101342","101401","13"
"6101342","101201","14"
"6101342","112201","15"
"6101342","115701","16"
"6101342","113401","17"
"6101342","128401","18"
"6101343","106601","19"
"6101343","116501","20"
"6101343","121601","21"
"6101343","128301","22"
"6101344","101401","23"
"6101344","101201","24"
"6101344","112201","25"
"6101344","115701","26"
"6101344","113401","27"
"6101344","128401","28"
"6101345","180701","29"
"6101361","100101","30"
"6101361","100301","31"
"6101361","108701","32"
"6101362","122401","33"
"6101362","180101","34"
"6101362","128701","35"
"6101361","108901","36"
"6101362","114001","37"
"6101362","122501","38"
"6101362","180301","39"
"6101362","128801","40"
"6101363","100201","41"
"6101363","108801","42"
"6101363","115601","43"
"6101363","122601","44"
"6101363","180201","45"
"6101363","128901","46"
"6101364","100101","47"
"6101364","100301","48"
"6101364","100201","49"
"6101364","108701","50"
"6101364","108901","51"
"6101364","108801","52"
"6101365","100101","53"
"6101365","108701","54"
"6101365","122401","55"
"6101365","180101","56"
"6101365","128701","57"
"6101366","100201","58"
"6101366","100301","59"
"6101366","108801","60"
"6101366","115601","61"
"6101366","122601","62"
"6101366","180201","63"
"6101366","128901","64"
"6101366","108901","65"
"6101366","114001","66"
"6101366","122501","67"
"6101366","180301","68"
"6101366","128801","69"
"6101367","108901","70"
"6101368","100201","71"
"6101368","108801","72"
"6101402","110801","73"
"6101401","110901","74"
"6101401","116301","75"
"6101402","110801","76"
"6101402","116201","77"
"6101403","111001","78"
"6101403","116401","79"
"6101403","129301","80"
"6101404","110901","81"
"6101405","116301","82"
"6101421","102701","83"
"6101421","104301","84"
"6101421","109001","85"
"6101421","117001","86"
"6101421","110401","87"
"6101421","115901","88"
"6101421","129801","89"
"6101422","102701","90"
"6101423","104301","91"
"6101424","109001","92"
"6101441","103601","93"
"6101441","130701","94"
"6101442","111101","95"
"6101442","122701","96"
"6101443","102501","97"
"6101443","107701","98"
"6101443","112101","99"
"6101444","180801","100"
"6101461","101001","101"
"6101461","110601","102"
"6101461","123101","103"
"6101461","131001","104"
"6101462","101001","105"
"6101462","110601","106"
"6101462","116001","107"
"6101463","123101","108"
"6101464","110601","109"
"6101464","131001","110"
"6101465","102301","111"
"6101465","106601","112"
"6101465","102101","113"
"6101465","126401","114"
"6101466","126101","115"
"6101467","110601","116"
"6101468","116001","117"
"6101469","131001","118"
"6101481","123301","119"
"6101481","125801","120"
"6101481","131101","121"
"6101482","118201","122"
"6101482","118101","123"
"6101482","131201","124"
"6101482","126901","125"
"6101483","123301","126"
"6101483","131101","127"
"6101484","118101","128"
"6101484","125801","129"
"6101485","118201","130"
"6101485","126901","131"
"6101501","123001","132"
"6101501","106701","133"
"6101501","131701","134"
"6101502","127001","135"
"6101502","113601","136"
"6101502","107501","137"
"6101502","122801","138"
"6101502","122501","139"
"6101503","106701","140"
"6101503","131701","141"
"6101504","123001","142"
"6101504","106701","143"
