7eaa81149c2b7f87b4e261f8b4ca1d6b3755e636e83eca06e374def37a5a162c,0dbee9d294b348b10b1a798518f9402b3286b6ddafefdcf2decb5145010bb92f,a0451eed5b4f63c4d6e150243f29ec61710d67a42fbce64bf988495b5df712b9,0f22b2b88bbd56ba0596decf8bd1a20030a1987593bff091548fd28bf6364b5f,c96f6261188e3d05111095dad9ec17a79f23ea4125f2cd84732df71c2b9ce3a2,8db7632423c9421aa5a62e52b91938d6fd063a78081d51c72aacc7cb08ca1c82,f9e54be707aa7912602b9d208cc1596f413b60200dff136c8190bf8023a91213,8201f16995cf4b959afa6b672c40f52d2ad2180dac6d06ae48cfcd72ff16adfc
"101431","1","101101","101581","100101","101281","101071","101101"
"102431","2","102101","101581","100101","102341","101101","102071"
"102432","3","103071","102581","100101","102342","102071","102101"
"103431","4","103101","102582","100101","103341","102101","103071"
"103432","5","103072","103581","100101","103342","103071","103101"
"103432","6","104101","103582","100101","103343","103552","103072"
"103583","7","104102","103552","100101","104341","103072","104101"
"104101","8","104103","103553","100101","104342","104551","104102"
"104102","9","104104","104551","100101","104343","104552","104103"
"104103","10","105101","104552","100101","104284","104553","104104"
"104344","11","105102","104554","100101","105341","105551","105101"
"105341","12","105103","105551","100101","105282","105552","105102"
"105342","13","105104","105552","100101","105343","105553","105103"
"105343","14","105105","105553","100101","105344","105554","105104"
"105344","15","105106","105554","100101","105285","105555","105105"
"105285","16","105107","105555","100101","105286","105556","105106"
"105286","17","106101","105556","100101","105287","105557","105107"
"105287","18","106102","105557","100101","106281","106551","106101"
"106281","19","106103","106551","100101","106282","106552","106102"
"106282","20","107101","106552","100101","106283","106553","106103"
"106283","21","107102","106553","100101","107281","107551","107101"
"107281","22","107103","107551","100101","107282","107552","107102"
"107282","23","108101","107552","100101","107283","107553","107103"
"107283","24","108102","107553","100101","108401","108551","108101"
"108401","25","108103","108551","100101","108312","108552","108102"
"108312","26","108104","108552","100101","108403","108553","108103"
"108403","27","109101","108553","100101","108494","108554","108104"
"108494","28","109102","108554","100101","109401","109551","109101"
"109401","29","109103","109551","100101","109282","109552","109102"
"109282","30","109104","109552","100101","109493","109553","109103"
"109493","31","10010032","109553","100101","109494","109554","109104"
"109494","32","10010033","109554","100101","10028032","10055032","10010032"
"10028032","33","10010034","10055032","100101","10028033","10055033","10010033"
"10028033","34","10010035","10055033","100101","10028034","10055034","10010034"
"10028034","35","10010036","10055034","100101","10028035","10055035","10010035"
"10028035","36","10010037","10055035","100101","10028036","10055036","10010036"
"10028036","37","10010038","10055036","100101","10028037","10055037","10010037"
"10028037","38","999999","10055037","100101","999999","10055038","10010038"
"101521","1","101251","101581","100201","101371","101611","101251"
"102461","2","102252","101611","100201","102371","101611","102251"
"102521","3","103251","102581","100201","102372","102612","102252"
"103521","4","103252","102614","100201","103521","102613","103251"
"103461","5","103222","103581","100201","103371","103612","103252"
"103522","6","104251","103613","100201","103372","103613","103222"
"103614","7","104252","103461","100201","104371","103614","104251"
"104461","8","104253","103614","100201","104372","104611","104252"
"104522","9","104254","104611","100201","104523","104612","104253"
"104523","10","105251","104612","100201","104373","104613","104254"
"104373","11","105252","104613","100201","105371","105581","105251"
"105371","12","105253","105581","100201","105522","105582","105252"
"105372","13","105254","105582","100201","105462","105583","105253"
"105373","14","105255","105583","100201","105374","105584","105254"
"105374","15","105256","105584","100201","105463","105585","105255"
"105463","16","105257","105585","100201","105524","105586","105256"
"105524","17","106251","105586","100201","105464","105587","105257"
"105464","18","106252","105587","100201","106461","106581","106251"
"106461","19","106253","106581","100201","106521","106582","106252"
"106372","20","107251","106582","100201","106462","106583","106253"
"106462","21","107252","106583","100201","107461","107581","107251"
"107461","22","107253","107581","100201","107462","107582","107252"
"107462","23","108251","107582","100201","107463","107583","107253"
"107463","24","108252","107583","100201","108371","108581","108251"
"108371","25","108253","108581","100201","108372","108582","108252"
"108372","26","108254","108582","100201","108373","108583","108253"
"108373","27","109251","108583","100201","108374","108584","108254"
"108374","28","109252","108584","100201","109371","109581","109251"
"109371","29","109253","109581","100201","109372","109582","109252"
"109372","30","109254","109582","100201","109373","109583","109253"
"109373","31","10025032","109583","100201","109374","109584","109254"
"109374","32","10025033","109584","100201","10037032","10058032","10025032"
"10037032","33","10025034","10058032","100201","10037033","10058033","10025033"
"10037033","34","10025035","10058033","100201","10037034","10058034","10025034"
"10037034","35","10025036","10058034","100201","10037035","10058035","10025035"
"10037035","36","10025037","10058035","100201","10037036","10058036","10025036"
"10037036","37","10025038","10058036","100201","10037037","10058037","10025037"
"10037037","38","999999","10058037","100201","999999","10058038","10025038"
"101401","1","101011","101581","100301","101281","101071","101011"
"102493","2","102014","101551","100301","102311","101071","102011"
"102401","3","103011","102551","100301","102282","102071","102014"
"103581","4","103012","102552","100301","103311","102582","103011"
"103401","5","103013","103551","100301","103282","103071","103012"
"103401","6","104011","103552","100301","103283","103552","103013"
"103553","7","104012","103582","100301","104311","103072","104011"
"104401","8","104013","103553","100301","104312","104551","104012"
"104432","9","104014","104551","100301","104402","104552","104013"
"104402","10","105011","104552","100301","104284","104554","104014"
"104284","11","105012","104553","100301","105281","105551","105011"
"105281","12","105013","105551","100301","105431","105552","105012"
"105282","13","105014","105552","100301","105343","105553","105013"
"105283","14","105015","105553","100301","105314","105554","105014"
"105284","15","105016","105554","100301","105285","105555","105015"
"105285","16","105017","105555","100301","105286","105556","105016"
"105286","17","106011","105556","100301","105287","105557","105017"
"105287","18","106012","105557","100301","106281","106551","106011"
"106281","19","106013","106551","100301","106282","106552","106012"
"106282","20","107011","106552","100301","106343","106553","106013"
"106343","21","107012","106553","100301","107341","107551","107011"
"107341","22","107013","107551","100301","107342","107552","107012"
"107342","23","108011","107552","100301","107343","107553","107013"
"107343","24","108012","107553","100301","108431","108551","108011"
"108431","25","108013","108551","100301","108492","108552","108012"
"108492","26","108014","108552","100301","108343","108553","108013"
"108343","27","109011","108553","100301","108494","108554","108014"
"108494","28","109012","108554","100301","109401","109551","109011"
"109401","29","109013","109551","100301","109402","109552","109012"
"109402","30","109014","109552","100301","109493","109553","109013"
"109493","31","10001032","109553","100301","109494","109554","109014"
"109494","32","10001033","109554","100301","10040032","10055032","10001032"
"10040032","33","10001034","10055032","100301","10040033","10055033","10001033"
"10040033","34","10001035","10055033","100301","10049034","10055034","10001034"
"10049034","35","10001036","10055034","100301","10040035","10055035","10001035"
"10040035","36","10001037","10055035","100301","10040036","10055036","10001036"
"10040036","37","10001038","10055036","100301","10049037","10055037","10001037"
"10049037","38","999999","10055037","100301","999999","10055038","10001038"
"101431","1","101101","101581","100401","101281","101581","101101"
"102431","2","102101","101581","100401","102341","101581","102071"
"102432","3","103071","102581","100401","102342","102581","102101"
"103431","4","103101","102582","100401","103341","102582","103071"
"103432","5","103072","103581","100401","103342","103551","103101"
"103432","6","104101","103582","100401","103343","103552","103072"
"103583","7","104102","103552","100401","104341","103583","104101"
"104431","8","104103","103583","100401","104342","104581","104102"
"104432","9","104104","104581","100401","104343","104582","104103"
"104343","10","105101","104582","100401","104433","104583","104104"
"104433","11","105102","104583","100401","105401","105581","105101"
"105401","12","105103","105581","100401","105312","105552","105102"
"105431","13","105104","105582","100401","105283","105553","105103"
"105491","14","105105","105583","100401","105432","105554","105104"
"105432","15","105106","105584","100401","105345","105555","105105"
"105345","16","105107","105585","100401","105346","105556","105106"
"105346","17","106101","105586","100401","105347","105557","105107"
"105347","18","106102","105587","100401","106281","106551","106101"
"106281","19","106103","106581","100401","106282","106552","106102"
