4f861c1b612232fc4b6992e89aa094eaa42907e5bbe75562a871ee8b9ae16c39,338322ddcafc18af484735dadaf812ad295194f9ed2d1ec27188a63a7935db89,25b65a498541398bb7d92d7c0a5814b1282232766cafdd1ec3669a8a9b42cc51,54e1e158e43916d9db921e57b0582e63abab2ba73491c764fe4bcf39c195719a,61f866f1b93bc9f28b3a4130289f2e541c1bd65036602ee105d23935eecc125a,6e9822fa90a8b8e57f90ac69a0dfe315b96c78f3bc36c86b0021a74bd38c0388,e810697b581e4dcab927d92a04285b76437ed73ec2a214b48902dad4d2384df0,bee6e7f774296c5d851095e617c2eb6dc0ef217d67a0455d835312cc951c21d7,118c3b6d40bd3c9e63ddf71333301041527eb2d78045f549466c5c5cd339ceb6,a5927ce7d51fa46d35aaa34c4f8cf5a2cf47db80bef007003feb8685bdea790b,b08ff5d33372d1147b061040e22e50f74ccf8c6bcb9cae4afdf4787b6feebfe6
"1","1","1013","3","0","1","2","1","1","1","通關難度1以上1次"
"2","1","1013","5","0","1","2","2","2","2","通關難度2以上1次"
"3","1","1013","5","0","1","2","3","3","3","通關難度3以上1次"
"4","1","1013","5","0","1","2","4","4","4","通關難度4以上1次"
"5","1","1013","5","0","1","2","5","5","5","通關難度5 1次"
"6","10","1013","0","0","1","3","0","6","6","累積收集10個迷宮遺物"
"7","50","1013","0","0","1","3","0","7","7","累積收集50個迷宮遺物"
"8","100","1013","0","0","1","3","0","8","8","累積收集100個迷宮遺物"
"9","10","1013","0","0","1","4","0","9","9","累積邀請10名角色"
"10","50","1013","0","0","1","4","0","10","10","累積邀請50名角色"
"11","100","1013","0","0","1","4","0","11","11","累積邀請100名角色"
"12","150","1013","0","0","1","4","0","12","12","累積邀請150名角色"
"13","1","1013","0","0","1","5","0","13","13","以始源強化解放1個節點"
"14","5","1013","0","0","1","5","0","14","14","以始源強化解放5個節點"
"15","10","1013","0","0","1","5","0","15","15","以始源強化解放10個節點"
"16","15","1013","0","0","1","5","0","16","16","以始源強化解放15個節點"
"17","20","1013","0","0","1","5","0","17","17","以始源強化解放20個節點"
"18","25","1013","0","0","1","5","0","18","18","以始源強化解放25個節點"
"19","30","1013","0","0","1","5","0","19","19","以始源強化解放30個節點"
"20","40","1013","0","0","1","5","0","20","20","以始源強化解放40個節點"
"21","3","1013","5","0","1","2","2","21","21","通關難度2以上3次（不含掃蕩）"
"22","5","1013","5","0","1","2","2","22","22","通關難度2以上5次（不含掃蕩）"
"23","10","1013","5","0","1","2","2","23","23","通關難度2以上10次（不含掃蕩）"
"24","12","1013","5","0","1","2","2","24","24","通關難度2以上12次（不含掃蕩）"
"25","14","1013","5","0","1","2","2","25","25","通關難度2以上14次（不含掃蕩）"
"26","16","1013","5","0","1","2","2","26","26","通關難度2以上16次（不含掃蕩）"
"27","18","1013","5","0","1","2","2","27","27","通關難度2以上18次（不含掃蕩）"
"28","20","1013","5","0","1","2","2","28","28","通關難度2以上20次（不含掃蕩）"
"29","1","1013","20","0","1","6","0","29","29","以累積邀請20名以上角色的狀態通關"
"30","1","1013","25","0","1","6","0","30","30","以累積邀請25名以上角色的狀態通關"
"31","1","1013","30","0","1","6","0","31","31","以累積邀請30名以上角色的狀態通關"
"32","1","1013","15","0","1","8","0","32","32","以持有15個以上迷宮遺物的狀態通關"
"33","1","1013","20","0","1","8","0","33","33","以持有20個以上迷宮遺物的狀態通關"
"34","1","1013","25","0","1","8","0","34","34","以持有25個以上迷宮遺物的狀態通關"
"35","1","1014","5","1","2","2","3","35","35","【美食殿堂】通關難度3以上1次"
"36","1","1014","5","1","2","2","4","36","36","【美食殿堂】通關難度4以上1次"
"37","1","1014","5","1","2","2","5","37","37","【美食殿堂】通關難度5 1次"
"38","1","1014","5","2","2","2","3","38","38","【破曉之星】通關難度3以上1次"
"39","1","1014","5","2","2","2","4","39","39","【破曉之星】通關難度4以上1次"
"40","1","1014","5","2","2","2","5","40","40","【破曉之星】通關難度5 1次"
"41","1","1014","5","3","2","2","3","41","41","【咲戀育幼院】通關難度3以上1次"
"42","1","1014","5","3","2","2","4","42","42","【咲戀育幼院】通關難度4以上1次"
"43","1","1014","5","3","2","2","5","43","43","【咲戀育幼院】通關難度5 1次"
"44","1","1014","5","4","2","2","3","44","44","【王宮騎士團】通關難度3以上1次"
"45","1","1014","5","4","2","2","4","45","45","【王宮騎士團】通關難度4以上1次"
"46","1","1014","5","4","2","2","5","46","46","【王宮騎士團】通關難度5 1次"
"47","1","1014","5","5","2","2","3","47","47","【拉比林斯】通關難度3以上1次"
"48","1","1014","5","5","2","2","4","48","48","【拉比林斯】通關難度4以上1次"
"49","1","1014","5","5","2","2","5","49","49","【拉比林斯】通關難度5 1次"
"50","1","1014","5","6","2","2","3","50","50","【慈樂之音】通關難度3以上1次"
"51","1","1014","5","6","2","2","4","51","51","【慈樂之音】通關難度4以上1次"
"52","1","1014","5","6","2","2","5","52","52","【慈樂之音】通關難度5 1次"
"53","1","1014","5","7","2","2","3","53","53","【惡魔偽王國軍】通關難度3以上1次"
"54","1","1014","5","7","2","2","4","54","54","【惡魔偽王國軍】通關難度4以上1次"
"55","1","1014","5","7","2","2","5","55","55","【惡魔偽王國軍】通關難度5 1次"
"56","1","1014","5","8","2","2","3","56","56","【伊麗莎白牧場】通關難度3以上1次"
"57","1","1014","5","8","2","2","4","57","57","【伊麗莎白牧場】通關難度4以上1次"
"58","1","1014","5","8","2","2","5","58","58","【伊麗莎白牧場】通關難度5 1次"
"59","1","1014","5","9","2","2","3","59","59","【墨丘利財團】通關難度3以上1次"
"60","1","1014","5","9","2","2","4","60","60","【墨丘利財團】通關難度4以上1次"
"61","1","1014","5","9","2","2","5","61","61","【墨丘利財團】通關難度5 1次"
"62","1","1014","5","10","2","2","3","62","62","【暮光流星群】通關難度3以上1次"
"63","1","1014","5","10","2","2","4","63","63","【暮光流星群】通關難度4以上1次"
"64","1","1014","5","10","2","2","5","64","64","【暮光流星群】通關難度5 1次"
