bdc5082f286b623aa32f71f5e8197b7c42cb2e8574e14dc622d5bf3ba149d64e,630791eb9130072733d71a00f050785433ac0ae25acdcc7d9057c4a707d4b8dd,5e35254868dcd851af39a70336f6887050f8ccd4faeeb04a8b19ce02a9057a0e,1e41d0bf5764e28cb447b871e2ddb2d698a55e2016281dc6d9209d366bc90db6,257c320d0066dd0ea140d49bc55ef79abab8c3d0069f4a9258247d1aedd67a54
"8","30","91002","72001001","20001001"
"2","1","22002","72001001","20001002"
"8","30","91002","72001002","20001003"
"2","1","22002","72001002","20001004"
"8","30","91002","72001003","20001005"
"2","1","22002","72001003","20001006"
"8","30","91002","72001004","20001007"
"2","1","22002","72001004","20001008"
"8","30","91002","72001005","20001009"
"2","1","22002","72001005","20001010"
"8","30","91002","72001006","20001011"
"2","1","22002","72001006","20001012"
"8","30","91002","72001007","20001013"
"2","1","22002","72001007","20001014"
"8","30","91002","72001008","20001015"
"2","1","22002","72001008","20001016"
"8","30","91002","72001009","20001017"
"2","1","22002","72001009","20001018"
"8","30","91002","72001010","20001019"
"2","1","22002","72001010","20001020"
"8","30","91002","72001011","20001021"
"2","1","22002","72001011","20001022"
"8","30","91002","72001012","20001023"
"2","1","22002","72001012","20001024"
"8","30","91002","72001013","20001025"
"2","1","22002","72001013","20001026"
"8","30","91002","72001014","20001027"
"2","1","22002","72001014","20001028"
"8","200","91002","72001015","20001029"
"2","1","22002","72001015","20001030"
"8","60","91002","72001016","20001031"
"2","2","22002","72001016","20001032"
"8","60","91002","72001017","20001033"
"2","2","22002","72001017","20001034"
"8","60","91002","72001018","20001035"
"2","2","22002","72001018","20001036"
"8","60","91002","72001019","20001037"
"2","2","22002","72001019","20001038"
"8","300","91002","72001020","20001039"
"2","2","22002","72001020","20001040"
"2","5","31012","72001021","20001041"
"2","5","31038","72001021","20001042"
"2","5","31012","72001022","20001043"
"2","5","31038","72001022","20001044"
"2","10","31012","72001023","20001045"
"2","10","31038","72001023","20001046"
"8","30","91002","72002001","20002001"
"2","1","22002","72002001","20002002"
"8","30","91002","72002002","20002003"
"2","1","22002","72002002","20002004"
"8","30","91002","72002003","20002005"
"2","1","22002","72002003","20002006"
"8","30","91002","72002004","20002007"
"2","1","22002","72002004","20002008"
"8","30","91002","72002005","20002009"
"2","1","22002","72002005","20002010"
"8","30","91002","72002006","20002011"
"2","1","22002","72002006","20002012"
"8","30","91002","72002007","20002013"
"2","1","22002","72002007","20002014"
"8","30","91002","72002008","20002015"
"2","1","22002","72002008","20002016"
"8","30","91002","72002009","20002017"
