67978eda6931d999bb9e0a10f13f8d79222ba1ee42d58ce4f778b297a7c35e42,79f6a371ca0d13d7306d408e77a0b621e04a6d13de7e43915c114fc4190728b5,fc1fec70099030e686e1d7311878e6f2c77339b011a6c8a31c494c32cb3a4a61,86b24dffee72e77b885746d44e05b07396dbb5376daccbd152533953d8c96531
"1","11100","0","9040001"
"2","107101","5","9050001"
"3","108101","5","9050001"
"4","108301","5","9050001"
"5","11100","0","9040002"
"6","11100","0","9040003"
"7","91001","0","9010001"
"8","91001","0","9020001"
"9","91002","0","9020001"
"10","11101","0","9040004"
"11","11102","0","9040005"
