08351a7613f35bb662e464598eb9418437d48b037a3e4905d5ee5adca3de6905,096d6f6de00766c92e431d03c0296bf4b760dab0023361789a644da6afa215b5,867e247eaeab08e0a08ea7f0a644136c6dad3b5049e0dd02971ceeb3125b1027,5e1e66410191b14ab0e7572cda351bc53aafabd45559cc4a02ee2cf24d6b9ecf,0d429a146560cee1d2bcf8dfabc5981a2477a5729c753d0ce1f182cd33cee0a2,bb33cb0a1353f3efdd9294ca060e65429d9f01d0d5cf7f19e550a6e6afdbaa96,ca7c4cb404a261bce499e735a5a1493c02cb92ae0b4c52ce83ae3fc0f9826e4a,bc5be014b0200a4919630f44454b13d2255907e8f3a3506e91e5f5a4e62f46f9
"1","0","1","0","1","10101020","24","3050100"
"2","0","2","0","1","0","24","4010200"
"3","0","3","0","1","10401020","24","3030200"
"4","0","4","0","1","10401020","24","3050200"
"5","0","5","0","1","10401020","24","3040200"
"6","0","6","0","1","10401020","24","3020200"
"7","0","7","0","1","0","24","4010300"
"8","0","101","0","1","10101020","24","3030100"
"9","0","102","0","1","0","24","3010201"
"10","0","103","0","1","0","24","3020201"
"11","0","104","0","1","0","24","3010301"
"12","0","105","0","1","0","24","3030301"
"13","0","106","0","1","0","24","3040301"
"14","0","107","0","1","0","24","3050301"
"15","0","108","0","1","0","24","3020301"
"16","0","109","0","1","10401050","24","3030300"
"17","0","110","0","1","10401050","24","3040300"
"18","0","111","0","1","10401050","24","3050300"
"19","0","112","0","1","10401050","24","3020300"
"20","0","201","0","1","10101020","24","3010100"
"21","0","202","0","1","10101020","24","3020100"
"22","0","203","0","1","10101020","24","3030100"
"23","0","204","0","1","10101020","24","3040100"
"24","0","205","0","1","10101020","24","3050100"
"25","0","206","0","1","10101020","24","3010200"
"26","0","207","0","1","10101020","24","3020200"
"27","0","208","0","1","10101020","24","3030200"
"28","0","209","0","1","10101020","24","3040200"
"29","0","210","0","1","10101020","24","3050200"
"30","112","401","0","1","0","24","1010301"
"31","203","402","0","1","0","24","1020301"
"32","306","403","0","1","0","24","1030301"
"33","401","404","0","1","0","24","1040301"
"34","508","405","0","1","0","24","1050301"
"35","209","406","0","1","20101050","24","1020301"
"36","306","407","0","1","20101050","24","1030301"
"37","407","408","0","1","20101050","24","1040301"
"38","501","409","0","1","20101050","24","1050301"
"39","0","600","11001337","1","0","15","0"
"40","0","600","91002","150","0","8","0"
"41","0","700","11001338","1","0","15","0"
"42","0","799","91002","150","0","8","0"
"43","0","800","11001339","1","0","15","0"
"44","0","999","0","1","0","24","0"
