ecc970bee923faa6438214b97455d375f22dcb93e589265cc08005afcd702728,57e39a8dd22a8e5d4bf9259ddf9ed0cf2d711febcc9c364b852ea52da5e1ab63,6ac7cf770c4370fa1689fd3e91f068edbbd8b975343a17b123526e414072b372,062bb252eac31bf0a380f871df865b0f6873ddd201fb202029884842b427f8f9,9cd6228b2fa93a4514dbea7b16ed46d2ab6fd0937b6297810dec17fd0b9018a3,fe7ae7b78b1bc8e20d9c4eb7372207dfa7153a2b22f609eb85b3c641772f48ab,8caba80404a972b94a9412ff17312a9f425cfe45c7119aaa1037dc59150ccb4f,8dff3d25615b4ff09191303e88c4ca2f5a15202141848d950348f1c511c5ea3a,f5ff534ea11e99b2c7b00fea83827ce0351da80cfcc8715560040c5a4c318389,3b3fc33b2b237ed2f596b2398eecee1c4d4c1455c413f24b7e728505f1113e61,a3446d80b1b71b749332a54745152ee9972e65274de066ba355d719acdb726af
"","se_fpc_water_random","","101","","11010001","","23","","se_10053800",""
"-180","<unit_id>","0","101","1.75","11010002","cmn_swm_tread","1","23","1","-850"
"-180","1","0","101","1.75","11010003","cmn_swm_tread_pink","5","22","1","-850"
"1","3","","101","1","11010004","","31","-850","3","-180"
"","0","","101","","11010005","","91","","0",""
"","850","","101","","11010006","","2","-180","<unit_id>","10"
"","850","","101","","11010007","","2","-180","1","10"
"","850","","101","","11010008","","33","-180","3","10"
"","se_fpc_water_random","","102","","11020001","","23","","se_10053800",""
"-180","<unit_id>","0","102","1.75","11020002","cmn_swm_tread","1","23","1","-850"
"-180","1","0","102","1.75","11020003","cmn_swm_tread_blue","5","22","1","-850"
"1","3","","102","1","11020004","","31","-850","3","-180"
"","0","","102","","11020005","","91","","0",""
"","850","","102","","11020006","","2","-180","<unit_id>","10"
"","850","","102","","11020007","","2","-180","1","10"
"","850","","102","","11020008","","33","-180","3","10"
"","se_fpc_water_random","","103","","11030001","","23","","se_10053800",""
"-180","<unit_id>","0","103","1.75","11030002","cmn_swm_tread","1","23","1","-850"
"-180","1","0","103","1.75","11030003","cmn_swm_tread","5","22","1","-850"
"1","3","","103","1","11030004","","31","-850","3","-180"
"","0","","103","","11030005","","91","","0",""
"","850","","103","","11030006","","2","-180","<unit_id>","10"
"","850","","103","","11030007","","2","-180","1","10"
"","850","","103","","11030008","","33","-180","3","10"
"","se_fpc_water_random","","151","","11510001","","23","","se_10053800",""
"-180","<unit_id>","0","151","1.75","11510002","cmn_swm_flutterKick","1","22","1","-850"
"1","1","","151","1","11510003","","31","-850","1","-180"
"","0","","151","","11510004","","91","","0",""
"","1050","","151","","11510005","","2","-180","<unit_id>","10"
"","1050","","151","","11510006","","33","-180","1","10"
"","se_fpc_water_random","","201","","12010001","","23","","se_10053800",""
"-180","<unit_id>","0","201","1.75","12010002","cmn_swm_breastStroke","1","22","1","-850"
"1","2","","201","1","12010003","","31","-850","2","-180"
"","0","","201","","12010004","","91","","0",""
"","850","","201","","12010005","","2","-180","<unit_id>","10"
"","850","","201","","12010006","","33","-180","2","10"
"","se_fpc_water_random","","251","","12510001","","23","","se_10053800",""
"-180","<unit_id>","0","251","1.75","12510002","cmn_swm_diving","1","22","1","-850"
"1","9","","251","1","12510003","","31","-850","9","-180"
"","0","","251","","12510004","","91","","0",""
"","850","","251","","12510005","","2","-180","<unit_id>","10"
"","850","","251","","12510006","","33","-180","9","10"
"","se_fpc_water_random","","301","","13010001","","23","","se_10053800",""
"-180","<unit_id>","0","301","1.75","13010002","cmn_swm_flutterKick_floatRing","1","23","1","-850"
"-180","1","0","301","1.75","13010003","cmn_swm_flutterKick_floatRing_pink","5","22","1","-850"
"1","1","","301","1","13010004","","31","-850","1","-180"
"","0","","301","","13010005","","91","","0",""
"","1050","","301","","13010006","","2","-180","<unit_id>","10"
"","1050","","301","","13010007","","2","-180","1","10"
"","1050","","301","","13010008","","33","-180","1","10"
"","se_fpc_water_random","","302","","13020001","","23","","se_10053800",""
"-180","<unit_id>","0","302","1.75","13020002","cmn_swm_flutterKick_floatRing","1","23","1","-850"
"-180","1","0","302","1.75","13020003","cmn_swm_flutterKick_floatRing_blue","5","22","1","-850"
"1","1","","302","1","13020004","","31","-850","1","-180"
"","0","","302","","13020005","","91","","0",""
"","1050","","302","","13020006","","2","-180","<unit_id>","10"
"","1050","","302","","13020007","","2","-180","1","10"
"","1050","","302","","13020008","","33","-180","1","10"
"","se_fpc_water_random","","303","","13030001","","23","","se_10053800",""
"-180","<unit_id>","0","303","1.75","13030002","cmn_swm_flutterKick_floatRing","1","23","1","-850"
"-180","1","0","303","1.75","13030003","cmn_swm_flutterKick_floatRing","5","22","1","-850"
"1","1","","303","1","13030004","","31","-850","1","-180"
"","0","","303","","13030005","","91","","0",""
"","1050","","303","","13030006","","2","-180","<unit_id>","10"
"","1050","","303","","13030007","","2","-180","1","10"
"","1050","","303","","13030008","","33","-180","1","10"
"","se_fpc_water_random","","351","","13510001","","23","","se_10053800",""
"-180","<unit_id>","0","351","1.75","13510002","cmn_swm_flutterKick_floatRing","1","23","1","-850"
"-180","1","0","351","1.75","13510003","cmn_swm_flutterKick_floatBoad","5","22","1","-850"
"1","1","","351","1","13510004","","31","-850","1","-180"
"","0","","351","","13510005","","91","","0",""
"","1050","","351","","13510006","","2","-180","<unit_id>","10"
"","1050","","351","","13510007","","2","-180","1","10"
"","1050","","351","","13510008","","33","-180","1","10"
"","se_fpc_water_random","","352","","13520001","","23","","se_10053800",""
"-180","<unit_id>","0","352","1.75","13520002","cmn_swm_flutterKick_floatRing","1","23","1","-850"
"-180","1","0","352","1.75","13520003","cmn_swm_flutterKick_floatBoad_blue","5","22","1","-850"
"1","1","","352","1","13520004","","31","-850","1","-180"
"","0","","352","","13520005","","91","","0",""
"","1050","","352","","13520006","","2","-180","<unit_id>","10"
"","1050","","352","","13520007","","2","-180","1","10"
"","1050","","352","","13520008","","33","-180","1","10"
"","se_fpc_water_random","","401","","14010001","","23","","se_10053800",""
"-180","<unit_id>","0","401","1.75","14010002","cmn_float","1","22","1","-850"
"1","6","","401","1","14010003","","31","-850","6","-180"
"","0","","401","","14010004","","91","","0",""
"","1050","","401","","14010005","","2","-180","<unit_id>","10"
"","1050","","401","","14010006","","33","-180","6","10"
"","se_fpc_water_random","","402","","14020001","","23","","se_10053800",""
"-180","<unit_id>","0","402","1.75","14020002","cmn_float_4","1","22","1","-850"
"1","6","","402","1","14020003","","31","-850","6","-180"
"","0","","402","","14020004","","91","","0",""
"","1050","","402","","14020005","","2","-180","<unit_id>","10"
"","1050","","402","","14020006","","33","-180","6","10"
"","se_fpc_water_random","","451","","14510001","","23","","se_10053800",""
"-180","<unit_id>","0","451","1.75","14510002","cmn_crawl","1","22","1","-850"
"1","1","","451","1","14510003","","31","-850","1","-180"
"","0","","451","","14510004","","91","","0",""
"","1050","","451","","14510005","","2","-180","<unit_id>","10"
"","1050","","451","","14510006","","33","-180","1","10"
"","se_fpc_water_random","","501","","15010001","","23","","se_10053800",""
"-250","<unit_id>","0","501","1.75","15010002","cmn_surfing","1","45","1","-850"
"-250","6","0","501","1.75","15010003","cmn_surfing","5","44","6","-850"
"1","11","","501","1","15010004","","31","-850","11","-250"
"","0","","501","","15010005","","91","","0",""
"","1800","","501","","15010006","","2","-250","<unit_id>","6"
"","1800","","501","","15010007","","2","-250","6","6"
"","1800","","501","","15010008","","33","-250","11","6"
"","se_10053800_surfing_wave","","501","","15010009","","23","","se_10053800",""
"","se_fpc_water_random","","851","","18510001","","23","","se_10053800",""
"-125","107511","0","851","1.75","18510002","cmn_surfing","1","45","1","-850"
"-250","107611","0","851","1.75","18510003","cmn_surfing","1","45","1","-1100"
"-125","107811","0","851","1.75","18510004","cmn_surfing","1","45","1","-1350"
"-125","1","0","851","1.75","18510005","cmn_surfing","5","44","6","-850"
