acd6437c7265f5eaf96cb1d38ee0b934f0a10e551716a4f9002caf266c575466,999b04f4366713d7245fdb1b16fc22cfd43a83b2b1b5117a2136352db9150c91,823e8c9d06bf79ebae24a1223e89651ecbd8ff12a98df2534a0e2854fad74d63,87c40a52345c8640eef44e552a552a1efe353bc74ca6e7e1f8cf4a1092fb908a,900f3a14049d23e151422930e2b3d660e219d95103ab6ab2b97acace1f3a26c6
"1","25","13000001","1","101"
"1","26","40001","1","102"
"1","28","99012","1000","103"
"2","25","13000002","1","201"
"2","26","40002","1","202"
"2","28","99012","1000","203"
"3","25","13000004","1","301"
"3","26","40006","1","302"
"3","28","99012","1000","303"
"4","25","13000011","1","401"
"4","26","40008","1","402"
"4","28","99012","1000","403"
"5","25","13000007","1","501"
"5","26","40007","1","502"
"5","28","99012","1000","503"
"6","25","13000005","1","601"
"6","26","40011","1","602"
"6","28","99012","1000","603"
"7","25","13000009","1","701"
"7","26","40003","1","702"
"7","28","99012","1000","703"
"8","25","13000010","1","801"
"8","26","40012","1","802"
"8","28","99012","1000","803"
"9","25","13000013","1","901"
"9","26","40010","1","902"
"9","28","99012","1000","903"
"10","25","13000006","1","1001"
"10","26","40013","1","1002"
"10","28","99012","1000","1003"
"11","25","13000008","1","1101"
"11","26","40004","1","1102"
"11","28","99012","1000","1103"
"13","25","13000012","1","1301"
"13","26","40009","1","1302"
"13","28","99012","1000","1303"
"14","25","13000014","1","1401"
"14","26","40014","1","1402"
"14","28","99012","1000","1403"
"15","25","13000003","1","1501"
"15","26","40005","1","1502"
"15","28","99012","1000","1503"
