c45e76ca6c99da987316579082e9cc57e23c71680a346cae890e355f09cfee2b,baafe8481768d51aa3452e3d076eebfc4e83349d7235d7b513a633aa544899f4,ddf6d87b3215b19bdce21040ddf48288384ed87bf4fffa3127d98b54c93807b2,517889967efd558d7e021b9acc7595724e5dc5269ba5064c551a1f42b5f3c346,9d7c01e6f50e738f57b950b34b3bcf9ea87fbf4e9c06b7e27ee50d6cdf3d0d99,0cdf202b5246b16b38c8a0beec5beffd08635f0b238186c3bf40f65d8a69d418
"550101102","550101103","550101105","550101101","74001101","550101104"
"550101202","550101203","550101205","550101201","74001102","550101204"
"550101302","550101303","550101305","550101301","74001103","550101304"
"550101402","550101403","550101405","550101401","74001104","550101404"
"550101502","550101503","550101505","550101501","74001105","550101504"
"550101107","550101108","550101110","550101106","74001201","550101109"
"550101207","550101208","550101210","550101206","74001202","550101209"
"550101307","550101308","550101310","550101306","74001203","550101309"
"550101407","550101408","550101410","550101406","74001204","550101409"
"550101507","550101508","550101510","550101506","74001205","550101509"
"550101113","550101111","0","550101112","74001301","0"
"550101213","550101211","0","550101212","74001302","0"
"550101313","550101311","0","550101312","74001303","0"
"550101413","550101411","0","550101412","74001304","0"
"550101513","550101511","0","550101512","74001305","0"
"550101114","550101116","0","550101115","74001401","0"
"550101214","550101216","0","550101215","74001402","0"
"550101314","550101316","0","550101315","74001403","0"
"550101414","550101416","0","550101415","74001404","0"
"550101514","550101516","0","550101515","74001405","0"
"0","0","0","550101117","74001501","0"
"0","0","0","550101217","74001502","0"
"0","0","0","550101317","74001503","0"
"0","0","0","550101417","74001504","0"
"0","0","0","550101517","74001505","0"
"0","0","0","550101999","74001999","0"
"550102102","550102103","550102105","550102101","74002101","550102104"
"550102202","550102203","550102205","550102201","74002102","550102204"
"550102302","550102303","550102305","550102301","74002103","550102304"
"550102402","550102403","550102405","550102401","74002104","550102404"
"550102502","550102503","550102505","550102501","74002105","550102504"
"550102107","550102108","550102110","550102106","74002201","550102109"
"550102207","550102208","550102210","550102206","74002202","550102209"
"550102307","550102308","550102310","550102306","74002203","550102309"
"550102407","550102408","550102410","550102406","74002204","550102409"
"550102507","550102508","550102510","550102506","74002205","550102509"
"550102113","550102111","0","550102112","74002301","0"
"550102213","550102211","0","550102212","74002302","0"
"550102313","550102311","0","550102312","74002303","0"
"550102413","550102411","0","550102412","74002304","0"
"550102513","550102511","0","550102512","74002305","0"
"550102114","550102116","0","550102115","74002401","0"
"550102214","550102216","0","550102215","74002402","0"
"550102314","550102316","0","550102315","74002403","0"
"550102414","550102416","0","550102415","74002404","0"
"550102514","550102516","0","550102515","74002405","0"
"0","0","0","550102117","74002501","0"
"0","0","0","550102217","74002502","0"
"0","0","0","550102317","74002503","0"
"0","0","0","550102417","74002504","0"
"0","0","0","550102517","74002505","0"
"550103103","550103104","0","550103101","74003101","550103102"
"550103203","550103204","0","550103201","74003102","550103202"
"550103303","550103304","550103305","550103301","74003103","550103302"
"550103403","550103404","550103405","550103401","74003104","550103402"
"550103503","550103504","550103505","550103501","74003105","550103502"
"550103106","550103107","0","550103105","74003201","550103108"
"550103206","550103207","550103209","550103205","74003202","550103208"
"550103307","550103308","550103310","550103306","74003203","550103309"
"550103407","550103408","550103410","550103406","74003204","550103409"
"550103507","550103508","550103510","550103506","74003205","550103509"
"550103110","550103111","0","550103109","74003301","550103112"
"550103211","550103212","550103214","550103210","74003302","550103213"
"550103312","550103313","550103315","550103311","74003303","550103314"
"550103412","550103413","550103415","550103411","74003304","550103414"
"550103512","550103513","550103515","550103511","74003305","550103514"
"0","0","0","550103113","74003401","0"
"0","0","0","550103215","74003402","0"
"0","0","0","550103316","74003403","0"
"0","0","0","550103416","74003404","0"
"0","0","0","550103516","74003405","0"
"0","0","0","550103114","74003501","0"
"0","0","0","550103216","74003502","0"
"0","0","0","550103317","74003503","0"
"550103421","0","0","550103417","74003504","0"
"550103517","550103521","0","550103522","74003505","0"
"550104102","550104103","0","550104101","74004101","550104104"
"550104202","550104203","0","550104201","74004102","550104204"
"550104302","550104303","550104305","550104301","74004103","550104304"
"550104402","550104403","550104405","550104401","74004104","550104404"
"550104502","550104503","550104505","550104501","74004105","550104504"
"550104106","550104107","0","550104105","74004201","550104108"
"550104206","550104207","550104209","550104205","74004202","550104208"
"550104307","550104308","550104310","550104306","74004203","550104309"
"550104407","550104408","550104410","550104406","74004204","550104409"
"550104507","550104508","550104510","550104506","74004205","550104509"
"550104110","550104112","0","550104109","74004301","550104111"
"550104211","550104213","550104214","550104210","74004302","550104212"
"550104312","550104314","550104315","550104311","74004303","550104313"
"550104412","550104414","550104415","550104411","74004304","550104413"
"550104512","550104514","550104515","550104511","74004305","550104513"
"0","0","0","550104113","74004401","0"
"0","0","0","550104215","74004402","0"
"0","0","0","550104316","74004403","0"
"0","0","0","550104416","74004404","0"
"0","0","0","550104516","74004405","0"
"0","0","0","550104117","74004501","0"
"0","0","0","550104219","74004502","0"
"0","0","0","550104320","74004503","0"
"550104421","0","0","550104420","74004504","0"
