35995085b6c57853c7cb56235d68bd0dbe76f5cce9e6000551d36331a5ba41ae,6e8a99cc1361b8bde304e6389b84a711f38de14df4243d06362aa311c13afc3a,2ccca60a8932400629e688a073a3d257d305927598986d3fad83684a94133279,e077b166d0da4a20113d8dd2688ec35a55bddf721c6ae9e134df5daf6ace62eb,79b2e4cb190960e8ad832806de3878b72059b9d0a508885cf4ef267da8a4a1d8,18e823fd13f7d2018343d8b698fd4e1bdbea00ae87e241dc56c07b91dc2f3b32,8e1d0c76bec5cae7489eae7b2bad4a0a4847fccc4e2276ceda5566f12196cf81,81f502486f1fc00c4c1f3d2fdfcc3340055afeef2d955ea94faeb729a5c38de0,418dec5c0637e66abdf30849759082dd7c02db7574c2742ec2adf46e4769f141,5313d825775efa5f32180a7a0aaab4c3556155e3c041b7a64aa964166edbb9f5,6c8c43d7abdcc8378c894c20b70a30b38c7bfe8c8d1bb6b373b0abe647556eed,1ce240910bf3f2a3af1a15f7bfca9638d9c4e8fa79cb413bc8b5b237b3743ea8,1c689996c6d469d674996d630e9f35eeaa912439d3ce18fa93b2e211598d940a,ccbdfda22df6961ecc01a884cf24d2d59e5a3c84641526028618b170f6839f53
"4","10021","110501","24","1","2019/12/02 16:00:00","24015","香織（夏日）","啊啊～好可惜～\n難道你的魂被奄美魔物奪走了嗎～？","2030/12/17 14:59:59","2.3","1","0","0"
"4","10021","110501","24","1","2019/12/02 16:00:00","24016","香織（夏日）","今天的舞蹈也跳得很糟糕呢～\n吃點像苦瓜的東西恢復元氣吧～！","2030/12/17 14:59:59","2.3","2","0","0"
"4","10021","110501","24","1","2019/12/02 16:00:00","24017","香織（夏日）","到處都是奄美魔物，看得我眼花瞭亂～！\n腦袋也昏昏的～！","2030/12/17 14:59:59","2.3","3","0","0"
"1","10021","110501","24","1","2019/12/02 16:00:00","24018","香織（夏日）","船到橋頭自然直、船到橋頭自然直\n下次再努力就好了～！\n到海邊游泳，讓自己煥然一新吧～！","2030/12/17 14:59:59","2.3","4","0","0"
"5","10021","110501","24","1","2019/12/02 16:00:00","24019","香織（夏日）","丟臉的一面\n被你看見了～\n泳裝？　我指的不是泳裝喔～？","2030/12/17 14:59:59","2.3","5","0","0"
"2","10021","110501","24","3","2019/12/02 16:00:00","24020","香織（夏日）","狀態絕佳～！　就按照這個步調\n取回大海的和平吧～！\n歡樂的夏天正在等著我們～！","2030/12/17 14:59:59","2.3","6","0","0"
"1","10021","110501","24","3","2019/12/02 16:00:00","24021","香織（夏日）","不管有幾隻魔物來襲，\n我都不會嚇掉魂喔～！\n哈啾！　啊……不過可能會因為剛剛的噴嚏而掉魂～？","2030/12/17 14:59:59","2.3","7","0","0"
"2","10021","110501","24","3","2019/12/02 16:00:00","24022","香織（夏日）","咿――呀――呀――啊――♪\n戰鬥結束後跳個舞蹈，\n精神百倍呀～！","2030/12/17 14:59:59","2.3","8","0","0"
"6","10021","110501","24","3","2019/12/02 16:00:00","24023","香織（夏日）","咦～？　戰鬥途中\n泳衣不知道跑去哪了～？\n喂，你有看到嗎～？\n為什麼要離開呢～？","2030/12/17 14:59:59","2.3","9","0","0"
"1","10021","110501","24","3","2019/12/02 16:00:00","24024","香織（夏日）","我還很有精神喔～！\n不管是奄美魔物還是別的，\n儘管來～吧～♪","2030/12/17 14:59:59","2.3","10","0","0"
"2","10021","110501","24","3","2019/12/02 16:00:00","24025","香織（夏日）","我的空手道可是世界最強的～！\n只要夏日陽光和蔚藍大海常伴左右，\n我們就能所向無敵喔～！","2030/12/17 14:59:59","2.3","11","0","0"
