714dc527e5e76206e636cf087cea1280fc04a8210d034ce0a1efb8adbb341675,966f9fc797416acaafa4258feaa6ba35eda3aaa172153adb85ee6c36540b6ebf,6bedf410fd73a8f813a427bb67fba91890b729303ffb8f00a9f09a2378b42d53,abf24ff59cfbd9e1b6e6345f07afbbbd775ccaf436fd7799fc21463ad41211af,43e128dfe049105857883e3da968e4ee1c21af53da3e14c5a900ff8854d1b5ca,3bc74363478b1061200b1ef7726db67459f330254149aaf8fb3e9b9c5dd844fd,d3ce401d820480671d0a5cf5caeefe288f4e3ec11414efbaed75e7c7a2a54ba0,000709a846ae22f183b22911829b99282bb7496fd4fb0ef692134ce5a54a0bb5,2617e6b2de94a08929cba846d39c13af389bbb30f3f82adedfc3e1be670f6e00,647a07ed71e051ae053b496a7f029a62958aafeaf2623dc09907aab3e56b1c7b,391658b6253733659288410e2e93b52bb7f7a33381026ec16cac75d0aaf36912,5f4f0a260ba4a2be297769fae2ca0d452fdbc2334be6a27c071a4ecd44156cab,d22e6e714acb5d55c2b603369f2b20dd936cf5f9f2bc2abd93b325dd9619df51,e0d6d42e2d1daa4b1429669ef54dbc6540eea6082e2cdb07b1990ab5ff061972,2b73e897554230a0cc3cbe7a920a1473fea1bd759c0b9fc5c28168b578dd2352,826ad044831232175fcb8546d58e9805892c672d2b3c4063fc0abf3d27238530,f2aff545bb23004007240886b9fe7c344288801723e85efc1d41216d38320088,c9e74ae9e024f40b8bc45bc026ef6e8f1179bb8bbb5a1f8475300ec2ab913a8d,4b6bedc42445f9d84d6605a7b88fc21dace6f0b841a8126b0e68429ff0dda9f4
"1","2","500","2","140000","500000","4","90008","1","90005","5","10","32001","2","140001","4","12","1","94002"
"1","12","200","1","140001","0","4","91002","2","94002","10","500000","32001","8","25001","2","0","1","0"
"1","2","500","2","140000","750000","4","90008","1","90005","15","5","32001","2","140001","4","12","2","94002"
"1","12","300","1","140001","0","4","91002","2","94002","20","750000","32001","8","25001","2","0","2","0"
"1","2","500","2","140000","750000","4","90008","1","90005","25","5","32001","2","140001","4","12","2","94002"
"1","12","500","1","140001","0","4","91002","2","94002","30","750000","32001","8","25001","2","0","3","0"
"1","2","750","2","140000","1000000","4","90008","1","90005","35","5","32001","2","140001","4","12","3","94002"
"1","12","1000","1","140001","0","4","90008","2","94002","40","1000000","32001","2","25001","2","0","4","0"
"1","2","1250","2","140000","2000000","4","90008","1","90005","45","5","32001","2","140001","4","12","4","94002"
"1","12","1500","1","140001","0","4","90008","2","94002","50","2000000","32001","2","25001","2","0","4","0"
"1","2","500","2","140000","500000","4","90008","1","90005","5","10","32002","2","140001","4","12","1","94002"
"1","2","200","2","21951","500000","2","91002","1","25001","10","1","32002","8","140001","4","12","1","94002"
"1","2","700","2","140000","750000","4","90008","1","90005","15","5","32002","2","140001","4","12","2","94002"
"1","12","300","1","140001","0","4","91002","2","94002","20","750000","32002","8","25001","2","0","2","0"
"1","2","700","2","140000","750000","4","90008","1","90005","25","5","32002","2","140001","4","12","2","94002"
"1","12","500","1","140001","0","4","91002","2","94002","30","750000","32002","8","25001","2","0","3","0"
"1","2","1000","2","140000","1000000","4","90008","1","90005","35","5","32002","2","140001","4","12","3","94002"
"1","12","1000","1","140001","0","4","90008","2","94002","40","1000000","32002","2","25001","2","0","4","0"
"1","2","1250","2","140000","2000000","4","90008","1","90005","45","5","32002","2","140001","4","12","4","94002"
"1","12","1500","1","140001","0","4","90008","2","94002","50","2000000","32002","2","25001","2","0","4","0"
"1","2","500","2","140000","500000","4","90008","1","90005","5","10","32003","2","140001","4","12","1","94002"
"1","2","200","2","21951","500000","2","91002","1","25001","10","1","32003","8","140001","4","12","1","94002"
"1","2","700","2","140000","750000","4","90008","1","90005","15","5","32003","2","140001","4","12","2","94002"
"1","12","300","1","140001","0","4","91002","2","94002","20","750000","32003","8","25001","2","0","2","0"
"1","2","700","2","140000","750000","4","90008","1","90005","25","5","32003","2","140001","4","12","2","94002"
"1","12","500","1","140001","0","4","91002","2","94002","30","750000","32003","8","25001","2","0","3","0"
"1","2","1000","2","140000","1000000","4","90008","1","90005","35","5","32003","2","140001","4","12","3","94002"
"1","12","1000","1","140001","0","4","90008","2","94002","40","1000000","32003","2","25001","2","0","4","0"
"1","2","1250","2","140000","2000000","4","90008","1","90005","45","5","32003","2","140001","4","12","4","94002"
"1","12","1500","1","140001","0","4","90008","2","94002","50","2000000","32003","2","25001","2","0","4","0"
"1","2","500","2","140000","500000","4","90008","1","90005","5","10","32004","2","140001","4","12","1","94002"
"1","2","200","2","21951","500000","2","91002","1","25001","10","1","32004","8","140001","4","12","1","94002"
"1","2","700","2","140000","750000","4","90008","1","90005","15","5","32004","2","140001","4","12","2","94002"
"1","12","300","1","140001","0","4","91002","2","94002","20","750000","32004","8","25001","2","0","2","0"
"1","2","700","2","140000","750000","4","90008","1","90005","25","5","32004","2","140001","4","12","2","94002"
"1","12","500","1","140001","0","4","91002","2","94002","30","750000","32004","8","25001","2","0","3","0"
"1","2","1000","2","140000","1000000","4","90008","1","90005","35","5","32004","2","140001","4","12","3","94002"
"1","12","1000","1","140001","0","4","90008","2","94002","40","1000000","32004","2","25001","2","0","4","0"
"1","2","1250","2","140000","2000000","4","90008","1","90005","45","5","32004","2","140001","4","12","4","94002"
"1","12","1500","1","140001","0","4","90008","2","94002","50","2000000","32004","2","25001","2","0","4","0"
"1","2","500","2","140000","500000","4","90008","1","90005","5","10","32005","2","140001","4","12","1","94002"
"1","2","200","2","21951","500000","2","91002","1","25001","10","1","32005","8","140001","4","12","1","94002"
"1","2","700","2","140000","750000","4","90008","1","90005","15","5","32005","2","140001","4","12","2","94002"
"1","12","300","1","140001","0","4","91002","2","94002","20","750000","32005","8","25001","2","0","2","0"
"1","2","700","2","140000","750000","4","90008","1","90005","25","5","32005","2","140001","4","12","2","94002"
"1","12","500","1","140001","0","4","91002","2","94002","30","750000","32005","8","25001","2","0","3","0"
"1","2","1000","2","140000","1000000","4","90008","1","90005","35","5","32005","2","140001","4","12","3","94002"
"1","12","1000","1","140001","0","4","90008","2","94002","40","1000000","32005","2","25001","2","0","4","0"
"1","2","1250","2","140000","2000000","4","90008","1","90005","45","5","32005","2","140001","4","12","4","94002"
"1","12","1500","1","140001","0","4","90008","2","94002","50","2000000","32005","2","25001","2","0","4","0"
"1","2","500","2","140000","500000","4","90008","1","90005","5","10","32006","2","140001","4","12","1","94002"
"1","2","200","2","21951","500000","2","91002","1","25001","10","1","32006","8","140001","4","12","1","94002"
"1","2","700","2","140000","750000","4","90008","1","90005","15","5","32006","2","140001","4","12","2","94002"
"1","12","300","1","140001","0","4","91002","2","94002","20","750000","32006","8","25001","2","0","2","0"
"1","2","700","2","140000","750000","4","90008","1","90005","25","5","32006","2","140001","4","12","2","94002"
"1","12","500","1","140001","0","4","91002","2","94002","30","750000","32006","8","25001","2","0","3","0"
"1","2","1000","2","140000","1000000","4","90008","1","90005","35","5","32006","2","140001","4","12","3","94002"
"1","12","1000","1","140001","0","4","90008","2","94002","40","1000000","32006","2","25001","2","0","4","0"
"1","2","1250","2","140000","2000000","4","90008","1","90005","45","5","32006","2","140001","4","12","4","94002"
"1","12","1500","1","140001","0","4","90008","2","94002","50","2000000","32006","2","25001","2","0","4","0"
"1","12","500","10","140001","0","4","90008","15","94002","5","500000","32007","2","90005","2","0","1","0"
"1","2","100","5","21951","500000","2","91002","1","25001","10","1","32007","8","140001","4","12","1","94002"
"1","12","1000","5","140001","0","4","90008","15","94002","15","750000","32007","2","90005","2","0","2","0"
"1","12","150","1","140001","0","4","91002","5","94002","20","750000","32007","8","25001","2","0","2","0"
"1","12","1500","5","140001","0","4","90008","15","94002","25","750000","32007","2","90005","2","0","2","0"
"1","2","250","5","90008","750000","2","91002","3000","25001","30","1","32007","8","140001","4","12","3","94002"
"1","12","3500","5","140001","0","4","90008","15","94002","35","1000000","32007","2","90005","2","0","3","0"
"1","12","4000","1","140001","0","4","90008","5","94002","40","1000000","32007","2","25001","2","0","4","0"
"1","12","4500","5","140001","0","4","90008","15","94002","45","2000000","32007","2","90005","2","0","4","0"
"1","12","5000","1","140001","0","4","90008","5","94002","50","2000000","32007","2","25001","2","0","4","0"
"1","12","500","10","140001","0","4","90008","15","94002","5","500000","32008","2","90005","2","0","1","0"
"1","2","100","5","21951","500000","2","91002","1","25001","10","1","32008","8","140001","4","12","1","94002"
