0a509262e12b71871eaff2af7d7f53ad951919d1707e15238e5df41c20b75300,cb71e449a22bfb86ecef647d7ec989e575acd56707bdf0509fb334837df74f36,8c190c7b7345a4ce410d972cdb5b7673e4316503b1319dbc8c1154c119c2a641,21c41e2882a70f3809c7baec65ca3d76bfbd632a2aa02a6d800f264299a04123,d27ee5a325d9f0ded5ee885c040ba90482f0f85247dcda47a782139380619e1a,13d94a2c862605fe5a93c79f2538e60a76658fd7648de82389c0dfc6ef5f4321,df192a3a6459564d6edc80e70aab73e0f53ff3a3f7eb33c6f59c3e44882bcf7f,623f1406ffd57d9554afff50bd3e55b4d9734719bc516b2779658da291235d1b
"1","內容不明的神祕寶物。拿至公會管理協會辦事處，可以請花凜協助鑑定。鑑定完後，有時候稀有度會上升。","1","100","未鑑定的平凡寶物","200","53001","未鑑定的\n平凡寶物"
"1","內容不明的神祕寶物。拿至公會管理協會辦事處，可以請花凜協助鑑定。鑑定完後，有時候稀有度會上升。","2","200","未鑑定的貴重寶物","400","53002","未鑑定的\n貴重寶物"
"1","內容不明的神祕寶物。拿至公會管理協會辦事處，可以請花凜協助鑑定。","3","400","未鑑定的頂級寶物","800","53003","未鑑定的\n頂級寶物"
"0","平凡寶物。拿至公會管理協會辦事處，可換取低額巡遊幣。","1","100","平凡寶石","200","53004","平凡寶石"
"0","稀有寶物。拿至公會管理協會辦事處，可換取巡遊幣。","2","200","貴重寶石","400","53005","貴重寶石"
"0","非常稀有寶物。拿至公會管理協會辦事處，可換取高額巡遊幣。","3","400","頂級寶石","800","53006","頂級寶石"
"0","平凡寶物。拿至公會管理協會辦事處，可換取低額巡遊幣。","1","100","平凡金屬塊","200","53007","平凡金屬塊"
"0","稀有寶物。拿至公會管理協會辦事處，可換取巡遊幣。","2","200","貴重金屬塊","400","53008","貴重金屬塊"
"0","非常稀有寶物。拿至公會管理協會辦事處，可換取高額巡遊幣。","3","400","頂級金屬塊","800","53009","頂級金屬塊"
"0","平凡寶物。拿至公會管理協會辦事處，可換取低額巡遊幣。","1","100","平凡卷軸","200","53010","平凡卷軸"
"0","稀有寶物。拿至公會管理協會辦事處，可換取巡遊幣。","2","200","貴重卷軸","400","53011","貴重卷軸"
"0","非常稀有寶物。拿至公會管理協會辦事處，可換取高額巡遊幣。","3","400","頂級卷軸","800","53012","頂級卷軸"
"0","平凡寶物。拿至公會管理協會辦事處，可換取低額巡遊幣。","1","100","平凡皇冠","200","53013","平凡皇冠"
"0","稀有寶物。拿至公會管理協會辦事處，可換取巡遊幣。","2","200","貴重皇冠","400","53014","貴重皇冠"
"0","非常稀有寶物。拿至公會管理協會辦事處，可換取高額巡遊幣。","3","400","頂級皇冠","800","53015","頂級皇冠"
"0","平凡寶物。拿至公會管理協會辦事處，可換取低額巡遊幣。","1","100","平凡符文","200","53016","平凡符文"
"0","稀有寶物。拿至公會管理協會辦事處，可換取巡遊幣。","2","200","貴重符文","400","53017","貴重符文"
"0","非常稀有寶物。拿至公會管理協會辦事處，可換取高額巡遊幣。","3","400","頂級符文","800","53018","頂級符文"
"0","平凡寶物。拿至公會管理協會辦事處，可換取低額巡遊幣。","1","100","平凡王冠","200","53019","平凡王冠"
"0","稀有寶物。拿至公會管理協會辦事處，可換取巡遊幣。","2","200","貴重王冠","400","53020","貴重王冠"
"0","非常稀有寶物。拿至公會管理協會辦事處，可換取高額巡遊幣。","3","400","頂級王冠","800","53021","頂級王冠"
"0","平凡寶物。拿至公會管理協會辦事處，可換取低額巡遊幣。","1","100","平凡古遺物","200","53022","平凡古遺物"
"0","稀有寶物。拿至公會管理協會辦事處，可換取巡遊幣。","2","200","貴重古遺物","400","53023","貴重古遺物"
"0","非常稀有寶物。拿至公會管理協會辦事處，可換取高額巡遊幣。","3","400","頂級古遺物","800","53024","頂級古遺物"
