7a1de8e97d230f401b868464f58b3142c6a485e080759884b11d37f932e23995,cefff7592e82df8454aac6c818411710b6c1504bcc60e7e74dcc70c18a3e77ff,c258e3b70971d8147ceea4d077448a9c3927b96d50188a110011a1b1c11be5c2,907d46d3817d401722a329aefafcd5fcb2575fd96d19b3f2f1858fec5fb882eb,04e8b818d23302e44d7341d1ad6ede388ab46528f5d7eb1bee71d5f0358533fe,dd3e7f2e4c8044a107be987fdc602a0966cb886f25448cb2cafa1d57f4d8dd42,e75522674ae56491a09c7334f66692eac58934fad683d3688658242a3beac603,83cc5fddb70083f28eaa679295415d81a92c37d72d64a26ef5b1abe83b9494ce,4d01e24df0478bcfc59596c7501655f205b336451c58ab2d7ab972d2646d82f3
"502001102","0","1","43.5","1","11","1","320010106","0.7"
"502001103","0","2","13","3","67","2","320010106","0.65"
"0","0","3","-74","2","49","3","320010106","0.65"
"502001108","0","1","-49","1","13","4","320010107","0.7"
"502001109","0","2","-4","3","62","5","320010107","0.85"
"0","0","3","59","2","50","6","320010107","0.65"
"0","0","1","0","1","-10","7","320010108","1.05"
"0","0","1","-15","1","-10","8","320010109","1.05"
"0","0","1","-85","1","-45","9","320010110","0.43"
"0","0","2","85","2","-45","10","320010110","0.43"
"502001202","0","1","43.5","1","11","11","320010206","0.7"
"502001203","0","2","13","3","67","12","320010206","0.65"
"0","0","3","-74","2","49","13","320010206","0.65"
"502001208","0","1","-49","1","13","14","320010207","0.7"
"502001209","0","2","-4","3","62","15","320010207","0.85"
"0","0","3","59","2","50","16","320010207","0.65"
"0","0","1","0","1","-10","17","320010208","1.05"
"0","0","1","-15","1","-10","18","320010209","1.05"
"0","0","1","-85","1","-45","19","320010210","0.43"
"0","0","2","85","2","-45","20","320010210","0.43"
"502001302","0","1","43.5","1","11","21","320010306","0.7"
"502001303","0","2","13","3","67","22","320010306","0.65"
"0","0","3","-74","2","49","23","320010306","0.65"
"502001308","0","1","-49","1","13","24","320010307","0.7"
"502001309","0","2","-4","3","62","25","320010307","0.85"
"0","0","3","59","2","50","26","320010307","0.65"
"0","0","1","0","1","-10","27","320010308","1.05"
"0","0","1","-15","1","-10","28","320010309","1.05"
"0","0","1","-85","1","-45","29","320010310","0.43"
"0","0","2","85","2","-45","30","320010310","0.43"
"502001402","0","1","43.5","1","11","31","320010406","0.7"
"502001403","0","2","13","3","67","32","320010406","0.65"
"0","0","3","-74","2","49","33","320010406","0.65"
"502001408","0","1","-49","1","13","34","320010407","0.7"
"502001409","0","2","-4","3","62","35","320010407","0.85"
"0","0","3","59","2","50","36","320010407","0.65"
"0","0","1","0","1","-10","37","320010408","1.05"
"0","0","1","-15","1","-10","38","320010409","1.05"
"0","0","1","-85","1","-45","39","320010410","0.43"
"0","0","2","85","2","-45","40","320010410","0.43"
"502001502","0","1","43.5","1","11","41","320010506","0.7"
"502001503","0","2","13","3","67","42","320010506","0.65"
"0","0","3","-74","2","49","43","320010506","0.65"
"502001508","0","1","-49","1","13","44","320010507","0.7"
"502001509","0","2","-4","3","62","45","320010507","0.85"
"0","0","3","59","2","50","46","320010507","0.65"
"0","0","1","0","1","-10","47","320010508","1.05"
"0","0","1","-15","1","-10","48","320010509","1.05"
"0","0","1","-85","1","-45","49","320010510","0.43"
"0","0","2","85","2","-45","50","320010510","0.43"
"502002102","0","1","43.5","1","11","51","320020106","0.7"
"502002103","0","2","13","3","67","52","320020106","0.65"
"0","0","3","-74","2","49","53","320020106","0.65"
"502002108","0","1","-49","1","13","54","320020107","0.7"
"502002109","0","2","-4","3","62","55","320020107","0.85"
"0","0","3","59","2","50","56","320020107","0.65"
"0","0","1","0","1","-10","57","320020108","1.05"
"0","0","1","-15","1","-10","58","320020109","1.05"
"0","0","1","-85","1","-45","59","320020110","0.43"
"0","0","2","85","2","-45","60","320020110","0.43"
"502002202","0","1","43.5","1","11","61","320020206","0.7"
"502002203","0","2","13","3","67","62","320020206","0.65"
"0","0","3","-74","2","49","63","320020206","0.65"
"502002208","0","1","-49","1","13","64","320020207","0.7"
"502002209","0","2","-4","3","62","65","320020207","0.85"
"0","0","3","59","2","50","66","320020207","0.65"
"0","0","1","0","1","-10","67","320020208","1.05"
"0","0","1","-15","1","-10","68","320020209","1.05"
"0","0","1","-85","1","-45","69","320020210","0.43"
"0","0","2","85","2","-45","70","320020210","0.43"
"502002302","0","1","43.5","1","11","71","320020306","0.7"
"502002303","0","2","13","3","67","72","320020306","0.65"
"0","0","3","-74","2","49","73","320020306","0.65"
"502002308","0","1","-49","1","13","74","320020307","0.7"
"502002309","0","2","-4","3","62","75","320020307","0.85"
"0","0","3","59","2","50","76","320020307","0.65"
"0","0","1","0","1","-10","77","320020308","1.05"
"0","0","1","-15","1","-10","78","320020309","1.05"
"0","0","1","-85","1","-45","79","320020310","0.43"
"0","0","2","85","2","-45","80","320020310","0.43"
"502002402","0","1","43.5","1","11","81","320020406","0.7"
"502002403","0","2","13","3","67","82","320020406","0.65"
"0","0","3","-74","2","49","83","320020406","0.65"
"502002408","0","1","-49","1","13","84","320020407","0.7"
"502002409","0","2","-4","3","62","85","320020407","0.85"
"0","0","3","59","2","50","86","320020407","0.65"
"0","0","1","0","1","-10","87","320020408","1.05"
"0","0","1","-15","1","-10","88","320020409","1.05"
"0","0","1","-85","1","-45","89","320020410","0.43"
"0","0","2","85","2","-45","90","320020410","0.43"
"502002502","0","1","43.5","1","11","91","320020506","0.7"
"502002503","0","2","13","3","67","92","320020506","0.65"
"0","0","3","-74","2","49","93","320020506","0.65"
"502002508","0","1","-49","1","13","94","320020507","0.7"
"502002509","0","2","-4","3","62","95","320020507","0.85"
"0","0","3","59","2","50","96","320020507","0.65"
"0","0","1","0","1","-10","97","320020508","1.05"
"0","0","1","-15","1","-10","98","320020509","1.05"
"0","0","1","-85","1","-45","99","320020510","0.43"
"0","0","2","85","2","-45","100","320020510","0.43"
"502003102","0","1","43.5","1","11","101","320030106","0.7"
"502003103","0","2","13","2","67","102","320030106","0.65"
"0","0","3","-74","3","49","103","320030106","0.65"
"502003108","0","1","-49","1","13","104","320030107","0.7"
"502003109","0","2","-4","3","62","105","320030107","0.85"
"0","0","3","59","2","50","106","320030107","0.65"
"0","0","1","0","1","-10","107","320030108","1.05"
"0","0","1","-15","1","-10","108","320030109","1.05"
"0","0","1","-85","1","-45","109","320030110","0.43"
"0","0","2","85","2","-45","110","320030110","0.43"
"502003202","0","1","43.5","1","11","111","320030206","0.7"
"502003203","0","2","13","2","67","112","320030206","0.65"
"0","0","3","-74","3","49","113","320030206","0.65"
"502003208","0","1","-49","1","13","114","320030207","0.7"
"502003209","0","2","-4","3","62","115","320030207","0.85"
"0","0","3","59","2","50","116","320030207","0.65"
"0","0","1","0","1","-10","117","320030208","1.05"
"0","0","1","-15","1","-10","118","320030209","1.05"
"0","0","1","-85","1","-45","119","320030210","0.43"
"0","0","2","85","2","-45","120","320030210","0.43"
"502003302","0","1","43.5","1","11","121","320030306","0.7"
"502003303","0","2","13","2","67","122","320030306","0.65"
"0","0","3","-74","3","49","123","320030306","0.65"
"502003308","0","1","-49","1","13","124","320030307","0.7"
"502003309","0","2","-4","3","62","125","320030307","0.85"
"0","0","3","59","2","50","126","320030307","0.65"
"0","0","1","0","1","-10","127","320030308","1.05"
"0","0","1","-15","1","-10","128","320030309","1.05"
"0","0","1","-85","1","-45","129","320030310","0.43"
"0","0","2","85","2","-45","130","320030310","0.43"
"502003402","0","1","43.5","1","11","131","320030406","0.7"
"502003403","0","2","13","2","67","132","320030406","0.65"
"0","0","3","-74","3","49","133","320030406","0.65"
"502003408","0","1","-49","1","13","134","320030407","0.7"
"502003409","0","2","-4","3","62","135","320030407","0.85"
"0","0","3","59","2","50","136","320030407","0.65"
"0","0","1","0","1","-10","137","320030408","1.05"
"0","0","1","-15","1","-10","138","320030409","1.05"
"0","0","1","-85","1","-45","139","320030410","0.43"
"0","0","2","85","2","-45","140","320030410","0.43"
"502003502","0","1","43.5","1","11","141","320030506","0.7"
"502003503","0","2","13","2","67","142","320030506","0.65"
"0","0","3","-74","3","49","143","320030506","0.65"
"502003508","0","1","-49","1","13","144","320030507","0.7"
"502003509","0","2","-4","3","62","145","320030507","0.85"
"0","0","3","59","2","50","146","320030507","0.65"
"0","0","1","0","1","-10","147","320030508","1.05"
"0","0","1","-15","1","-10","148","320030509","1.05"
"0","0","1","-85","1","-45","149","320030510","0.43"
"0","0","2","85","2","-45","150","320030510","0.43"
"502004103","0","1","-74","1","49","151","320040106","0.7"
"502004104","0","2","13","3","67","152","320040106","0.85"
"0","0","3","43.5","2","11","153","320040106","0.65"
"502004107","0","1","59","1","50","154","320040107","0.7"
"502004109","0","2","-4","3","62","155","320040107","0.85"
"0","0","3","-49","2","13","156","320040107","0.65"
"0","0","1","0","1","-10","157","320040108","0.8"
"0","0","1","30","1","20","158","320040109","0.9"
"0","0","1","20","1","-25","159","320040110","1"
"502004203","0","1","-74","1","49","160","320040206","0.7"
"502004204","0","2","13","3","67","161","320040206","0.85"
"0","0","3","43.5","2","11","162","320040206","0.65"
"502004207","0","1","59","1","50","163","320040207","0.7"
"502004209","0","2","-4","3","62","164","320040207","0.85"
"0","0","3","-49","2","13","165","320040207","0.65"
"0","0","1","0","1","-10","166","320040208","0.8"
"0","0","1","30","1","20","167","320040209","0.9"
"0","0","1","20","1","-25","168","320040210","1"
"502004303","0","1","-74","1","49","169","320040306","0.7"
"502004304","0","2","13","3","67","170","320040306","0.85"
"0","0","3","43.5","2","11","171","320040306","0.65"
"502004307","0","1","59","1","50","172","320040307","0.7"
"502004309","0","2","-4","3","62","173","320040307","0.85"
"0","0","3","-49","2","13","174","320040307","0.65"
"0","0","1","0","1","-10","175","320040308","0.8"
"0","0","1","30","1","20","176","320040309","0.9"
"0","0","1","20","1","-25","177","320040310","1"
"502004403","0","1","-74","1","49","178","320040406","0.7"
"502004404","0","2","13","3","67","179","320040406","0.85"
"0","0","3","43.5","2","11","180","320040406","0.65"
"502004407","0","1","59","1","50","181","320040407","0.7"
