0f4aee29dc5136ea61ecca43df4d87fc53ec367fa46d25330deab10adcfc1fc1,9e66448d2195ebbc421a0b2118ba972e723598c5b716ce72872d2029157da6fc,4a2f42ce9dcf1f3170e73aa8eaf500c2d61bf1dc4f22b6d0067df66f77f9c9ee,f56a3fe7417541589d7a7a518cfcd605cc5dc5fb5e23a69870855a729dcb3491
"101401","100","1005","200"
"101601","100","1005","200"
"101801","100","1005","200"
"103201","100","1005","200"
"105001","100","1005","200"
"105201","100","1005","200"
"106101","100","1005","200"
"106401","100","1005","200"
"106801","100","1005","200"
"108301","100","1005","200"
"110001","100","1005","200"
"110101","100","1005","200"
"112201","100","1005","200"
"114401","100","1005","200"
"114701","100","1005","200"
"115701","100","1005","200"
"115801","100","1005","200"
"100201","100","1006","200"
"102901","100","1006","200"
"104201","100","1006","200"
"105401","100","1006","200"
"105901","100","1006","200"
"107601","100","1006","200"
"108401","100","1006","200"
"108801","100","1006","200"
"111601","100","1006","200"
"111901","100","1006","200"
"113901","100","1006","200"
"115501","100","1006","200"
"115601","100","1006","200"
"117201","100","1006","200"
"117301","100","1006","200"
"117401","100","1006","200"
"180201","100","1006","200"
"180501","100","1006","200"
"100301","100","1007","200"
"100501","100","1007","200"
"103701","100","1007","200"
"104701","100","1007","200"
"105801","100","1007","200"
"106501","100","1007","200"
"106601","100","1007","200"
"107501","100","1007","200"
"108901","100","1007","200"
"111801","100","1007","200"
"113601","100","1007","200"
"114001","100","1007","200"
"114101","100","1007","200"
"114301","100","1007","200"
"116501","100","1007","200"
"116601","100","1007","200"
"180301","100","1007","200"
"180401","100","1007","200"
"100101","100","1008","200"
"100401","100","1008","200"
"102001","100","1008","200"
"102101","100","1008","200"
"102301","100","1008","200"
"102501","100","1008","200"
"102801","100","1008","200"
"103601","100","1008","200"
"106001","100","1008","200"
"107701","100","1008","200"
"107801","100","1008","200"
"108501","100","1008","200"
"108601","100","1008","200"
"108701","100","1008","200"
"110301","100","1008","200"
"111101","100","1008","200"
"111201","100","1008","200"
"111301","100","1008","200"
"112001","100","1008","200"
"112101","100","1008","200"
"114501","100","1008","200"
"180101","100","1008","200"
"180601","100","1008","200"
