7e4da85668feef5e0dac465480c367bc0bee8a169627add11468203f0f18e5cf,b1ca9a0a1e627922ecb4dc829ca8337add5857df55580051f4b051a4d7ce1ffc,7a02fc45544d02b386fe6fb44884f1b787227d94b4ae4d3f31244fc2125b42ec,b46ec4a3832a87081aeea33e22554d202b41ec4173899c7300190c2370d38c09,22112645ed6665ce738d92f3b3d35bc98bd4de16f3e71cdc8cd8ebcb19b049de,580377ba8fb4d11c498d4d3d9963379a3d08f6dcf9b0056eec6c028c9be41cf9,465d6c77769978caa98ac7672ec6b3c29a29b5d57becaa1a2c07430018c8f94a,7c9dfe6eaab1f2bfa56d3d7158055075eb3adfcb78b7cdf16a006560239299d7,4fd8484e0c221218dd74de57a240f506171b9b1c777008d811bcf4c5e70207a5,b81c50b6605b42144c9158b9496398049561935538a24239dca08d5b9cf15a64,641a813dfd3fd1ce7317f2bf5b763a909cf9442fcf762d9fbed1b2d5b233c2fe,285ca12227488843260502a2c8a0faa2a47516e4cbae130d2f3880ff81a14960,bf67ae33216984764d2d7e9775c8696a7d4342591fa495f9d618a2daaf67cf6f,23814ca29c52cb35ab7c7371559551cb2e4e571854413fee843dc42bda44d038,9e32ce690099f5f0a1f248c85c5f7016946432c8b4c5b33b8ae9fc84b8f69370
"111","11","112","0","1","113","0","1","0","0","540","100","2023/02/15 05:00:00","0","2816"
"211","21","212","0","1","213","0","2","0","0","493","100","2023/02/16 05:00:00","0","2816"
"311","31","312","0","1","313","0","3","0","0","458","100","2023/02/17 05:00:00","0","2816"
"411","41","412","0","1","413","0","4","0","0","420","100","2023/02/18 05:00:00","0","2816"
"511","51","512","0","1","513","0","5","0","0","380","100","2023/02/19 05:00:00","0","2816"
"611","61","612","0","1","613","0","6","0","0","340","100","2023/02/20 05:00:00","0","2816"
"711","71","712","1","1","713","0","7","0","0","430","100","2023/02/21 05:00:00","0","2816"
"811","81","812","1","1","813","0","8","0","0","402","100","2023/02/22 05:00:00","0","2816"
"911","91","912","1","1","913","0","9","0","0","302","100","2023/02/23 05:00:00","0","2816"
"1011","101","1012","1","1","1013","0","10","0","0","264","100","2023/02/24 05:00:00","0","2816"
"1111","111","1112","1","1","1113","0","11","0","0","225","100","2023/02/25 05:00:00","0","2816"
"1211","121","1212","1","1","1213","0","12","0","0","328","100","2023/02/26 05:00:00","0","2816"
"1311","131","1312","1","1","1313","0","13","0","0","280","100","2023/02/27 05:00:00","0","2816"
"1411","141","1412","1","1","1413","0","14","0","0","269","100","2023/02/28 05:00:00","0","2816"
"1511","151","1512","1","1","1513","0","15","0","0","180","100","2023/03/01 05:00:00","0","2816"
"1611","161","1612","1","1","1613","0","16","0","0","138","100","2023/03/02 05:00:00","0","2816"
"1711","171","1712","1","1","1713","0","17","0","0","97","100","2023/03/03 05:00:00","0","2816"
"1811","181","1812","1","1","1813","0","18","0","0","56","100","2023/03/04 05:00:00","0","2816"
"1911","191","1912","1","1","1913","0","19","0","0","150","100","2023/03/05 05:00:00","0","2816"
"2011","201","2012","1","1","2013","0","20","0","0","100","100","2023/03/06 05:00:00","0","2816"
"2111","211","2112","1","1","2113","0","21","0","0","15","100","2023/03/07 05:00:00","0","2816"
