6e624157ae9631200463a773528a1a7cff1deae19e5dfab8ac1d36bd8ae10c2b,ac892592f6a0636f6a36cf0d2c2b526d2d605a11a93459ce328779f248eb9ad7,e3199720cb51bbb56d4c1af29ce4d5df680212118ea6ce72b2bdf42ed7284875,17894b50508912d35c7b468d7d3e8a9f24c5a07253a34b862d09415be72ffc12,4afe3bd148b917fc34438c9d98419a954f6c99f259e40180670f5a46d34f6a08,c0236f9570670de6cbf4a3015a3b5b93fa90e7ae690bc378f9a62dfcb9586ff9
"212","2114001","211","802100290","1","1005"
"212","2114002","211","802100290","1","1006"
"212","2114003","211","802100290","1","1007"
"212","2114004","211","802100290","1","1008"
"100","2113061","104","802100266","0","100501"
"100","2113062","104","802100266","0","100502"
"102","2113063","105","802100266","0","100503"
"103","2113064","106","802100266","0","100504"
"100","2113065","104","802100266","0","100505"
"100","2113066","104","802100266","0","100506"
"102","2113067","105","802100266","0","100507"
"103","2113068","106","802100266","0","100508"
"100","2113069","104","802100266","0","100509"
"100","2113070","104","802100266","0","100510"
"100","2113071","104","802100267","0","100511"
"100","2113072","104","802100267","0","100512"
"102","2113073","105","802100267","0","100513"
"103","2113074","106","802100267","0","100514"
"100","2113075","104","802100267","0","100515"
"100","2113076","104","802100267","0","100516"
"102","2113077","105","802100267","0","100517"
"103","2113078","106","802100267","0","100518"
"100","2113079","104","802100267","0","100519"
"100","2113080","104","802100267","0","100520"
"100","2113081","104","802100268","0","100521"
"100","2113082","104","802100268","0","100522"
"102","2113083","105","802100268","0","100523"
"103","2113084","106","802100268","0","100524"
"100","2113085","104","802100268","0","100525"
"112","2113086","208","802100268","1","100526"
"110","2113087","201","802100268","1","100527"
"100","2113088","104","802100268","0","100528"
"102","2113089","105","802100268","0","100529"
"103","2113090","106","802100268","0","100530"
"114","2113031","203","802100263","1","100601"
"113","2113032","202","802100263","1","100602"
"102","2113033","105","802100263","0","100603"
"103","2113034","106","802100263","0","100604"
"114","2113035","203","802100263","1","100605"
"113","2113036","202","802100263","1","100606"
"111","2113037","204","802100263","1","100607"
"113","2113038","202","802100263","1","100608"
"113","2113039","202","802100263","1","100609"
"103","2113040","106","802100263","0","100610"
"114","2113041","203","802100264","1","100611"
"113","2113042","202","802100264","1","100612"
"102","2113043","105","802100264","0","100613"
"103","2113044","106","802100264","0","100614"
"114","2113045","203","802100264","1","100615"
"113","2113046","202","802100264","1","100616"
"111","2113047","204","802100264","1","100617"
"113","2113048","202","802100264","1","100618"
"113","2113049","202","802100264","1","100619"
"103","2113050","106","802100264","0","100620"
"102","2113051","105","802100265","0","100621"
"114","2113052","203","802100265","1","100622"
"113","2113053","202","802100265","1","100623"
"111","2113054","204","802100265","1","100624"
"103","2113055","106","802100265","0","100625"
"112","2113056","208","802100265","1","100626"
"110","2113057","201","802100265","1","100627"
"114","2113058","203","802100265","1","100628"
"113","2113059","202","802100265","1","100629"
"103","2113060","106","802100265","0","100630"
"112","2113091","205","802100269","1","100701"
"112","2113092","206","802100269","1","100702"
"117","2113093","102","802100269","0","100703"
"102","2113094","105","802100269","0","100704"
"102","2113095","105","802100269","0","100705"
"113","2113096","202","802100269","1","100706"
"114","2113097","203","802100269","1","100707"
"117","2113098","102","802100269","0","100708"
"102","2113099","105","802100269","0","100709"
"113","2113100","202","802100269","1","100710"
"112","2115001","205","802100270","1","100711"
"117","2115002","102","802100270","0","100712"
"102","2115003","105","802100270","0","100713"
"103","2115004","106","802100270","0","100714"
"114","2115005","203","802100270","1","100715"
"113","2115006","202","802100270","1","100716"
"112","2115007","207","802100270","1","100717"
"102","2115008","105","802100270","0","100718"
"103","2115009","106","802100270","0","100719"
"113","2115010","202","802100270","1","100720"
"112","2115011","205","802100271","1","100721"
"112","2115012","208","802100271","1","100722"
"117","2115013","102","802100271","0","100723"
"102","2115014","105","802100271","0","100724"
"103","2115015","106","802100271","0","100725"
"112","2115016","208","802100271","1","100726"
"110","2115017","201","802100271","1","100727"
"117","2115018","102","802100271","0","100728"
"102","2115019","105","802100271","0","100729"
"103","2115020","106","802100271","0","100730"
"104","2113001","103","802100260","0","100801"
"100","2113002","104","802100260","0","100802"
"100","2113003","104","802100260","0","100803"
"102","2113004","105","802100260","0","100804"
"102","2113005","105","802100260","0","100805"
"100","2113006","104","802100260","0","100806"
"100","2113007","104","802100260","0","100807"
"102","2113008","105","802100260","0","100808"
"102","2113009","105","802100260","0","100809"
"101","2113010","107","802100260","0","100810"
"104","2113011","103","802100261","0","100811"
"100","2113012","104","802100261","0","100812"
"100","2113013","104","802100261","0","100813"
"102","2113014","105","802100261","0","100814"
"103","2113015","106","802100261","0","100815"
"100","2113016","104","802100261","0","100816"
"100","2113017","104","802100261","0","100817"
"102","2113018","105","802100261","0","100818"
"103","2113019","106","802100261","0","100819"
"100","2113020","104","802100261","0","100820"
"104","2113021","103","802100262","0","100821"
"100","2113022","104","802100262","0","100822"
"100","2113023","104","802100262","0","100823"
"102","2113024","105","802100262","0","100824"
"102","2113025","105","802100262","0","100825"
"112","2113026","208","802100262","1","100826"
"110","2113027","201","802100262","1","100827"
"102","2113028","105","802100262","0","100828"
"103","2113029","106","802100262","0","100829"
"104","2113030","103","802100262","0","100830"
