31665d14c43d449cf19cdceabb08cb34f7e97c38473c64fb25b2357e9a4cecfa,664278e30ac58fb8d3a8a49d35c4a4bb5db92778386d890c597037d50824d384,cb067146badaa9c8edaa3570f9b24d699e1e08ad7bc6acd3fd363ef0aa4da13b,010237b6afb11a5a8dc4d1adca31a068e42a7778c1d1e8e0786602dd8d3711d8,4a7365e714c3005b9e55133f5271508679a05e0e104591c34e0fafe73f32879f,5f2bccb61597e2154b6d5d0062b44d5d72ea5d22c075f86371ac0c71bb5648f6,c14d42cb7c453ab3b4ff6af987ba2bb179dbcafcebdd016f7fe09877c8240409,1b304cf20d81467f25ec540d5f62706c1a11c696663c324572e19f2259e7b063,ea210863044b3be18a30ab70085899211d5198357f44deb8fea24920d5993728,bd4447c433cc75fd3668e4f818c0e9d5dd4ec535ecf80c97ab870afc9b332e2f,c9a83bf30b971a2df5498b9c35932d7ee9b7d26344d979aed39893546c85525e
"se_travel_finish_assemble","se_travel","","","1001","","","1010010001","0","","23"
"1000001","1","travel_exdrama_r_100_run","-160","1001","0","1.46","1010010002","1","-275","1"
"1000002","1","travel_exdrama_r_100_run","-200","1001","0","1.46","1010010003","2","-575","1"
"1000003","1","travel_exdrama_r_100_run","-250","1001","0","1.46","1010010004","3","-750","1"
"1000004","1","travel_exdrama_r_100_run","-175","1001","1","1.46","1010010005","4","575","1"
"1000005","1","travel_exdrama_r_100_run","-250","1001","1","1.46","1010010006","5","750","1"
"-100","1000001","","0","1001","","","1010010007","-160","1","2"
"-275","1000002","","0","1001","","","1010010008","-200","1","2"
"-450","1000003","","0","1001","","","1010010009","-250","1","2"
"275","1000004","","0","1001","","","1010010010","-175","1","2"
"450","1000005","","0","1001","","","1010010011","-250","1","2"
"0","1","","0","1001","","","1010010012","0","0","93"
"travel_exdrama_r_100_raiseup","1000001","","0","1001","0","0.2","1010010013","0","","3"
"travel_exdrama_r_100_idle","1000002","","0","1001","0","0","1010010014","1","","3"
"travel_exdrama_r_100_idle","1000003","","0","1001","0","0","1010010015","1","","3"
"travel_exdrama_r_100_idle","1000004","","0","1001","0","0","1010010016","1","","3"
"travel_exdrama_r_100_idle","1000005","","0","1001","0","0","1010010017","1","","3"
"1","1","travel_exdrama_r_100_raiseup","-160","1001","0","1.46","1010010018","11","-100","5"
"0","1","","","1001","","","1010010019","","","93"
"","1000001","","0","1001","","0.12","1010010020","","","6"
"","1000002","","0","1001","","0.12","1010010021","","","6"
"","1000003","","0","1001","","0.12","1010010022","","","6"
"","1000004","","0","1001","","0.12","1010010023","","","6"
"","1000005","","0","1001","","0.12","1010010024","","","6"
"","1","","0","1001","","0.12","1010010025","","","6"
"0","0.12","","","1001","","","1010010026","","","93"
"","0","","","1001","","","1010010027","","","91"
"se_travel_finish_assemble","se_travel","","","1002","","","1010020001","0","","23"
"1000001","1","travel_exdrama_r_100_run","-160","1002","0","1.46","1010020002","1","-275","1"
"1000002","1","travel_exdrama_r_100_run","-200","1002","0","1.46","1010020003","2","-575","1"
"1000003","1","travel_exdrama_r_100_run","-250","1002","0","1.46","1010020004","3","-750","1"
"1000004","1","travel_exdrama_r_100_run","-175","1002","1","1.46","1010020005","4","575","1"
"1000005","1","travel_exdrama_r_100_run","-250","1002","1","1.46","1010020006","5","750","1"
"10000","10000","","1","1002","","0","1010020007","-40","20","31"
"-100","1000001","","0","1002","","","1010020008","-160","1","2"
"-275","1000002","","0","1002","","","1010020009","-200","1","2"
"-450","1000003","","0","1002","","","1010020010","-250","1","2"
"275","1000004","","0","1002","","","1010020011","-175","1","2"
"450","1000005","","0","1002","","","1010020012","-250","1","2"
"0","1","","0","1002","","","1010020013","0","0","93"
"travel_exdrama_r_100_raiseup","1000001","","0","1002","0","0.2","1010020014","0","","3"
"travel_exdrama_r_100_idle","1000002","","0","1002","0","0","1010020015","1","","3"
"travel_exdrama_r_100_idle","1000003","","0","1002","0","0","1010020016","1","","3"
"travel_exdrama_r_100_idle","1000004","","0","1002","0","0","1010020017","1","","3"
"travel_exdrama_r_100_idle","1000005","","0","1002","0","0","1010020018","1","","3"
"1","1","travel_exdrama_r_100_raiseup","-160","1002","0","1.46","1010020019","11","-100","5"
"0","0.4","","0","1002","","0","1010020020","0","0","93"
"1","10000","","0","1002","","","1010020021","","","32"
"0","0.6","","","1002","","","1010020022","","","93"
"","1000001","","0","1002","","0.12","1010020023","","","6"
"","1000002","","0","1002","","0.12","1010020024","","","6"
"","1000003","","0","1002","","0.12","1010020025","","","6"
"","1000004","","0","1002","","0.12","1010020026","","","6"
"","1000005","","0","1002","","0.12","1010020027","","","6"
"","1","","0","1002","","0.12","1010020028","","","6"
"0","0.12","","","1002","","","1010020029","","","93"
"","0","","","1002","","","1010020030","","","91"
"10100","10100","","1","1011","","1","1010110001","-350","5","31"
"10002","10002","","1","1011","","0","1010110002","-525","50","31"
"10101","10101","","1","1011","","1","1010110003","-184","-121","31"
"10102","10102","","1","1011","","0","1010110004","-350","5","31"
"10103","10103","","1","1011","","0","1010110005","-350","5","31"
"10104","10104","","1","1011","","0","1010110006","-350","5","31"
"1000001","1","travel_exdrama_r_101_walk","-200","1011","0","1.46","1010110007","11","-470","1"
"1000002","1","travel_exdrama_r_101_walk","-150","1011","0","1.46","1010110008","1","-320","1"
"1","1","travel_exdrama_r_101_walk","-200","1011","0","1.46","1010110009","12","-470","5"
"2","1","travel_exdrama_r_101_walk","-150","1011","0","1.46","1010110010","2","-320","5"
"se_travel_finish_cave_rare","se_travel","","","1012","","","1010120001","0","","23"
"-500","1000001","","0","1012","","","1010120002","-200","0.1","2"
"-350","1000002","","0","1012","","","1010120003","-150","0.1","2"
"-500","1","","0","1012","","","1010120004","-200","0.1","2"
"-350","2","","0","1012","","","1010120005","-150","0.1","2"
"travel_exdrama_r_101_joy","1000001","","1","1012","0.2","0.2","1010120006","0","travel_exdrama_r_101_walk","3"
"travel_exdrama_r_101_joy","1000002","","1","1012","0.2","0.2","1010120007","0","travel_exdrama_r_101_walk","3"
"travel_exdrama_r_101_joy","1","","1","1012","0.2","0.2","1010120008","0","travel_exdrama_r_101_walk","3"
"travel_exdrama_r_101_joy","2","","1","1012","0.2","0.2","1010120009","0","travel_exdrama_r_101_walk","3"
"0","10101","","","1012","","","1010120010","0","","32"
"1","10102","","","1012","","","1010120011","0","","32"
"0","1.66","","","1012","","","1010120012","","","93"
"1","10101","","","1012","","","1010120013","0","","32"
"0","10102","","","1012","","","1010120014","0","","32"
"-470","1000001","","0","1012","","","1010120015","-200","0.2","2"
"-320","1000002","","0","1012","","","1010120016","-150","0.2","2"
"-470","1","","0","1012","","","1010120017","-200","0.2","2"
"-320","2","","0","1012","","","1010120018","-150","0.2","2"
"se_travel_finish_cave_event","se_travel","","","1013","","","1010130001","0","","23"
"travel_exdrama_r_101_panic_A","1000001","","1","1013","0","0.2","1010130002","0","travel_exdrama_r_101_walk","3"
"travel_exdrama_r_101_panic_B","1000002","","1","1013","0","0.2","1010130003","0","travel_exdrama_r_101_walk","3"
"travel_exdrama_r_101_panic_A","1","","1","1013","0","0.2","1010130004","0","travel_exdrama_r_101_walk","3"
"travel_exdrama_r_101_panic_B","2","","1","1013","0","0.2","1010130005","0","travel_exdrama_r_101_walk","3"
"1","10002","","","1013","","","1010130006","","","32"
"1","10103","","","1013","","","1010130007","","","32"
"0","3","","","1013","","","1010130008","","","93"
"0","10002","","","1013","","","1010130009","","","32"
"0","10103","","","1013","","","1010130010","","","32"
"-500","1000001","","0","1014","0","0","1010140001","-200","0.1","2"
"-350","1000002","","0","1014","0","0","1010140002","-150","0.1","2"
"-500","1","","0","1014","0","0","1010140003","-200","0.1","2"
"-350","2","","0","1014","0","0","1010140004","-150","0.1","2"
"travel_exdrama_r_finish_B_hand","1000001","","0","1014","0","0","1010140005","0","","3"
"travel_exdrama_r_finish_B_hand","1000002","","0","1014","0","0","1010140006","0","","3"
"travel_exdrama_r_101_finish","1","","0","1014","0","0","1010140007","0","","3"
"travel_exdrama_r_101_finish","2","","0","1014","0","0","1010140008","0","","3"
"0","10101","","","1014","","","1010140009","0","","32"
"1","10104","","","1014","","","1010140010","0","","32"
"10200","10200","","1","1021","","1","1010210001","-350","5","31"
"10201","10201","","1","1021","","0","1010210002","-350","5","31"
"10202","10202","","1","1021","","0","1010210003","-350","5","31"
"10203","10203","","1","1021","","0","1010210004","-490","86","31"
"10204","10204","","1","1021","","0","1010210005","-200","105","31"
"10001","10001","","1","1021","","0","1010210006","-525","50","31"
"1000001","1","travel_exdrama_r_102_book","-180","1021","0","1.46","1010210007","1","-490","1"
"1000002","1","travel_exdrama_r_102_loupe","-180","1021","0","1.46","1010210008","2","-200","1"
"1","1","travel_exdrama_r_102_book","-180","1021","0","1.46","1010210009","11","-490","5"
"2","1","travel_exdrama_r_102_loupe","-180","1021","0","1.46","1010210010","12","-200","5"
"5","5","reliclight_none","-136","1021","0","2","1010210011","13","-339","5"
"se_travel_finish_ruins_rare","se_travel","","","1022","","","1010220001","0","","23"
"travel_exdrama_r_102_bookFind_A","1000001","","1","1022","0.2","0.2","1010220002","0","travel_exdrama_r_102_book","3"
"travel_exdrama_r_102_loupeFind_A","1000002","","1","1022","0.2","0.2","1010220003","0","travel_exdrama_r_102_loupe","3"
"travel_exdrama_r_102_bookFind_A","1","","1","1022","0.2","0.2","1010220004","0","travel_exdrama_r_102_book","3"
"travel_exdrama_r_102_loupeFind_A","2","","1","1022","0.2","0.2","1010220005","0","travel_exdrama_r_102_loupe","3"
"1","10202","","","1022","","","1010220006","","","32"
"1","10203","","","1022","","","1010220007","","","32"
"1","10204","","","1022","","","1010220008","","","32"
"0","1.66","","","1022","","","1010220009","","","93"
"0","10202","","","1022","","","1010220010","","","32"
"0","10203","","","1022","","","1010220011","","","32"
"0","10204","","","1022","","","1010220012","","","32"
"se_travel_finish_ruins_event","se_travel","","","1023","","","1010230001","0","","23"
"travel_exdrama_r_102_bookFind_B","1000001","","1","1023","0","0.2","1010230002","0","travel_exdrama_r_102_book","3"
"travel_exdrama_r_102_loupeFind_B","1000002","","1","1023","0","0.2","1010230003","0","travel_exdrama_r_102_loupe","3"
"travel_exdrama_r_102_bookFind_B","1","","1","1023","0","0.2","1010230004","0","travel_exdrama_r_102_book","3"
"travel_exdrama_r_102_loupeFind_B","2","","1","1023","0","0.2","1010230005","0","travel_exdrama_r_102_loupe","3"
"reliclight_on","5","","","1023","","","1010230006","0","","3"
"1","10201","","","1023","","","1010230007","","","32"
"1","10001","","","1023","","","1010230008","","","32"
"0","3","","","1023","","","1010230009","","","93"
"0","10201","","","1023","","","1010230010","","","32"
"0","10001","","","1023","","","1010230011","","","32"
"reliclight_none","5","","","1023","","","1010230012","0","","3"
"1","1000002","","0","1024","0","0","1010240001","0","","4"
"1","2","","0","1024","0","0","1010240002","0","","4"
"travel_exdrama_r_finish_A","1000001","","0","1024","0","0","1010240003","0","","3"
"travel_exdrama_r_finish_A_front","1000002","","0","1024","0","0","1010240004","0","","3"
"travel_exdrama_r_102_book_finish","1","","0","1024","0","0","1010240005","0","","3"
"travel_exdrama_r_102_loupe_finish","2","","0","1024","0","0","1010240006","0","","3"
"reliclight_none","5","","","1024","","","1010240007","0","","3"
"10300","10300","","1","1031","","1","1010310001","-350","5","31"
"10301","10301","","1","1031","","0","1010310002","-350","5","31"
"10302","10302","","1","1031","","0","1010310003","-350","5","31"
"10002","10002","","1","1031","","0","1010310004","-525","50","31"
"1000001","1","travel_exdrama_r_103_dig_A","-200","1031","0","1.46","1010310005","5","-510","1"
"1000002","1","travel_exdrama_r_103_dig_B","-175","1031","0","1.46","1010310006","3","-400","1"
"1000003","1","travel_exdrama_r_103_map","-140","1031","0","1.46","1010310007","1","-190","1"
"1","1","travel_exdrama_r_103_dig_A","-200","1031","0","1.46","1010310008","6","-510","5"
"2","1","travel_exdrama_r_103_dig_B","-175","1031","0","1.46","1010310009","4","-400","5"
"3","1","travel_exdrama_r_103_map","-140","1031","0","1.46","1010310010","2","-190","5"
"se_travel_finish_dig_rare","se_travel","","","1032","","","1010320001","0","","23"
"travel_exdrama_r_103_surprise_A","1000001","","1","1032","0.2","0.2","1010320002","0","travel_exdrama_r_103_dig_A","3"
"travel_exdrama_r_103_surprise_A","1000002","","1","1032","0.2","0.2","1010320003","0","travel_exdrama_r_103_dig_B","3"
"travel_exdrama_r_103_mapSurprise_A","1000003","","1","1032","0.2","0.2","1010320004","0","travel_exdrama_r_103_map","3"
"travel_exdrama_r_103_surprise_A","1","","1","1032","0.2","0.2","1010320005","0","travel_exdrama_r_103_dig_A","3"
"travel_exdrama_r_103_surprise_A","2","","1","1032","0.2","0.2","1010320006","0","travel_exdrama_r_103_dig_B","3"
"travel_exdrama_r_103_mapSurprise_A","3","","1","1032","0.2","0.2","1010320007","0","travel_exdrama_r_103_map","3"
"1","10302","","","1032","","","1010320008","","","32"
"0","1.25","","","1032","","","1010320009","","","93"
"0","10302","","","1032","","","1010320010","","","32"
"se_travel_finish_dig_event","se_travel","","","1033","","","1010330001","0","","23"
"travel_exdrama_r_103_surprise_B","1000001","","1","1033","0","0.2","1010330002","0","travel_exdrama_r_103_dig_A","3"
"travel_exdrama_r_103_surprise_B","1000002","","1","1033","0","0.2","1010330003","0","travel_exdrama_r_103_dig_B","3"
"travel_exdrama_r_103_mapSurprise_B","1000003","","1","1033","0","0.2","1010330004","0","travel_exdrama_r_103_map","3"
"travel_exdrama_r_103_surprise_B","1","","1","1033","0","0.2","1010330005","0","travel_exdrama_r_103_dig_A","3"
"travel_exdrama_r_103_surprise_B","2","","1","1033","0","0.2","1010330006","0","travel_exdrama_r_103_dig_B","3"
"travel_exdrama_r_103_mapSurprise_B","3","","1","1033","0","0.2","1010330007","0","travel_exdrama_r_103_map","3"
"1","10301","","","1033","","","1010330008","","","32"
"1","10002","","","1033","","","1010330009","","","32"
"0","3","","","1033","","","1010330010","","","93"
"0","10301","","","1033","","","1010330011","","","32"
"0","10002","","","1033","","","1010330012","","","32"
"1","1000003","","","1034","","","1010340001","","","4"
"1","3","","","1034","","","1010340002","","","4"
"travel_exdrama_r_finish_B","1000001","","0","1034","0","0","1010340003","0","","3"
"travel_exdrama_r_finish_B","1000002","","0","1034","0","0","1010340004","0","","3"
"travel_exdrama_r_finish_A_front","1000003","","0","1034","0","0","1010340005","0","","3"
"travel_exdrama_r_103_shovel","1","","0","1034","0","0","1010340006","0","","3"
"travel_exdrama_r_103_shovel","2","","0","1034","0","0","1010340007","0","","3"
"travel_exdrama_r_103_map_finish","3","","0","1034","0","0","1010340008","0","","3"
"10400","10400","","1","1041","","1","1010410001","-350","5","31"
