566cb42381b5cb34f9e7489f10e2357aa044329b2484b282a3b3bfcd783098a8,9ed8a5ffc66180546b8051efafc4a05e8caea735a198e7b71419e49cc3bd40a0,2ab64c207aa9d38313ecc00a39d91c23dd5b98a6ebbcc09efce3c4972bbfe5ae,525b756258002d123169f2fdaec75609997e00bde35729ada5c23dc44520ebd3,22294b799d3ee82d6b1b25038e98e9f3d3a1de47f1e47eed5cf9bb96b89a86af,dc34f7bb0bcc144d9eb2651c6cf63491c56a9d1826164cf2513dd34ab47a976a,24602edf50b60b49f47925c8820d5e370e53ad65ffc6c017e3bedd5b600034b4,f74533e163e24ec06d691ba7c991f5781af7e403a8d3881b1397ff1dd60da1db,af3e08dcd2af52084727d2680d7e3659f3deb58be9a329a82f81fc835be4a62d,bfe9e8bdcf5153de30274a8ee0a8a7c0ac098fe7fca5ece2e804aad360223192,945e09d25bc38a1cbee139c43ab9064a3bd586fef4e18be092fd39d36473729c,bd8a0e84e058c9ace4129f7a1ce966b312da2b33f79f843724d81fa55fdc01fc
"92407120","1","92407110","0","924071100","924073101","90","500000000","1","924072101","1","92407"
"92407130","2","92407120","92407110","924071200","924073102","90","1000000000","2","924072102","1","92407"
"92407140","3","92407130","92407120","924071300","924073103","90","1500000000","3","924072103","1","92407"
"0","3","92407140","92407130","924071400","924073104","90","0","4","924072104","1","92407"
"92407220","1","92407210","0","924072100","924073201","90","500000000","1","924072201","1","92407"
"92407230","2","92407220","92407210","924072200","924073202","90","1000000000","2","924072202","1","92407"
"92407240","3","92407230","92407220","924072300","924073203","90","1500000000","3","924072203","1","92407"
"0","3","92407240","92407230","924072400","924073204","90","0","4","924072204","1","92407"
"92407320","1","92407310","0","924073100","924073301","90","500000000","1","924072301","1","92407"
"92407330","2","92407320","92407310","924073200","924073302","90","1000000000","2","924072302","1","92407"
"92407340","3","92407330","92407320","924073300","924073303","90","1500000000","3","924072303","1","92407"
"0","3","92407340","92407330","924073400","924073304","90","0","4","924072304","1","92407"
"92408120","1","92408110","0","924081100","924083101","90","500000000","1","924082101","1","92408"
"92408130","2","92408120","92408110","924081200","924083102","90","1000000000","2","924082102","1","92408"
"92408140","3","92408130","92408120","924081300","924083103","90","1500000000","3","924082103","1","92408"
"0","3","92408140","92408130","924081400","924083104","90","0","4","924082104","1","92408"
"92408220","1","92408210","0","924082100","924083201","90","500000000","1","924082201","1","92408"
"92408230","2","92408220","92408210","924082200","924083202","90","1000000000","2","924082202","1","92408"
"92408240","3","92408230","92408220","924082300","924083203","90","1500000000","3","924082203","1","92408"
"0","3","92408240","92408230","924082400","924083204","90","0","4","924082204","1","92408"
"92408320","1","92408310","0","924083100","924083301","90","500000000","1","924082301","1","92408"
"92408330","2","92408320","92408310","924083200","924083302","90","1000000000","2","924082302","1","92408"
"92408340","3","92408330","92408320","924083300","924083303","90","1500000000","3","924082303","1","92408"
"0","3","92408340","92408330","924083400","924083304","90","0","4","924082304","1","92408"
"92409120","1","92409110","0","924091100","924093101","90","500000000","1","924092101","1","92409"
"92409130","2","92409120","92409110","924091200","924093102","90","1000000000","2","924092102","1","92409"
"92409140","3","92409130","92409120","924091300","924093103","90","1500000000","3","924092103","1","92409"
"0","4","92409140","92409130","924091400","924093104","90","0","4","924092104","1","92409"
"92409220","1","92409210","0","924092100","924093201","90","500000000","1","924092201","1","92409"
"92409230","2","92409220","92409210","924092200","924093202","90","1000000000","2","924092202","1","92409"
"92409240","3","92409230","92409220","924092300","924093203","90","1500000000","3","924092203","1","92409"
"0","4","92409240","92409230","924092400","924093204","90","0","4","924092204","1","92409"
"92409320","1","92409310","0","924093100","924093301","90","500000000","1","924092301","1","92409"
"92409330","2","92409320","92409310","924093200","924093302","90","1000000000","2","924092302","1","92409"
"92409340","3","92409330","92409320","924093300","924093303","90","1500000000","3","924092303","1","92409"
"0","4","92409340","92409330","924093400","924093304","90","0","4","924092304","1","92409"
"92410120","1","92410110","0","924101100","924103101","90","500000000","1","924102101","1","92410"
"92410130","2","92410120","92410110","924101200","924103102","90","1000000000","2","924102102","1","92410"
"92410140","3","92410130","92410120","924101300","924103103","90","1500000000","3","924102103","1","92410"
"0","4","92410140","92410130","924101400","924103104","90","0","4","924102104","1","92410"
"92410220","1","92410210","0","924102100","924103201","90","500000000","1","924102201","1","92410"
"92410230","2","92410220","92410210","924102200","924103202","90","1000000000","2","924102202","1","92410"
"92410240","3","92410230","92410220","924102300","924103203","90","1500000000","3","924102203","1","92410"
"0","4","92410240","92410230","924102400","924103204","90","0","4","924102204","1","92410"
"92410320","1","92410310","0","924103100","924103301","90","500000000","1","924102301","1","92410"
"92410330","2","92410320","92410310","924103200","924103302","90","1000000000","2","924102302","1","92410"
"92410340","3","92410330","92410320","924103300","924103303","90","1500000000","3","924102303","1","92410"
"0","4","92410340","92410330","924103400","924103304","90","0","4","924102304","1","92410"
