5d01e74cd0447683486551fd8a5fa2da20d003896c815986e6d8af948c11abd1,b1486df4eda571fca9abb8f6945270142e4b7e44be57c8bde4ccc7f815dbe6a3,2263979595adc905c0ab7e5487769d4003b8bd0171c8658de08e154f0264aa0e,d245df6d23401138d0513c91b349300891e1fff348af72aee046548a7cf5e465,65395ca24adb72896a467d7c6a20e38d4c6de96ecee88a1800b6dcd7bf98c700,39f7e2e7b5a68ed134aa8202c0f0ef7fc090f36f8a3655afdb1ef052e675cba7,ef89a2bd04f81a566c0e503743be4a28f677a1739cefbb569fe9ff85edc4e39b,4839beeddbe70a4ef8b5ad2ef873b19184589f29ed2a2494050d5533e85bef8e
"0","1","0","1","【料理】骰子增加成為兩個","1","1","52001"
"0","1","0","1","【料理】骰子只會丟出「1」","1","2","52002"
"0","1","0","3","【料理】跳過下次的回合數計算","2","3","52002"
"0","1","0","1","【料理】骰子只會丟出「4」","1","4","52004"
"0","1","0","1","【料理】骰子只會丟出\n「4・5・6」","1","5","52006"
"0","1","0","1","【料理】骰子第1次只會丟出「3」，第2次只會丟出「6」","1","6","52007"
"0","1","0","1","【料理】骰子只會丟出「5」","1","7","52003"
"0","1","0","2","【料理】里程格所獲得的里程將提升200%","7","8","52008"
"0","2","0","3","【事件】跳過下次的回合數計算","2","9","4"
"0","2","0","2","【事件】里程格所獲得的里程將提升100%","3","10","5"
"0","2","0","2","【事件】小遊戲所獲得的里程將提升100%","5","11","6"
"0","2","0","3","【事件】里程商店的所有商品折價20%以上","4","12","7"
"0","1","0","1","【料理】骰子第1次只會丟出「8」，第2次只會丟出「1」","1","13","52009"
"0","1","0","2","【料理】「里程格」「寶物格」\n「商店格」的RANK提升1個","6","14","52010"
"0","1","0","1","【料理】骰子第1次只會丟出「2」，第2次只會丟出「7」","1","15","52011"
"0","1","0","1","【料理】骰子只會丟出\n「1・2・3」","1","16","52012"
"0","1","0","3","【料理】跳過下次的回合數計算","2","17","52012"
"0","1","0","1","【料理】移動時將可以跳過里程格。","8","18","52014"
"0","1","0","1","【料理】下次移動時，將多移動1格。","1","19","52005"
"2","1","2","1","【料理】下次移動時，將多移動1格。","1","20","52014"
"0","1","0","1","【料理】骰子增加成為兩個","1","21","52015"
"0","1","0","1","【料理】下次移動時，將多移動1格。","1","22","52015"
"0","1","0","1","【料理】投擲的骰子一定會丟出「6」。","1","23","52016"
"0","1","0","1","【料理】變得無法食用移動系的料理。","9","24","52017"
"0","1","0","1","【料理】投擲的骰子一定會丟出「3」。","1","25","52018"
"0","1","0","1","【料理】投擲的骰子一定會丟出「8」。","1","26","52019"
"0","2","0","3","【事件】跳過下次的回合數計算","2","27","98011"
"0","2","0","3","【事件】跳過下次的回合數計算","2","28","98012"
"0","1","0","2","【料理】移動時將可以跳過里程格。","10","29","52020"
"2","1","2","1","【料理】下次移動時，將多移動1格。","1","30","52020"
"0","1","0","2","【料理】移動時可以跳過寶物格。","10","31","52021"
"0","1","0","1","【料理】投擲的骰子丟出「5和6」的\n機率變成3倍。","1","32","52022"
"0","1","0","1","【料理】第1次投擲骰子一定會丟出「6」，第2次一定會丟出「3」","1","33","52023"
"0","1","0","1","【料理】下次移動時多前進3格","1","34","52024"
"0","1","0","2","【料理】移動時可以跳過「里程格」及「寶物格」。","10","35","52025"
"0","1","0","1","【料理】骰子只會丟出「5」","1","36","52027"
"0","1","0","1","【料理】投擲的骰子\n只會丟出「1、2」。","1","37","52028"
"0","1","0","1","【料理】投擲的骰子一定會丟出「2」。","1","38","52029"
"0","1","0","3","【料理】跳過下次的回合數計算","2","39","52029"
"0","2","0","3","【事件】里程商店的所有商品折價20%以上","4","40","8"
"0","1","0","3","【料理】將「里程格」變成「寶物格」。","11","41","52030"
