e867c7b50cd90182d8d251690e52cbc5a504cb78a8d304d20b8e14f709685637,a95c42d14b7b89b3018e9913390147158d3d7aac66adaff86a10be33f7b142ec,4766156e9107ea552d8cee76bafae842b5a750bb97a9242887f228058d06b2db,ad78a3cae6f65e08ce422ba1c1b77c69ac810cf61c5df571020102b6ace5b6ee,0fdce1ec19ac0726c4d4f4bcb92fc707ea2f967a4ed5ab529e561a9836e2c1e9,9b3024643c54aeb718a21f75562caabd1ec620a84fb7d91b477ec4a2047554a5,ea648d40c4a15ed39900b2b1dce544c50eea28a4d5969835901bdf33dbca5d42,4f75048e0a6043047f1693312e01c5baddf5287e9dfd7a218a55d165560c6279,b8e56e07a94e4cf0d9d64aa4e870046d8768adb046ba134f0744b4804ca51a32,7cfbc6a368b960d21bf690d75632aa064460d5b6fe54f4cf532501d59b93e64e,b547376feea4f72d65ab15851f9d92baf983606d71f98535a333712a8a82b469,7177b464c74172e495a1d002a3fef97c965d685b5da494467378abaad880fe36,efc0cc37f15ef73668d0d9e178962c5e8a75109e432d4407089e2c2a69fcced1,66c3854632a7ea23c7133a33b0dce4a5efda6fec2cfe5d354a8b04d3db46c7b6,2fdd35f25e8ee5844a99a11750b1be6c8545652fc5abea142decbfef570035db,3ad4eea387f87fce88bceeef5a452257e8dd130c51d0e7f9e2b528ca59e4e3de,957ea5f51c38b292afe60a9170ea695002c22775accd949f78596441c3205f9f,0929d946b2470f62cf6914b3555653bc248f97f0c27e53cadd1d468f2aff1934
"403","1","每日寶石禮包未領取的獎勵","每日寶石禮包第{1}天的獎勵","2000","0","3","104","2","0","30","1","1","1","9401","9","2","17001001"
"403","0","每日瑪那禮包未領取的獎勵","每日瑪那禮包第{1}天的獎勵","0","0","3","0","2","0","30","1","101","1","99401","12","1","17001101"
"403","0","","","0","0","0","0","2","0","1","1","102","1","99402","13","0","17001102"
"403","0","","","0","0","1","0","2","0","7","1","103","1","99403","14","0","17001103"
"403","0","","","0","0","3","0","2","0","30","1","104","1","99404","15","0","17001104"
"403","0","每日體力未領取的獎勵","每日體力禮包第{1}天的獎勵","0","0","3","0","0","0","30","1","105","1","99445","32","1","17001105"
"403","0","每日秘石未領取的獎勵","每日秘石禮包第{1}天的獎勵","0","0","3","0","2","0","30","1","106","1","99456","41","1","17001106"
"403","0","每日瑪那禮包未領取的獎勵","每日瑪那禮包第{1}天的獎勵","0","0","3","0","2","0","30","1","107","1","99401","42","1","17001107"
"403","0","每日寶石禮包未領取的獎勵","每日寶石禮包第{1}天的獎勵","0","0","3","104","2","0","90","1","2","1","9401","75","1","17001109"
"0","3","","","1000","1","3","103","1","1","7","0","0","0","9402","90","0","0"
"403","0","公主之心碎片每日禮包未領取的獎勵","公主之心碎片每日禮包第{1}天的獎勵","0","0","3","0","2","0","30","1","108","1","99517","91","1","17001108"
"0","3","","","1000","1","3","103","1","1","30","0","0","0","9402","139","0","0"
"405","1","","體力應援包第{1}天的獎勵","0","0","0","103","3","0","7","0","3","2","99559","211","1","17001110"
"0","0","","","0","0","0","0","4","0","0","34","4","2","9403","212","0","0"
