45a18e8c2c99ff904bdf72424f49dda8dcfaa0eb0ee0d78cddb13d60e9ccce66,f6b71bdf51c78cd924c9acbb7e2cae32878fb1c82b4a1f7d7dc97c5d15768cb1,39eac80206849fd7afebcc69efa1f0cafe22585663dfea0f2c910a69597d0fb3,d1b61cb6e187035dabbc9f19900305c95f13144ac6c9cbffa81b87d8e6bd5749,f886f6750696f92863ca8efafa86552e04e6651590e3f5976a50667cd4585d56,69e6efd220a7f9fcfe51a07aa513592b9b9ee063a63a5cf9b1141096f3916b44,dc35b67a16673ab021ea5c6d3603eeff958677d04a715d14ab7eca64c66df8c7,849c30cc0e18d7def8f17d3d71c584b8d7458f7df51c86beec86d8d547ea628c,13b85438ea2d7fa5f7a12561552d35928761b551ee8f841a06f0c401a44778dd,9d5746cbe71bcfebcad750f3723a3bee51c5623af8900031ce3bd86e2244af88,3040749f0710a24874d74ee387e3448a5316ff99170bcb9b009bafc7e714632d
"-194","1","1001","1","1.65","118511","1","taq_karin_idle","100","72","1"
"","","1002","1","","vo_minigame_1009_top_001","vo_minigame_1009","","0","0","21"
"0","0","1003","1","0","有準備獎品喔，\n請好好加油吧♪\n","118511","0","8","0","11"
"","","1004","1","0.2","taq_karin_talk_normal","118511","","1","","3"
"","","1005","1","","","1003","","","","91"
"","","1006","1","0.2","taq_karin_idle","118511","","1","","3"
"-194","1","2001","2","1.65","118511","1","taq_karin_idle","100","72","1"
"","","2002","2","","vo_minigame_1009_top_002","vo_minigame_1009","","0","0","21"
"0","0","2003","2","0","這會考驗\n大家的知職喔。","118511","0","8","0","11"
"","","2004","2","0.2","taq_karin_talk_thinking","118511","","1","","3"
"","","2005","2","","","2003","","","","91"
"","","2006","2","0.2","taq_karin_idle","118511","","1","","3"
"-194","1","3001","3","1.65","118511","1","taq_karin_idle","100","72","1"
"","","3002","3","","vo_minigame_1009_top_003","vo_minigame_1009","","0","0","21"
"0","0","3003","3","0","這世上還有很多\n我們不知道的事。\n","118511","0","8","0","11"
"","","3004","3","0.2","taq_karin_talk_surprise","118511","","1","","3"
"","","3005","3","","","3003","","","","91"
"","","3006","3","0.2","taq_karin_idle","118511","","1","","3"
"-194","1","4001","4","1.65","118511","1","taq_karin_idle","100","72","1"
"","","4002","4","","vo_minigame_1009_top_004","vo_minigame_1009","","0","0","21"
"0","0","4003","4","0","不曉得答案時\n可以試著憑直覺。\n","118511","0","8","0","11"
"","","4004","4","0.2","taq_karin_talk_normal2","118511","","1","","3"
"","","4005","4","","","4003","","","","91"
"","","4006","4","0.2","taq_karin_idle","118511","","1","","3"
"-194","1","5001","5","1.65","118511","1","taq_karin_idle","100","72","1"
"","","5002","5","","vo_minigame_1009_top_005","vo_minigame_1009","","0","0","21"
"0","0","5003","5","0","大家齊心協力\n朝向全題答對\n努力吧♪","118511","0","7","0","11"
"","","5004","5","0.2","taq_karin_talk_joy3","118511","","1","","3"
"","","5005","5","","","5003","","","","91"
"","","5006","5","0.2","taq_karin_idle","118511","","1","","3"
