80efc855cfa81ce46ca4367793979e9a8597032f1b6e85da4b3c0e602b97b6dd,3c5698c9fc7a672b8845ca21c3a8d629a0c968f7e981bdec714159b8cae783ba,89aef5f60d3ec65a464e2445a2b2089fab9c0a013513ab7f913eeec86e216354,f7e05f409f68458886eeb73f09f57138a64208b76c6d487d49982c3dbda3238a,cdd68e9330cdf778afa6f0fdbb90f3fdfdb8d1081cd6cee057e117d9089bce2b,15411fd7ff230de5793e561d7261266281f258a7634a30392912ca555c2b6ce5,1fab2c0dd8f84d381b6bdb26795833f83721979989e9ae90064e923a1df5f597,cb772b3c347d47f9505288105cdc7ee784b0e21114356daf36a7b69a612b5213,b69f44529fa90bfdb6b28304cf41d2d78849f79bad73b296a8f6233585f75a8f,fa5ac5e56833d8085a827e54318cd55f039513fe21538cb372146888a2d3d58e,0ce104cef21ef9a4be5c49257ae18f48e27a65c626bad93700f24dda80e07efd,57992d11818a6dabc8d565fa9f7dcc93947dfd1e0ec8993b5fd877c5b2cbfbc7
"0","0","0","0","1","0.8","5154062","4","515406201","1","0","0"
"0","0","vo_abd_0101","0","2","0","5154062","2","515406202","0","0","vo_abd"
"1","2","0","300","3","0","5154062","1","515406203","0","0","0"
"0","0","0","0","4","2.1","5154062","4","515406204","1","0","0"
"0","0","vo_abd_0102","0","5","0","5154062","2","515406205","0","0","vo_abd"
"2","2.05","0","400","6","0","5154062","1","515406206","0","0","0"
"0","0","0","0","7","3.2","5154062","4","515406207","1","0","0"
"0","0","vo_abd_0103","0","8","0","5154062","2","515406208","0","0","vo_abd"
"3","1","0","60","9","0","5154062","1","515406209","0","0","0"
"0","0","0","0","10","1.4","5154062","4","515406210","1","0","0"
"3","2.5","0","430","11","0","5154062","1","515406211","0","60","0"
"0","0","0","0","12","3.3","5154062","4","515406212","1","0","0"
"0","0","vo_abd_0104","0","13","0","5154062","2","515406213","0","0","vo_abd"
"4","0.2","0","39","14","0","5154062","1","515406214","0","0","0"
"0","0","0","0","15","0.5","5154062","4","515406215","1","0","0"
"4","0.2","0","77","16","0","5154062","1","515406216","0","39","0"
"0","0","0","0","17","0.6","5154062","4","515406217","1","0","0"
"4","0.8","0","205","18","0","5154062","1","515406218","0","77","0"
"0","0","0","0","19","1.2","5154062","4","515406219","1","0","0"
"4","1.8","0","410","20","0","5154062","1","515406220","0","205","0"
"0","0","0","0","21","2.2","5154062","4","515406221","1","0","0"
"0","0","vo_abd_0105","0","22","0","5154062","2","515406222","0","0","vo_abd"
"5","0.6","0","69","23","0","5154062","1","515406223","0","0","0"
"0","0","0","0","24","1","5154062","4","515406224","1","0","0"
"5","0.7","0","195","25","0","5154062","1","515406225","0","69","0"
"0","0","0","0","26","1.5","5154062","4","515406226","1","0","0"
"5","0.8","0","315","27","0","5154062","1","515406227","0","195","0"
"0","0","0","0","28","1","5154062","4","515406228","1","0","0"
"5","0.7","0","415","29","0","5154062","1","515406229","0","315","0"
"0","0","0","0","30","2","5154062","4","515406230","1","0","0"
"0","0","vo_abd_0106","0","31","0","5154062","2","515406231","0","0","vo_abd"
"6","1","0","190","32","0","5154062","1","515406232","0","0","0"
"0","0","0","0","33","1.3","5154062","4","515406233","1","0","0"
"6","1","0","415","34","0","5154062","1","515406234","0","190","0"
"0","0","0","0","35","2.3","5154062","4","515406235","1","0","0"
"0","0","vo_abd_0107","0","36","0","5154062","2","515406236","0","0","vo_abd"
"7","0.7","0","47","37","0","5154062","1","515406237","0","0","0"
"0","0","0","0","38","0.8","5154062","4","515406238","1","0","0"
"7","0.8","0","360","39","0","5154062","1","515406239","0","47","0"
"0","0","0","0","40","2","5154062","4","515406240","1","0","0"
"0","0","vo_abd_0108","0","41","0","5154062","2","515406241","0","0","vo_abd"
"8","2.63","0","415","42","0","5154062","1","515406242","0","0","0"
"0","0","0","0","43","2.63","5154062","4","515406243","1","0","0"
"0","0","vo_abd_0109","0","44","0","5154062","2","515406244","0","0","vo_abd"
"9","1","0","0","45","0","5154062","1","515406245","0","0","0"
"0","0","0","0","46","2","5154062","4","515406246","1","0","0"
"9","0.5","0","61","47","0","5154062","1","515406247","0","0","0"
"0","0","0","0","48","1.2","5154062","4","515406248","1","0","0"
"9","1.5","0","415","49","0","5154062","1","515406249","0","61","0"
"0","0","0","0","50","2.5","5154062","4","515406250","1","0","0"
"0","0","vo_abd_0110","0","51","0","5154062","2","515406251","0","0","vo_abd"
"10","0.2","0","28","52","0","5154062","1","515406252","0","0","0"
"0","0","0","0","53","0.6","5154062","4","515406253","1","0","0"
"10","1.3","0","400","54","0","5154062","1","515406254","0","28","0"
"0","0","0","0","55","2.3","5154062","4","515406255","1","0","0"
"0","0","vo_abd_0111","0","56","0","5154062","2","515406256","0","0","vo_abd"
"11","0.3","0","60","57","0","5154062","1","515406257","0","0","0"
"0","0","0","0","58","1.2","5154062","4","515406258","1","0","0"
"11","1","0","315","59","0","5154062","1","515406259","0","60","0"
"0","0","0","0","1","0.8","5154063","4","515406301","1","0","0"
"0","0","vo_abd_0201","0","2","0","5154063","2","515406302","0","0","vo_abd"
"1","1.5","0","350","3","0","5154063","1","515406303","0","0","0"
"0","0","0","0","4","2.25","5154063","4","515406304","1","0","0"
"0","0","vo_abd_0202","0","5","0","5154063","2","515406305","0","0","vo_abd"
"2","1.8","0","390","6","0","5154063","1","515406306","0","0","0"
"0","0","0","0","7","3","5154063","4","515406307","1","0","0"
"0","0","vo_abd_0203","0","8","0","5154063","2","515406308","0","0","vo_abd"
"3","1.5","0","330","9","0","5154063","1","515406309","0","0","0"
"0","0","0","0","10","1.8","5154063","4","515406310","1","0","0"
"0","0","vo_abd_0204","0","11","0","5154063","2","515406311","0","0","vo_abd"
"4","1.3","0","300","12","0","5154063","1","515406312","0","0","0"
"0","0","0","0","13","2.5","5154063","4","515406313","1","0","0"
"0","0","vo_abd_0205","0","14","0","5154063","2","515406314","0","0","vo_abd"
"5","1.5","0","360","15","0","5154063","1","515406315","0","0","0"
"0","0","0","0","16","2","5154063","4","515406316","1","0","0"
"0","0","vo_abd_0206","0","17","0","5154063","2","515406317","0","0","vo_abd"
"6","1.8","0","310","18","0","5154063","1","515406318","0","0","0"
"0","0","0","0","19","3","5154063","4","515406319","1","0","0"
"0","0","vo_abd_0207","0","20","0","5154063","2","515406320","0","0","vo_abd"
"8","1.2","0","138","21","0","5154063","1","515406321","0","0","0"
"0","0","0","0","22","1.6","5154063","4","515406322","1","0","0"
"8","0.45","0","400","23","0","5154063","1","515406323","0","138","0"
"0","0","0","0","24","0.45","5154063","4","515406324","1","0","0"
"0","0","vo_abd_0208","0","25","0","5154063","2","515406325","0","0","vo_abd"
"9","1.1","0","360","26","0","5154063","1","515406326","0","0","0"
"0","0","0","0","27","1.6","5154063","4","515406327","1","0","0"
"0","0","vo_abd_0209","0","28","0","5154063","2","515406328","0","0","vo_abd"
"10","0.5","0","280","29","0","5154063","1","515406329","0","0","0"
"0","0","0","0","30","0.5","5154063","4","515406330","1","0","0"
"0","0","vo_abd_0210","0","31","0","5154063","2","515406331","0","0","vo_abd"
"11","1","0","360","32","0","5154063","1","515406332","0","0","0"
"0","0","0","0","1","0.8","5154064","4","515406401","1","0","0"
"0","0","vo_abd_0301","0","2","0","5154064","2","515406402","0","0","vo_abd"
"1","2","0","400","3","0","5154064","1","515406403","0","0","0"
"0","0","0","0","4","2.8","5154064","4","515406404","1","0","0"
"0","0","vo_abd_0302","0","5","0","5154064","2","515406405","0","0","vo_abd"
"2","2","0","400","6","0","5154064","1","515406406","0","0","0"
"0","0","0","0","7","3.5","5154064","4","515406407","1","0","0"
"0","0","vo_abd_0303","0","8","0","5154064","2","515406408","0","0","vo_abd"
"3","2.8","0","425","9","0","5154064","1","515406409","0","0","0"
"0","0","0","0","10","3.5","5154064","4","515406410","1","0","0"
"0","0","vo_abd_0304","0","11","0","5154064","2","515406411","0","0","vo_abd"
"4","3","0","450","12","0","5154064","1","515406412","0","0","0"
"0","0","0","0","13","4","5154064","4","515406413","1","0","0"
"0","0","vo_abd_0305","0","14","0","5154064","2","515406414","0","0","vo_abd"
"5","0.2","0","63","15","0","5154064","1","515406415","0","0","0"
"0","0","0","0","16","1.05","5154064","4","515406416","1","0","0"
"5","2","0","420","17","0","5154064","1","515406417","0","63","0"
"0","0","0","0","18","3.5","5154064","4","515406418","1","0","0"
"0","0","vo_abd_0306","0","19","0","5154064","2","515406419","0","0","vo_abd"
"6","1","0","151","20","0","5154064","1","515406420","0","0","0"
"0","0","0","0","21","1.7","5154064","4","515406421","1","0","0"
"6","1","0","260","22","0","5154064","1","515406422","0","151","0"
"0","0","0","0","23","2.8","5154064","4","515406423","1","0","0"
"7","0.8","0","48","24","0","5154064","1","515406424","0","0","0"
"0","0","0","0","25","0.96","5154064","4","515406425","1","0","0"
"0","0","vo_abd_0307","0","26","0","5154064","2","515406426","0","0","vo_abd"
"7","1.5","0","360","27","0","5154064","1","515406427","0","48","0"
"0","0","0","0","28","1.7","5154064","4","515406428","1","0","0"
"7","0.8","0","360","29","0","5154064","1","515406429","0","360","0"
"0","0","0","0","30","2","5154064","4","515406430","1","0","0"
"0","0","vo_abd_0308","0","31","0","5154064","2","515406431","0","0","vo_abd"
"8","1","0","254","32","0","5154064","1","515406432","0","0","0"
"0","0","0","0","33","2","5154064","4","515406433","1","0","0"
"8","0.3","0","254","34","0","5154064","1","515406434","0","254","0"
"0","0","0","0","35","1.5","5154064","4","515406435","1","0","0"
"8","0.8","0","400","36","0","5154064","1","515406436","0","254","0"
"0","0","0","0","37","2","5154064","4","515406437","1","0","0"
"0","0","vo_abd_0309","0","38","0","5154064","2","515406438","0","0","vo_abd"
"9","2","0","96","39","0","5154064","1","515406439","0","0","0"
"0","0","0","0","40","2.65","5154064","4","515406440","1","0","0"
"9","1","0","425","41","0","5154064","1","515406441","0","96","0"
"0","0","0","0","42","2","5154064","4","515406442","1","0","0"
"0","0","vo_abd_0310","0","43","0","5154064","2","515406443","0","0","vo_abd"
"10","2.5","0","400","44","0","5154064","1","515406444","0","0","0"
"0","0","0","0","45","4","5154064","4","515406445","1","0","0"
"0","0","vo_abd_0311","0","46","0","5154064","2","515406446","0","0","vo_abd"
"11","1.2","0","115","47","0","5154064","1","515406447","0","0","0"
"0","0","0","0","48","2","5154064","4","515406448","1","0","0"
"11","1","0","295","49","0","5154064","1","515406449","0","115","0"
"0","0","0","0","50","2.5","5154064","4","515406450","1","0","0"
"11","0.5","0","430","51","0","5154064","1","515406451","0","295","0"
"0","0","0","0","1","0.8","5154065","4","515406501","1","0","0"
"0","0","vo_abd_0401","0","2","0","5154065","2","515406502","0","0","vo_abd"
"1","2","0","400","3","0","5154065","1","515406503","0","0","0"
"0","0","0","0","4","3.2","5154065","4","515406504","1","0","0"
"0","0","vo_abd_0402","0","5","0","5154065","2","515406505","0","0","vo_abd"
"2","2","0","420","6","0","5154065","1","515406506","0","0","0"
"0","0","0","0","7","3.7","5154065","4","515406507","1","0","0"
"0","0","vo_abd_0403","0","8","0","5154065","2","515406508","0","0","vo_abd"
"3","2","0","400","9","0","5154065","1","515406509","0","0","0"
"0","0","0","0","10","3","5154065","4","515406510","1","0","0"
"0","0","vo_abd_0404","0","11","0","5154065","2","515406511","0","0","vo_abd"
"4","1","0","188","12","0","5154065","1","515406512","0","0","0"
"0","0","0","0","13","1.15","5154065","4","515406513","1","0","0"
"4","1","0","425","14","0","5154065","1","515406514","0","188","0"
"0","0","0","0","15","2.5","5154065","4","515406515","1","0","0"
"0","0","vo_abd_0405","0","16","0","5154065","2","515406516","0","0","vo_abd"
"5","2.4","0","450","17","0","5154065","1","515406517","0","0","0"
"0","0","0","0","18","2.9","5154065","4","515406518","1","0","0"
"0","0","vo_abd_0407","0","19","0","5154065","2","515406519","0","0","vo_abd"
"6","1","0","300","20","0","5154065","1","515406520","0","0","0"
"0","0","0","0","21","1.5","5154065","4","515406521","1","0","0"
"0","0","vo_abd_0408","0","22","0","5154065","2","515406522","0","0","vo_abd"
