cf58c974364e553b0671be6899655a8be67cb84aff4f2769031196fae2487451,f4af796bf9e61ff566b32b0c8e273aaab8a17a2a55da8d1164a4edcb228e3d26,23bd4398d800e039e97f831da321438405b4d50f6218be69d94ad182fd82b2f7,cbc31c14308c9c65bb3b3f32b17db9085d6e82a238a799afadb89d414f7e62ec,33bd90564e68ab701c841f69c8816b01087a8e21be295aba0b35f3ddcda18df9,11cd91f6369c00b532204a53400f3959c1a69fc7b5d6eb92ea4787ef5729065c,67cad1b671912634d7013509349fd4941ed66d9e253e15a3bd34a343a800b976,2b0a68feea7e7c820ac25b7af5e21a0f5f3a0ebe807834b39cca264f9d161a54,e40213f338e6d08f8423d564609f36f088f3175fd2121ec68ee0d67c38d3031b,cc5a226c11a2f112a93422918853667e12983b53e5d141e079f379bef4047067,ee257ee2c6d560666effefaac7b9737a2b8359a7e548de5ea8840ce433335176
"-220","119931","-200","100","psy_miyako_idle","1","0","1","1","1001","1.7"
"-220","1","1000","100","psy_idle_normal","5","1","1","1","1002","1.7"
"-220","2","-50","105","psy_fairy_idle","5","0","1","1","1003","1.7"
"1","11","0","0","","31","","1","1","1004","1"
"","psy_item00_run","","1","","3","","1","1","1005","0.2"
"0","285","2.5","-220","","2","","1","1","1006",""
"","","","","","93","","1","2.5","1007",""
"","psy_item00_idle","","1","","3","","1","1","1008","0.2"
"","","","","","93","","1","0.5","1009",""
"","psy_miyako_talk1","","1","","3","","1","119931","1010","0.2"
"","vo_minigame_1008_drama_0101","0","0","","21","","1","vo_minigame_1008","1011",""
"0","等老奶奶買完東西回來後，\n宮子要給她看\n究極的布丁，\n讓她大吃一驚喲！","1","5","0.5","11","0","1","119931","1012","0"
"","1","","","","93","","1","6","1013",""
"1","psy_miyako_doya_in","psy_miyako_doya_loop","0","","3","0.2","1","119931","1014","0.2"
"","","","","","91","","1","1012","1015",""
"","0","","","","22","","1","0","1016",""
"","psy_fairy_talk","","1","","3","","1","2","1017","0.2"
"","vo_minigame_1008_drama_9901","0","0","","21","","1","vo_minigame_1008","1018",""
"0","啾啾！","1","3","0.5","11","0","1","2","1019","0"
"","","","","","91","","1","0","1020",""
"","psy_fairy_idle","","1","","3","","1","2","1021","0.2"
"","psy_miyako_talk2","","1","","3","","1","119931","1022","0.2"
"","vo_minigame_1008_drama_0102","0","0","","21","","1","vo_minigame_1008","1023",""
"0","你也想幫忙嗎？\n那就去真陽那邊\n帶很多蛋和牛奶回來吧！\n材料越多越好喲！","1","3","0.5","11","0","1","119931","1024","0"
"","1","","","","93","","1","2","1025",""
"","psy_miyako_talk_joy2","","1","","3","","1","119931","1026","0.2"
"","","","","","91","","1","1024","1027",""
"","0","","","","22","","1","0","1028",""
"","psy_miyako_idle","","1","","3","","1","119931","1029","0.2"
"","1","","","","4","","1","2","1030",""
"1","psy_fairy_run_in","psy_fairy_run","0","","3","0","1","2","1031","0.2"
"","","","","","93","","1","1.3","1032",""
"0","1000","1","-220","","2","","1","2","1033",""
"","","","","","93","","1","2","1034",""
"1","psy_miyako_doya_in","psy_miyako_doya_loop","0","","3","0.2","1","119931","1035","0.2"
"","vo_minigame_1008_drama_0103","0","0","","21","","1","vo_minigame_1008","1036",""
"0","你也來幫宮子的忙！\n麻煩的事情全部都\n交給你喲！","1","4","0.5","11","0","1","119931","1037","0"
"","","","","","91","","1","0","1038",""
"","0","","","","22","","1","0","1039",""
"0","11","0","1","0","12","0","1","1","1040","0"
"1","psy_item00_talk_guts","psy_item00_idle_guts","0","","3","0.2","1","1","1041","0.2"
"","","","","","93","","1","2","1042",""
"","psy_miyako_talk_joy2","","1","","3","","1","119931","1043","0.2"
"","vo_minigame_1008_drama_0104","0","0","","21","","1","vo_minigame_1008","1044",""
"0","把所有人都\n變成好吃的布丁喲～♪","1","4","0.5","11","0","1","119931","1045","0"
"","1","","","","93","","1","4","1046",""
"1","psy_miyako_fight_in","psy_miyako_fight_loop","0","","3","0.2","1","119931","1047","0.2"
"1","psy_item00_handsup","psy_item00_handsup_loop","0","","3","0.2","1","1","1048","0.2"
"","","","","","93","","1","1.5","1049",""
"","","","","","91","","1","1045","1050",""
"","0","","","","22","","1","0","1051",""
"-200","119931","-300","100","psy_miyako_start","1","0","2","1","2001","1.7"
"-220","106011","300","100","psy_walk","1","1","2","1","2002","1.7"
"1","11","0","0","","31","","2","1","2003","1"
"-200","1","-300","101","psy_smoke_start","5","0","2","1","2004","1.7"
"0","185","2","-220","","2","","2","106011","2005",""
"","","","","","93","","2","2","2006",""
"1","psy_kyaru_talk_arm_crossed","psy_kyaru_talk_arm_crossed_loop","0","","3","0","2","106011","2007","0.2"
"","vo_minigame_1008_drama_0305","0","0","","21","","2","vo_minigame_1008","2008",""
"0","喂，你，\n幫我隨便挑些適合\n帶給貪吃佩可的點心……","1","5","0.5","11","0","2","106011","2009","0"
"","","","","","91","","2","0","2010",""
"","vo_minigame_1008_drama_0306","0","0","","21","","2","vo_minigame_1008","2011",""
"","psy_talk_sad","","1","","3","","2","106011","2012","0.2"
"0","呃，居然不在。\n聽說那傢伙在這邊工作\n我才來的……話說根本沒人在嘛，\n真是粗心的店家呢。","1","7","0.5","11","0","2","106011","2013","0"
"","1","","","","93","","2","4","2014",""
"","psy_talk_sad","","1","","3","","2","106011","2015","0.2"
"","","","","","91","","2","2013","2016",""
"","psy_idle_sad","","1","","3","","2","106011","2017","0.2"
"1","psy_miyako_appear","psy_miyako_thinking4","0","","3","0.2","2","119931","2018","0.2"
"0","psy_smoke_appear","psy_smoke_start","0","","3","0","2","1","2019","0"
"","vo_minigame_1008_drama_0301","0","0","","21","","2","vo_minigame_1008","2020",""
"0","布丁……布丁……\n要製作究極的布丁好難喲……\n好想要能夠讓人靈光一閃的契機……","1","4","1","11","0","2","119931","2021","0"
"","1","","","","93","","2","1","2022",""
"1","psy_surprise","psy_idle_surprise2","0","","3","0.2","2","106011","2023","0.2"
