9046e8798cf65b60308a08a3ea8e38047da3de1d5310c8dcf1b5ae51ffccc904,c3a6a4b113625732077bd8da39c1227bd2c97928b173ca5aa92f3d517b85ea85,ce406e33a7a5cbf00fbe9e6b003b7be6a636f45807ca9c468ba13423fa5c9f83,13bb4484afe80fc14b618e9348e3d698ea0ee0b61dfcf71d30ae6022201092aa
"1","【加速】4以上：\nＴＰ上升＋30\n可重複的行動速度＋100％\n","4","10011"
"1","【加速】9以上：\n必殺技發動時【烈風】＋１（最大99）\n每20秒展開物理/魔法造成傷害提升的領域\n（【烈風】數×1％）\n","9","10012"
"1","【加速】15以上：\n每9秒恢復ＴＰ1000\n","15","10013"
"2","【虛弱】4以上：\n對敵方全體施加黑炎（每秒1萬傷害，每次提升5％傷害）\n","4","10021"
"2","【虛弱】9以上：\n對敵方的持續傷害＋1000％（最大50萬傷害）\n","9","10022"
"2","【虛弱】15以上：\n依照虛弱效果數提升敵方受到的傷害（目標的虛弱效果數\n×50％，最大＋500％）\n且對敵方的持續傷害＋1000％（最大50萬傷害）\n","15","10023"
"3","【會心】4以上：\n物理/魔法暴擊傷害提升（【會心】數量×10%）\n物理/魔法暴擊率提升（【會心】數量×400）\n","4","10031"
"3","【會心】9以上：\n敵方全體的物理/魔法被暴擊傷害提升（【會心】數量×5%）\n增幅傷害（【會心】數量×2%）\n","9","10032"
"3","【會心】15以上：\n攻擊時追加傷害（【會心】數量×2%）\n","15","10033"
"4","【強化】4以上：\n戰鬥開始20秒後，展開提升物理/魔法攻擊力的領域（目前數值＋30％）\n緩和對敵方的傷害值衰減量\n","4","10041"
"4","【強化】9以上：\n且戰鬥開始40秒後，展開提升物理/魔法攻擊力的領域（目前數值＋50％）\n並緩和對敵方的傷害值衰減量\n","9","10042"
"4","【強化】15以上：\n且戰鬥開始60秒後，展開提升物理/魔法攻擊力的領域（目前數值＋70％）\n並緩和對敵方的傷害值衰減量\n","15","10043"
"5","【守備】4以上：\n全傷害降低33%\n","4","10051"
"5","【守備】9以上：\n施加降低ＨＰ恢復量抗性\n每當受到我方施加增益效果，或是受到敵人的攻擊時，【鬥志】＋１（最多50）\n造成傷害隨著【鬥志】數量提升（【鬥志】數量×3%）\n","9","10052"
"5","【守備】15以上：\n與剩餘ＨＰ比例對應的增幅傷害（最多60%）\nＨＰ歸零時，在陷入無法戰鬥的狀態前ＨＰ恢復100%（1次）\n","15","10053"
