8d754c57e1329fd486e82893154efe249ddad2d7480028982ee9d8f2955835e4,72aa1717d2fe44582818fc8e7e4f39b0df7f563bd725cd3984ba1a6b930ecae0,be5bdf010a1ad19db3536a42e6e890666cec761099b46b31e6f5234597f57aa4,58bcdaffd907e493d990cc4edb0099d0cb890ce4eee4f26b3b14845a6f9d29cb,1bb37cbe82e73d60fe14b04a494f09d61879355b365b9a0e140b96bed6688bb7
"1","8500","30","200","1"
"1","1500","30","5","2"
"2","8500","60","220","3"
"2","1500","60","5","4"
"3","8500","60","200","5"
"3","1500","15","200","6"
"4","8500","60","200","7"
"4","1500","10","200","8"
"5","8500","40","150","9"
"5","1500","40","5","10"
"6","8500","60","150","11"
"6","1500","10","200","12"
"7","8500","40","150","13"
"7","1500","40","5","14"
"8","8500","50","150","15"
"8","1500","15","200","16"
"9","8500","45","150","17"
"9","1500","10","200","18"
"10","8500","40","145","19"
"10","1500","10","5","20"
"11","8500","40","300","21"
"11","1500","10","5","22"
"12","8500","65","200","23"
"12","1500","10","200","24"
"13","8500","40","150","25"
"13","1500","10","5","26"
"14","8500","40","100","27"
"14","1500","10","5","28"
"15","8500","50","200","29"
"15","1500","10","5","30"
"16","8500","60","250","31"
"16","1500","30","200","32"
"17","8500","45","120","33"
"17","1500","90","300","34"
"18","8500","90","120","35"
"18","1500","30","200","36"
"19","8500","50","190","37"
"19","1500","60","350","38"
"20","8500","90","95","39"
"20","1500","90","95","40"
"21","8500","20","200","41"
"21","1500","5","5","42"
"22","8500","30","450","43"
"22","1500","5","5","44"
"23","8500","20","200","45"
"23","1500","5","5","46"
"1001","8500","30","130","47"
"1001","1500","5","5","48"
"1002","8500","30","140","49"
"1002","1500","5","5","50"
"1003","8500","40","150","51"
"1003","1500","5","5","52"
"1004","8500","45","155","53"
"1004","1500","5","200","54"
"1005","8500","60","155","55"
"1005","1500","10","200","56"
"1006","8500","60","150","57"
"1006","1500","15","200","58"
"1007","8500","60","150","59"
"1007","1500","15","200","60"
"1008","8500","50","160","61"
"1008","1500","15","200","62"
"1009","8500","70","140","63"
"1009","1500","30","200","64"
"1010","8500","35","180","65"
"1010","1500","120","200","66"
"1011","8500","65","140","67"
"1011","1500","30","200","68"
"1012","8500","35","200","69"
"1012","1500","5","5","70"
"1013","8500","70","150","71"
"1013","1500","15","200","72"
"1014","8500","60","150","73"
"1014","1500","15","200","74"
"1015","8500","60","150","75"
"1015","1500","15","200","76"
"1016","8500","60","150","77"
"1016","1500","15","200","78"
"1017","8500","60","150","79"
"1017","1500","15","200","80"
"1018","8500","50","120","81"
"1018","1500","60","200","82"
"1019","8500","67","102","83"
"1019","1500","60","200","84"
"1020","8500","35","120","85"
"1020","1500","60","250","86"
"10001","7000","30","200","87"
"10001","3000","30","5","88"
"10002","7000","60","220","89"
"10002","3000","60","5","90"
"10003","7000","60","200","91"
"10003","3000","15","200","92"
"10004","7000","60","200","93"
"10004","3000","10","200","94"
"10005","7000","40","150","95"
"10005","3000","40","5","96"
"10006","7000","60","150","97"
"10006","3000","10","200","98"
"10007","7000","40","150","99"
"10007","3000","40","5","100"
"10008","7000","50","150","101"
"10008","3000","15","200","102"
"10009","7000","45","150","103"
"10009","3000","10","200","104"
"10010","7000","40","145","105"
"10010","3000","10","5","106"
"10011","7000","40","300","107"
"10011","3000","10","5","108"
"10012","7000","65","200","109"
"10012","3000","10","200","110"
"10013","7000","40","150","111"
"10013","3000","10","5","112"
"10014","7000","40","100","113"
"10014","3000","10","5","114"
"10015","7000","50","200","115"
"10015","3000","10","5","116"
"10016","7000","60","250","117"
"10016","3000","30","200","118"
"10017","7000","45","120","119"
"10017","3000","90","300","120"
"10018","7000","90","120","121"
"10018","3000","30","200","122"
"10019","7000","50","190","123"
"10019","3000","60","350","124"
"10020","7000","90","95","125"
"10020","3000","90","95","126"
"10021","7000","60","200","127"
"10021","3000","60","200","128"
"10022","7000","60","200","129"
"10022","3000","60","200","130"
"10023","7000","60","200","131"
"10023","3000","60","200","132"
"11001","7000","30","130","133"
"11001","3000","5","5","134"
"11002","7000","30","140","135"
"11002","3000","5","5","136"
"11003","7000","40","150","137"
"11003","3000","5","5","138"
"11004","7000","45","155","139"
"11004","3000","5","200","140"
"11005","7000","60","155","141"
"11005","3000","10","200","142"
"11006","7000","60","150","143"
"11006","3000","15","200","144"
"11007","7000","60","150","145"
"11007","3000","15","200","146"
"11008","7000","50","160","147"
"11008","3000","15","200","148"
"11009","7000","70","140","149"
"11009","3000","30","200","150"
"11010","7000","35","180","151"
"11010","3000","120","200","152"
"11011","7000","65","140","153"
"11011","3000","30","200","154"
"11012","7000","35","200","155"
"11012","3000","5","5","156"
"11013","7000","70","150","157"
"11013","3000","15","200","158"
"11014","7000","60","150","159"
"11014","3000","15","200","160"
"11015","7000","60","150","161"
"11015","3000","15","200","162"
"11016","7000","60","150","163"
"11016","3000","15","200","164"
"11017","7000","60","150","165"
"11017","3000","15","200","166"
"11018","7000","50","120","167"
"11018","3000","60","200","168"
"11019","7000","67","102","169"
"11019","3000","60","200","170"
"11020","7000","35","120","171"
"11020","3000","60","250","172"
"20001","5000","30","200","173"
"20001","5000","30","5","174"
"20002","5000","60","220","175"
"20002","5000","60","5","176"
"20003","5000","60","200","177"
"20003","5000","15","200","178"
"20004","5000","60","200","179"
"20004","5000","10","200","180"
"20005","5000","40","150","181"
"20005","5000","40","5","182"
"20006","5000","60","150","183"
"20006","5000","10","200","184"
"20007","5000","40","150","185"
"20007","5000","40","5","186"
"20008","5000","50","150","187"
"20008","5000","15","200","188"
"20009","5000","45","150","189"
"20009","5000","10","200","190"
"20010","5000","40","145","191"
"20010","5000","10","5","192"
"20011","5000","40","300","193"
"20011","5000","10","5","194"
"20012","5000","65","200","195"
"20012","5000","10","200","196"
"20013","5000","40","150","197"
"20013","5000","10","5","198"
"20014","5000","40","100","199"
"20014","5000","10","5","200"
"20015","5000","50","200","201"
"20015","5000","10","5","202"
"20016","5000","60","250","203"
"20016","5000","30","200","204"
"20017","5000","45","120","205"
"20017","5000","90","300","206"
"20018","5000","90","120","207"
"20018","5000","30","200","208"
"20019","5000","50","190","209"
"20019","5000","60","350","210"
"20020","5000","90","95","211"
"20020","5000","90","95","212"
"20021","5000","60","200","213"
"20021","5000","60","200","214"
"20022","5000","60","200","215"
"20022","5000","60","200","216"
"20023","5000","60","200","217"
"20023","5000","60","200","218"
