fc855a22d00873941d67477a81351e7955d2993e3aff23b0717097808862673f,a251c8a10fb5736ad8e5ba7449090cb8471c216158bac4e8c658c0dec984f430,04f5aba496994c07b2b5a0cc606ef21944183f1db8e616183c2e1e30fbd06826,29fffb586147d3daffa7229b243a75deaf1cedde771267b861cea3bff001f569,1258d100fdb90ac9f14f43d50d50276c20544ec71b2d5530972aaf14d72a0d40,42b54aedb6f330269cafaeda5eb5c737dcc097d9ad9cbc842f339fa6307b30a8
"1","11101","1","vo_caravan_105801_start_001","1","vo_caravan"
"1","11102","1","vo_caravan_105801_start_002","1","vo_caravan"
"1","12101","1","vo_caravan_105901_start_001","2","vo_caravan"
"1","12102","1","vo_caravan_105901_start_002","2","vo_caravan"
"1","13101","1","vo_caravan_106001_start_001","3","vo_caravan"
"1","13102","1","vo_caravan_106001_start_002","3","vo_caravan"
"1","14101","1","vo_caravan_106401_start_001","4","vo_caravan"
"1","14102","1","vo_caravan_106401_start_002","4","vo_caravan"
"2","21101","1","vo_caravan_105801_dice_001","1","vo_caravan"
"2","21102","1","vo_caravan_105801_dice_002","1","vo_caravan"
"2","22101","1","vo_caravan_105901_dice_001","2","vo_caravan"
"2","22102","1","vo_caravan_105901_dice_002","2","vo_caravan"
"2","23101","1","vo_caravan_106001_dice_001","3","vo_caravan"
"2","23102","1","vo_caravan_106001_dice_002","3","vo_caravan"
"2","24101","1","vo_caravan_106401_dice_001","4","vo_caravan"
"2","24102","1","vo_caravan_106401_dice_002","4","vo_caravan"
"3","31101","1","vo_caravan_105801_slot_001","1","vo_caravan"
"3","32101","1","vo_caravan_105901_slot_001","2","vo_caravan"
"3","33101","1","vo_caravan_106001_slot_001","3","vo_caravan"
"3","34101","1","vo_caravan_106401_slot_001","4","vo_caravan"
"4","41101","1","vo_caravan_105801_dish_001","1","vo_caravan"
"4","41102","1","vo_caravan_105801_dish_002","1","vo_caravan"
"4","42101","1","vo_caravan_105901_dish_001","2","vo_caravan"
"4","42102","1","vo_caravan_105901_dish_002","2","vo_caravan"
"4","42201","2","se_caravan_food_peko","1","se_caravan"
"4","42202","2","se_caravan_food_coccoro","2","se_caravan"
"4","42203","2","se_caravan_food_kyaru","3","se_caravan"
"4","42204","2","se_caravan_food_coccoro","4","se_caravan"
"4","42205","2","se_caravan_food_onigiri","100","se_caravan"
"4","43101","1","vo_caravan_106001_dish_001","3","vo_caravan"
"4","43102","1","vo_caravan_106001_dish_002","3","vo_caravan"
"4","44101","1","vo_caravan_106401_dish_001","4","vo_caravan"
"4","44102","1","vo_caravan_106401_dish_002","4","vo_caravan"
"4","45101","1","vo_caravan_onigiri_dish_001","100","vo_caravan"
"6","61101","1","vo_caravan_105801_goal_001","0","vo_caravan"
"61","61201","1","vo_caravan_105801_win_001","0","vo_caravan"
"62","61301","1","vo_caravan_105801_lose_001","0","vo_caravan"
"6","62101","1","vo_caravan_105901_goal_001","0","vo_caravan"
"61","62201","1","vo_caravan_105901_win_001","0","vo_caravan"
"62","62301","1","vo_caravan_105901_lose_001","0","vo_caravan"
"6","63101","1","vo_caravan_106001_goal_001","0","vo_caravan"
"61","63201","1","vo_caravan_106001_win_001","0","vo_caravan"
"62","63301","1","vo_caravan_106001_lose_001","0","vo_caravan"
"6","64101","1","vo_caravan_118501_goal_001","0","vo_caravan"
"6","65101","1","vo_caravan_106401_goal_001","0","vo_caravan"
"61","65201","1","vo_caravan_106401_win_001","0","vo_caravan"
"62","65301","1","vo_caravan_106401_lose_001","0","vo_caravan"
"7","71101","1","vo_caravan_105801_appraise_001","0","vo_caravan"
"7","72101","1","vo_caravan_105901_appraise_001","0","vo_caravan"
"7","73101","1","vo_caravan_106001_appraise_001","0","vo_caravan"
"7","74101","1","vo_caravan_106401_appraise_001","0","vo_caravan"
"8","81101","1","vo_caravan_105801_result_001","0","vo_caravan"
"8","82101","1","vo_caravan_105901_result_001","0","vo_caravan"
"8","83101","1","vo_caravan_106001_result_001","0","vo_caravan"
"8","84101","1","vo_caravan_106401_result_001","0","vo_caravan"
"2","211101","1","vo_caravan_319700_dice_001","11","vo_caravan"
"2","211102","1","vo_caravan_319700_dice_002","11","vo_caravan"
"2","212101","1","vo_caravan_319800_dice_001","12","vo_caravan"
"2","212102","1","vo_caravan_319800_dice_002","12","vo_caravan"
"2","213101","1","vo_caravan_319900_dice_001","13","vo_caravan"
"2","213102","1","vo_caravan_319900_dice_002","13","vo_caravan"
