d636bc2943fce9fcd09cc33e25b2a9ed3d5bb06b970b02a028faa2922e1cd6a7,341610756f17b8b47f4669407a399437791871b6df5841c52a37289eb1206fb0,37f596f95e6fc5fb3396c3ac2485fc8a021ed0bb8c16b4f3543ebc276cee55e0,729b9ae9d518842d759e231bbce0bf4314a63c273499559f0087250ea174c4cf,0f3faf017ee8b6710398441949c66d577c49fb7a4e5978fde7651f0a168bb24c,eaa1af1e5a8f6aaffe450a6f91a35deaabd970972ec68bd8bac8f92026996e02,5e9b63897a79615daa492b4f5d6a471a5dbb31e1cae32b20ab0dcf5e7218b0e4
"1","初音的禮物大作戰","10001","2","10001","60002","5"
"1","小小甜心大冒險","10002","2","10002","60012","5"
"1","危險的假期！海岸邊的美食家公主","10004","2","10004","60032","5"
"1","珠希和美冬的無人島０盧幣生活","10005","2","10005","60042","5"
"1","黑鐵的亡靈","10006","2","10006","60052","5"
"1","不給布丁就搗蛋！約定的萬聖節派對","10007","2","10007","60062","5"
"1","暮光破壞者","10008","2","10008","60072","5"
"1","忘却的頌歌","10009","2","10009","60082","5"
"1","新春破曉之星大危機！","10010","2","10010","60092","5"
"1","情人節之戰！ 正中紅心的甜蜜戰鬥","10011","2","10011","60102","5"
"1","王都的名偵探　嘆息的追緝者","10012","2","10012","60112","5"
"1","在阿斯特朗盛開的雙輪之花","10013","2","10013","60122","5"
"1","復刻初音的禮物大作戰","10014","2","10014","60132","5"
"1","將軍道中記　白翼的武士","10015","2","10015","60142","5"
"1","復刻小小甜心大冒險","10016","2","10016","60152","5"
"1","Re:從零開始聚集的異世界餐桌","10017","2","10017","60162","5"
"1","復刻吸血鬼獵人 with伊莉亞","10018","2","10018","60172","5"
"1","鈴奈的彩虹舞臺！","10019","2","10019","60182","5"
"1","復刻危險的假期！海岸邊的美食家公主","10020","2","10020","60192","5"
"1","盛夏的真步真步王國 浪花拍岸的靈魂之夏！","10021","2","10021","60202","5"
"1","珠希和美冬的無人島０盧幣生活","10022","2","10022","60212","5"
"1","森林的膽小鬼與神聖學院的問題兒童","10023","2","10023","60222","5"
"1","黑鐵的亡靈","10024","2","10024","60232","5"
"1","小小勇敢的萬聖節之夜！","10025","2","10025","60242","5"
"1","不給布丁就搗蛋！約定的萬聖節派對","10026","2","10026","60252","5"
"1","龍的探索者們","10027","2","10027","60262","5"
"1","暮光破壞者","10028","2","10028","60272","5"
"1","禮物大恐慌！蘭德索爾的聖誕老人們","10029","2","10029","60282","5"
"1","忘却的頌歌","10030","2","10030","60292","5"
"1","狂奔！　蘭德索爾的公會競速賽","10031","2","10031","60302","5"
"1","新春破曉之星大危機！","10032","2","10032","60312","5"
"1","魔法少女　兩人是Misty&Purely","10033","2","10033","60322","5"
"1","情人節之戰！ 正中紅心的甜蜜戰鬥","10034","2","10034","60332","5"
"1","星光公主　Re:M@STER！","10035","2","10035","60342","5"
"1","星光公主　Re:M@STER！","10036","2","10036","60342","5"
"1","王都的名偵探　嘆息的追緝者","10037","2","10037","60362","5"
"1","恩賜的財團與神聖學院的問題兒童","10038","2","10038","60372","5"
"1","在阿斯特朗盛開的雙輪之花","10039","2","10039","60382","5"
"1","牧場的四農士　貧窮農場奮鬥記","10040","2","10040","60392","5"
"1","將軍道中記　白翼的武士","10041","2","10041","60402","5"
"1","不可思議之國的璃乃 小小愛麗絲與希望的繪本","10042","2","10042","60412","5"
"1","鈴奈的彩虹舞臺！","10043","2","10043","60422","5"
"1","七夕劍客旅情譚 天際川流夏之戀","10044","2","10044","60432","5"
"1","盛夏的真步真步王國 浪花拍岸的靈魂之夏！","10045","2","10045","60442","5"
"1","美里的夏日聲援！　追夢的盛夏棒球隊","10046","2","10046","60452","5"
"1","森林的膽小鬼與神聖學院的問題兒童","10047","2","10047","60462","5"
"1","Happy・Change・Angels","10048","2","10048","60472","5"
"1","小小勇敢的萬聖節之夜！","10049","2","10049","60482","5"
"1","迴響！尖叫！萬聖鬼怪狂歡節","10050","2","10050","60492","5"
"1","龍的探索者們","10051","2","10051","60502","5"
"1","魔法提督Lovely★莫妮卡　Let's Go！魔法的四重奏！","10052","2","10052","60512","5"
"1","Re:從零開始聚集的異世界餐桌","10053","2","10053","60522","5"
"1","名媛初登夢想秘境　聖誕夜的戀愛遊戲","10054","2","10054","60532","6"
"1","禮物大恐慌！蘭德索爾的聖誕老人們","10055","2","10055","60542","5"
"1","新春美食公主！　賭上關鍵一擲的少女們","10056","2","10056","60552","6"
"1","狂奔！　蘭德索爾的公會競速賽","10057","2","10057","60562","5"
"1","羈絆相連。心相繫。","10058","2","10058","60572","6"
"1","羈絆相連。心相繫。","10059","2","10059","60572","6"
"1","魔法少女　兩人是Misty&Purely","10060","2","10060","60592","5"
"1","灰姑娘課程　璀璨的日子有著蘋果的滋味","10061","2","10061","60602","6"
"1","星光公主　Re:M@STER！","10062","2","10062","60612","5"
"1","星光公主　Re:M@STER！","10063","2","10063","60612","5"
"1","鋼鐵聖女與神聖學院的問題兒童","10064","2","10064","60632","6"
"1","恩賜的財團與神聖學院的問題兒童","10065","2","10065","60642","5"
"1","祈梨ＳＯＳ！！ 踏上時空旅行的龍人族","10066","2","10066","60652","6"
"1","牧場的四農士　貧窮農場奮鬥記","10067","2","10067","60662","5"
"1","心電感應！碧與玩具朋友們","10068","2","10068","60672","6"
"1","不可思議之國的璃乃 小小愛麗絲與希望的繪本","10069","2","10069","60682","5"
"1","永不完結的夏日計畫　盛夏的雙人獨佔樂園","10070","2","10070","60692","6"
"1","七夕劍客旅情譚 天際川流夏之戀","10071","2","10071","60702","5"
"1","慈樂之音的夏日演唱會　Just a Moment！ ","10072","2","10072","60712","6"
