b495a0939ae60249580e9eb6c2c9c7b2171e8c00a8a6fdc0e2a1b9214b8a6734,7343cbdfc12a2f74487bb3b17c44a68a3b2fe6590de82737d46214bf3c6526cc,a45489b3abf10051129525178c77e25e84f52326f9eaec2836e377e4b349d0b1,8d0a3d70cfca4c26f66ef04e74a10a4350eea34296c062b8fdc6f26ce451b1a5,32640d43815b393e6fee6eabc278705fafa6a78caa6758d154089f46c1fdb689,66ea8068a6e98e394d15c142fd3435656815f6b33c1b14c9dabeac1b8ef67b1b,933c2684a50188bb1b8cdf58070f3997188211a2ed09a34fa18cb03b9a86be7b,6b56fe27075c15c93adea70b6710a473ff086e5f4639ec7c0c992171ade2caa9,2ef5853ca79786d2e51e54f5ed10d0c9d1b675386014df077c7553ef7d71494e,f8518c00a5e3473710414dba1f8bba62cd4ccd9d2fd05d16ca47dd9affd7ddd6,b83db67663d663dd3aea25d97b75adc3fe2e62ea8daf8dcec3566d45c26ee029,32e356f2bb0c5930d661adbc5684cd514ded9010457f9940cebea9cc1cefa910,2a21e8486eb665302dac99bdd3dad50d1fbd27a25dfa6e2ce6e43bc95ef760e6,2fd695319312a3923bd5504d14c028172348e1630f2e1631696a50ec3f9d23ea,e42860e76c8e17cb1f6e9280be0a28c792cb48fe140f667dec98f67118ba7572,e9721ec342a17721aadbe753352e42849133dd13ccfbc3f0f4073465dae9c357,8443ddb6b353841be0b2641de1b8a9d7dd91f39ebe46f32bb04e253884520eac,5ced7b2cdfa77b0c20582c01dfaee5024620dadd5b49a64099f7648f5dbb345e
"94002","0","0","0","1","0","32000","0","0","0","12","0","0","20000","0","0","分數累積獲得 32000 分","0"
"94002","0","0","0","2","0","64000","0","0","0","12","0","0","30000","0","0","分數累積獲得 64000 分","0"
"94002","0","0","0","3","0","96000","0","0","0","12","0","0","40000","0","0","分數累積獲得 96000 分","0"
"94002","0","0","0","4","0","128000","0","0","0","12","0","0","50000","0","0","分數累積獲得 128000 分","0"
"91002","0","0","0","5","0","160000","0","0","0","8","0","0","25","0","0","分數累積獲得 160000 分","0"
"11001071","0","0","0","6","0","192000","0","0","0","15","0","0","1","0","0","分數累積獲得 192000 分","0"
"23001","0","0","0","7","0","224000","0","0","0","2","0","0","20","0","0","分數累積獲得 224000 分","0"
"91002","0","0","0","8","0","256000","0","0","0","8","0","0","50","0","0","分數累積獲得 256000 分","0"
"94002","0","0","0","9","0","288000","0","0","0","12","0","0","70000","0","0","分數累積獲得 288000 分","0"
"94002","0","0","0","10","0","320000","0","0","0","12","0","0","80000","0","0","分數累積獲得 320000 分","0"
"91002","0","0","0","11","0","352000","0","0","0","8","0","0","75","0","0","分數累積獲得 352000 分","0"
"94002","0","0","0","12","0","384000","0","0","0","12","0","0","100000","0","0","分數累積獲得 384000 分","0"
"23001","0","0","0","13","0","416000","0","0","0","2","0","0","45","0","0","分數累積獲得 416000 分","0"
"91002","0","0","0","14","0","448000","0","0","0","8","0","0","100","0","0","分數累積獲得 448000 分","0"
"11001072","0","0","0","15","0","480000","0","0","0","15","0","0","1","0","0","分數累積獲得 480000 分","0"
