a882bcf91d34c143e8c33910611f8e29aabdd34908ce672de5851a3602f8aea3,42e8a23f1ffc31d7aab4c95fffa3613460fcf45db08e03da6407217c7e0f7ec2,fdafc556be9687c4e3f831800218756b3b38dbec64b92bb2f01c9e5923e8e640,cf1cc5901e9878420ab1b5e1842ec9ed5f2e82c9da190948f6842d0fa0a1c048,7309d61cf9382df055e197011ef980fe9c83eda7aef3a5634f9985e8db7fa9b1,ff413ddeb414ba48fd7efafa78de87f8cee0b2a4d62ffe1e9b292756e8c29f7d,b9ca89b6bb80650f042c5ce43adfc5a757b98c2ca1f68c8f20ede1d2e113c53e
"60002","2","初音的禮物大作戰","10001","10001","1","5"
"60012","2","小小甜心大冒險","10002","10002","1","5"
"60032","2","危險的假期！海岸邊的美食家公主","10004","10004","1","5"
"60042","2","珠希和美冬的無人島０盧幣生活","10005","10005","1","5"
"60052","2","黑鐵的亡靈","10006","10006","1","5"
"60062","2","不給布丁就搗蛋！約定的萬聖節派對","10007","10007","1","5"
"60072","2","暮光破壞者","10008","10008","1","5"
"60082","2","忘却的頌歌","10009","10009","1","5"
"60092","2","新春破曉之星大危機！","10010","10010","1","5"
"60102","2","情人節之戰！ 正中紅心的甜蜜戰鬥","10011","10011","1","5"
"60112","2","王都的名偵探　嘆息的追緝者","10012","10012","1","5"
"60122","2","在阿斯特朗盛開的雙輪之花","10013","10013","1","5"
"60132","2","復刻初音的禮物大作戰","10014","10014","1","5"
"60142","2","將軍道中記　白翼的武士","10015","10015","1","5"
"60152","2","復刻小小甜心大冒險","10016","10016","1","5"
"60162","2","Re:從零開始聚集的異世界餐桌","10017","10017","1","5"
"60172","2","復刻吸血鬼獵人 with伊莉亞","10018","10018","1","5"
"60182","2","鈴奈的彩虹舞臺！","10019","10019","1","5"
"60192","2","復刻危險的假期！海岸邊的美食家公主","10020","10020","1","5"
"60202","2","盛夏的真步真步王國 浪花拍岸的靈魂之夏！","10021","10021","1","5"
"60212","2","珠希和美冬的無人島０盧幣生活","10022","10022","1","5"
"60222","2","森林的膽小鬼與神聖學院的問題兒童","10023","10023","1","5"
"60232","2","黑鐵的亡靈","10024","10024","1","5"
"60242","2","小小勇敢的萬聖節之夜！","10025","10025","1","5"
"60252","2","不給布丁就搗蛋！約定的萬聖節派對","10026","10026","1","5"
"60262","2","龍的探索者們","10027","10027","1","5"
"60272","2","暮光破壞者","10028","10028","1","5"
"60282","2","禮物大恐慌！蘭德索爾的聖誕老人們","10029","10029","1","5"
"60292","2","忘却的頌歌","10030","10030","1","5"
"60302","2","狂奔！　蘭德索爾的公會競速賽","10031","10031","1","5"
"60312","2","新春破曉之星大危機！","10032","10032","1","5"
"60322","2","魔法少女　兩人是Misty&Purely","10033","10033","1","5"
"60332","2","情人節之戰！ 正中紅心的甜蜜戰鬥","10034","10034","1","5"
"60342","2","星光公主　Re:M@STER！","10035","10035","1","5"
"60342","2","星光公主　Re:M@STER！","10036","10036","1","5"
"60362","2","王都的名偵探　嘆息的追緝者","10037","10037","1","5"
"60372","2","恩賜的財團與神聖學院的問題兒童","10038","10038","1","5"
"60382","2","在阿斯特朗盛開的雙輪之花","10039","10039","1","5"
"60392","2","牧場的四農士　貧窮農場奮鬥記","10040","10040","1","5"
"60402","2","將軍道中記　白翼的武士","10041","10041","1","5"
"60412","2","不可思議之國的璃乃 小小愛麗絲與希望的繪本","10042","10042","1","5"
"60422","2","鈴奈的彩虹舞臺！","10043","10043","1","5"
"60432","2","七夕劍客旅情譚 天際川流夏之戀","10044","10044","1","5"
"60442","2","盛夏的真步真步王國 浪花拍岸的靈魂之夏！","10045","10045","1","5"
"60452","2","美里的夏日聲援！　追夢的盛夏棒球隊","10046","10046","1","5"
"60462","2","森林的膽小鬼與神聖學院的問題兒童","10047","10047","1","5"
"60472","2","Happy・Change・Angels","10048","10048","1","5"
"60482","2","小小勇敢的萬聖節之夜！","10049","10049","1","5"
"60492","2","迴響！尖叫！萬聖鬼怪狂歡節","10050","10050","1","5"
"60502","2","龍的探索者們","10051","10051","1","5"
"60512","2","魔法提督Lovely★莫妮卡　Let's Go！魔法的四重奏！","10052","10052","1","5"
"60522","2","Re:從零開始聚集的異世界餐桌","10053","10053","1","5"
"60532","2","名媛初登夢想秘境　聖誕夜的戀愛遊戲","10054","10054","1","6"
"60542","2","禮物大恐慌！蘭德索爾的聖誕老人們","10055","10055","1","5"
"60552","2","新春美食公主！　賭上關鍵一擲的少女們","10056","10056","1","6"
"60562","2","狂奔！　蘭德索爾的公會競速賽","10057","10057","1","5"
"60572","2","羈絆相連。心相繫。","10058","10058","1","6"
"60572","2","羈絆相連。心相繫。","10059","10059","1","6"
"60592","2","魔法少女　兩人是Misty&Purely","10060","10060","1","5"
"60602","2","灰姑娘課程　璀璨的日子有著蘋果的滋味","10061","10061","1","6"
"60612","2","星光公主　Re:M@STER！","10062","10062","1","5"
"60612","2","星光公主　Re:M@STER！","10063","10063","1","5"
"60632","2","鋼鐵聖女與神聖學院的問題兒童","10064","10064","1","6"
"60642","2","恩賜的財團與神聖學院的問題兒童","10065","10065","1","5"
"60652","2","祈梨ＳＯＳ！！ 踏上時空旅行的龍人族","10066","10066","1","6"
"60662","2","牧場的四農士　貧窮農場奮鬥記","10067","10067","1","5"
"60672","2","心電感應！碧與玩具朋友們","10068","10068","1","6"
"60682","2","不可思議之國的璃乃 小小愛麗絲與希望的繪本","10069","10069","1","5"
"60692","2","永不完結的夏日計畫　盛夏的雙人獨佔樂園","10070","10070","1","6"
"60702","2","七夕劍客旅情譚 天際川流夏之戀","10071","10071","1","5"
"60712","2","慈樂之音的夏日演唱會　Just a Moment！ ","10072","10072","1","6"
"60722","2","美里的夏日聲援！　追夢的盛夏棒球隊","10073","10073","1","5"
"60732","2","大江戶的非法病歷　Dr.深月的診療室","10074","10074","1","6"
"60742","2","Happy・Change・Angels","10075","10075","1","5"
"60752","2","萬聖節拯救隊大亂鬥！　捕獲毛茸茸大作戰","10076","10076","1","6"
"60762","2","迴響！尖叫！萬聖鬼怪狂歡節","10077","10077","1","5"
"60772","2","魔法少女外傳　黑暗魔法★三人組！","10078","10078","1","6"
"60782","2","魔法提督Lovely★莫妮卡　Let's Go！魔法的四重奏！","10079","10079","1","5"
"60792","2","聖誕布丁快樂！ 飛舞的少女與飽含真心的點心","10080","10080","1","6"
"60802","2","名媛初登夢想秘境　聖誕夜的戀愛遊戲","10081","10081","1","6"
"60812","2","新春美食回憶　雪菲的跑腿大作戰！","10082","10082","1","6"
"60822","2","新春美食公主！　賭上關鍵一擲的少女們","10083","10083","1","6"
"60832","2","Re:member　我的心願編織出的未來","10084","10084","1","6"
"60842","2","Re:member　我的心願編織出的未來","10085","10085","1","6"
"60852","2","羈絆相連。心相繫。","10086","10086","1","6"
"60852","2","羈絆相連。心相繫。","10087","10087","1","6"
