4bb92bf92473b9f2bc5d35d06b3ae60810a08daaa6ce3a38d460cc6b23aa62e7,0b1d141d57a62206f462762762b2fcad0684927d69885bd5b42be8c0dec1284e,bc240504e90a47f22a32f7eb3222519cfe4fab1f9de44cc3638f78dd30dec845,759443a3d51ae5cb3b6e8def29a35fca433d6a31577c525c7724c8225f23a42b,9f5b1ea4b47b57b35fbd8b23e57d31091eb3f619dd01f65fb1c5dab17a7c8057,90f303dfb768057c81402ec588271580926325d97c09c040f228cf5982a1756f,3f8f5cb00085d0ce7fe01a482376898e464966cf4587085b67f3029cb7a56827,40b84751341ae3a3f6259751bb59cd64cba9ca224349b10ef30fd4559f1728db,1b26e3469c4013c652987da1d2de2cc54443004e619773061786321a8dd71006,0d5be426d0efe59b51cf0866daeb9f73a21423278bd0859f45a5cd6a5b8dc481,cec5c3e8284e8a3ceb2dfb4a292d863ca36750e6f2b7fb24c6f9bde89652bb01
"100","ttk_idle_def","1","1","5","-120","102611","1","1010001","1000","1"
"0","","1","","31","1","2","1","1010002","0","2"
"-120","","1","","31","1","1","1","1010003","-80","1"
"","","1","","93","","","","1010004","","1"
"0","","1","","21","","vo_minigame_1005_top_000","","1010005","0","vo_minigame_1005"
"ttk_idle_doya","","1","0.3","3","1","ttk_doya","0.3","1010006","0","102611"
"","","1","0","11","","我會把大家\n交代的工作做好的","0","1010007","8","102611"
"","","1","","91","","","","1010008","","0"
"100","ttk_idle_def","2","1","5","-120","102611","1","1020001","1000","1"
"0","","2","","31","1","2","1","1020002","0","2"
"-120","","2","","31","1","1","1","1020003","-80","1"
"","","2","","93","","","","1020004","","1"
"0","","2","","21","","vo_minigame_1005_top_001","","1020005","0","vo_minigame_1005"
"ttk_idle_def","","2","0.3","3","1","ttk_idle_smile","0.3","1020006","0","102611"
"","","2","0","11","","我會讓你後悔\n出現在\n我面前的","0","1020007","8","102611"
"","","2","","91","","","","1020008","","0"
"100","ttk_idle_def","3","1","5","-120","102611","1","1030001","1000","1"
"0","","3","","31","1","2","1","1030002","0","2"
"-120","","3","","31","1","1","1","1030003","-80","1"
"","","3","","93","","","","1030004","","1"
"0","","3","","21","","vo_minigame_1005_top_002","","1030005","0","vo_minigame_1005"
"ttk_idle_joy","","3","0.3","3","1","ttk_joy","0.1","1030006","0","102611"
"","","3","0","11","","只要掌握到訣竅\n其實也還蠻開心的\n不對，勞動就是勞動……","0","1030007","8","102611"
"","","3","","93","","","","1030008","","2.2"
"","","3","0.3","3","","ttk_talk_sad","0.3","1030009","1","102611"
"","","3","","93","","","","1030010","","3"
"","","3","0.3","3","","ttk_idle_def","0.3","1030011","1","102611"
"","","3","","91","","","","1030012","","0"
"100","ttk_idle_def","4","1","5","-120","102611","1","1040001","1000","1"
"0","","4","","31","1","2","1","1040002","0","2"
"-120","","4","","31","1","1","1","1040003","-80","1"
"","","4","","93","","","","1040004","","1"
"0","","4","","21","","vo_minigame_1005_top_003","","1040005","0","vo_minigame_1005"
"ttk_idle_shock","","4","0.3","3","1","ttk_shock","0.3","1040006","0","102611"
"","","4","0","11","","我根本不想知道\n老鼠的事情好嗎\n唉……麻煩死了","0","1040007","8","102611"
"","","4","","93","","","","1040008","","5"
"","","4","0.3","3","","ttk_idle_def","0.3","1040009","1","102611"
"","","4","","93","","","","1040010","","0.7"
"100","ttk_idle_def","5","1","5","-120","102611","1","1050001","1000","1"
"0","","5","","31","1","2","1","1050002","0","2"
"-120","","5","","31","1","1","1","1050003","-80","1"
"","","5","","93","","","","1050004","","1"
"0","","5","","21","","vo_minigame_1005_top_004","","1050005","0","vo_minigame_1005"
"","","5","0.3","3","","ttk_surprise","0.3","1050006","0","102611"
"","","5","0","11","","唔哇！？\n別過來！\n唉……一隻接著一隻\n趕老鼠還真不容易……","0","1050007","8","102611"
"","","5","","93","","","","1050008","","0.9"
"","","5","0.3","3","","ttk_talk_anger","0.3","1050009","1","102611"
"","","5","","93","","","","1050010","","0.8"
"ttk_talk_sad","","5","0.3","3","1","ttk_sad","0.3","1050011","0","102611"
"","","5","","93","","","","1050012","","5"
"","","5","0.3","3","","ttk_idle_def","0.3","1050013","1","102611"
"","","5","","91","","","","1050014","","0"
"100","ttk_idle_def","6","1","5","-120","102611","1","1060001","1000","1"
"0","","6","","31","1","2","1","1060002","0","2"
"-120","","6","","31","1","1","1","1060003","-80","1"
"","","6","","93","","","","1060004","","1"
"0","","6","","21","","vo_minigame_1005_top_005","","1060005","0","vo_minigame_1005"
"","","6","0.3","3","","ttk_idle_worry","0.3","1060006","1","102611"
"","","6","0","11","","我完全不想要\n習慣這種事情……\n不過為了牧場，\n也只能這麼做了","0","1060007","8","102611"
"","","6","","93","","","","1060008","","7"
"ttk_idle_def","","6","0.3","3","1","ttk_amz","0.3","1060009","0","102611"
"","","6","","91","","","","1060010","","0"
