c9b7b656a86afd4b9ed6532ebf0cbef9912a2be06af755b4cb3f2cb10718c310,c9d3ccb970b02a3f016846f1e1745fe7923810f3722557aa9c050a0f5b829ae7,aeca62ddcaba01f4a7f45e1fb26849d31300b3fe29b8759fe08f0be0b8e88b2a,75cc434ead8431b7b6c96ad2b219c248933c931b63867b3ea60ea5280be2e873,3cb8c70f1a88a3cfb092a49d5a1944b8dbbeda8373b58963a1cf47ba99fa3184
"101","#D23232","90009","單手劍","red"
"102","#D23232","90009","雙手劍","red"
"103","#D23232","90009","短劍","red"
"104","#D23232","90009","槍","red"
"105","#D23232","90009","斧","red"
"106","#D23232","90009","弓","red"
"107","#D23232","90009","拳","red"
"108","#D23232","90009","盾","red"
"109","#D23232","90009","杖","red"
"110","#D23232","90009","書本","red"
"201","#476FD8","90010","衣服","blue"
"202","#476FD8","90010","鎧甲","blue"
"203","#476FD8","90010","白長袍","blue"
"204","#476FD8","90010","黑長袍","blue"
"301","#E5681E","90011","戒指","yellow"
"302","#E5681E","90011","手鐲","yellow"
"303","#E5681E","90011","項鍊","yellow"
"304","#E5681E","90011","寶珠","yellow"
"305","#E5681E","90011","耳環","yellow"
