25eac74dc9700707d7181d049e85513e5d9dd078c5bb90e64db6ae66a0f628c0,fbc9e1251660a67328bd6d11fec3e2e0ba94520fc02937dae348412d97dface7,e935d65f246ac6e668c743671d169f5940aad1a6d0def506186b95a2c8016564,4ac1692f9050515269facc7621364ab3bef56d34cf0fb32b748015d82f32333f
"1004601","1","1004601","5046601"
"1004801","1","1004801","5048007"
"1004802","2","1004802","1004801"
"1005601","1","1005601","5056601"
"1006101","1","1006101","5061601"
"1006102","3","1006102","5061602"
"1006103","1","1006103","5061601"
"1006601","4","1006601","5027704"
"1007001","5","1007001","0"
"1007301","1","1007301","5046601"
"1007501","1","1007501","5048007"
"1007502","2","1007502","1004801"
"1008201","6","1008201","0"
"1008301","1","1008301","5056601"
"1008901","1","1008901","5061601"
"1008902","3","1008902","5061602"
"1008903","1","1008903","5061601"
"1009201","3","1009201","5092601"
"1010001","3","1010001","5100601"
"1010201","3","1010201","5100601"
"1010901","6","1010901","0"
"1011901","3","1011901","5092601"
"1012701","3","1012701","5100601"
"2003201","1","2003201","5056601"
