95e204a1052e001274d2f0321b41cec41b5f584081e0904200a2834777bbb4bb,4b18cb9f17760619d3fc56c7a7217ad18453901e446ab5057ca0c5727bd44d83,99ce29dc86744d0f01931c76b63ffa0168ec6de3cdc2d96959cfd81179ef10b0,7ba757bf3c907bb3c733f7985f619a166b67f3d0c907d1c2ce1fd4e2a1a8cde3,b2e83e07d67195644f1336f5b48bedf64118eaf4644a47ee6a3c115a21a890df,81b1a6054e584969950e7fef184074b8e9ae414875c4b36ebed720b76dfaf553,9d3e4cc68eb6ea54556d84ce31a00a7f37ea942fcae39763663ed597aa8df434,f7f8728276f91bbd040befab7fdb9f01f6f4a3d39e6338b21def169e9b6d91cb,341bf2375cbc0bf5e44874b198319844f5cc4ff139352a5cb6027389c0881a44,a068f01fbc0aeb5c831b6c7487f312e443c4fb95d5f393edf84723ca9ad4579f
"1002","1100001","1","1003","32","1001","575","1","10590","1"
"1005","1100002","1","1006","32","1004","575","1","10590","1"
"1008","1100003","2","1009","32","1007","575","1","10590","1"
"1011","1100004","1","1012","33","1010","500","1","11820","1"
"1014","1100005","1","1015","33","1013","500","1","11820","1"
"1017","1100006","2","1018","33","1016","500","1","11820","1"
"1020","1100007","4","1021","33","1019","500","1","11820","1"
"1023","1100008","1","1024","35","1022","375","1","13050","1"
"1026","1100009","1","1027","35","1025","375","1","13050","1"
"1029","1100010","6","1030","35","1028","375","1","13050","1"
"2002","1200001","1","2003","34","2001","575","1","10590","2"
"2005","1200002","1","2006","34","2004","575","1","10590","2"
"2008","1200003","1","2009","34","2007","575","1","10590","2"
"2011","1200004","1","2012","34","2010","575","1","10590","2"
"2014","1200005","2","2015","34","2013","575","1","10590","2"
"2017","1200006","4","2018","34","2016","575","1","10590","2"
"2020","1200007","6","2021","34","2019","575","1","10590","2"
"2023","1200008","1","2024","35","2022","500","1","11820","2"
"2026","1200009","1","2027","35","2025","500","1","11820","2"
"2029","1200010","1","2030","35","2028","500","1","11820","2"
"2032","1200011","1","2033","35","2031","500","1","11820","2"
"2035","1200012","4","2036","35","2034","500","1","11820","2"
"2038","1200013","6","2039","35","2037","500","1","11820","2"
"2041","1200014","1","2042","38","2040","375","1","13050","2"
"2044","1200015","1","2045","38","2043","375","1","13050","2"
"2047","1200016","1","2048","38","2046","375","1","13050","2"
"2050","1200017","1","2051","38","2049","375","1","13050","2"
"2053","1200018","2","2054","38","2052","375","1","13050","2"
"2056","1200019","4","2057","38","2055","375","1","13050","2"
"2059","1200020","6","2060","38","2058","375","1","13050","2"
"3002","1300001","1","3003","37","3001","575","1","10590","3"
"3005","1300002","1","3006","37","3004","575","1","10590","3"
"3008","1300003","1","3009","37","3007","575","1","10590","3"
"3011","1300004","1","3012","37","3010","575","1","10590","3"
"3014","1300005","1","3015","37","3013","575","1","10590","3"
"3017","1300006","1","3018","37","3016","575","1","10590","3"
"3020","1300007","2","3021","37","3019","575","1","10590","3"
"3023","1300008","2","3024","37","3022","575","1","10590","3"
"3026","1300009","4","3027","37","3025","575","1","10590","3"
"3029","1300010","6","3030","37","3028","575","1","10590","3"
"3032","1300011","1","3033","38","3031","500","1","11820","3"
"3035","1300012","1","3036","38","3034","500","1","11820","3"
"3038","1300013","1","3039","38","3037","500","1","11820","3"
"3041","1300014","1","3042","38","3040","500","1","11820","3"
"3044","1300015","1","3045","38","3043","500","1","11820","3"
"3047","1300016","1","3048","38","3046","500","1","11820","3"
"3050","1300017","2","3051","38","3049","500","1","11820","3"
"3053","1300018","4","3054","38","3052","500","1","11820","3"
"3056","1300019","4","3057","38","3055","500","1","11820","3"
"3059","1300020","6","3060","38","3058","500","1","11820","3"
"3062","1300021","1","3063","40","3061","375","1","13050","3"
"3065","1300022","1","3066","40","3064","375","1","13050","3"
"3068","1300023","1","3069","40","3067","375","1","13050","3"
"3071","1300024","1","3072","40","3070","375","1","13050","3"
"3074","1300025","1","3075","40","3073","375","1","13050","3"
"3077","1300026","1","3078","40","3076","375","1","13050","3"
"3080","1300027","2","3081","40","3079","375","1","13050","3"
"3083","1300028","4","3084","40","3082","375","1","13050","3"
"3086","1300029","6","3087","40","3085","375","1","13050","3"
"3089","1300030","6","3090","40","3088","375","1","13050","3"
"4002","2100001","3","4003","29","4001","700","2","9360","1"
"4005","2100002","5","4006","29","4004","700","2","9360","1"
"4008","2100003","7","4009","29","4007","700","2","9360","1"
"4011","2100004","3","4012","29","4010","700","2","9360","1"
"4014","2100005","5","4015","29","4013","700","2","9360","1"
"4017","2100006","7","4018","29","4016","700","2","9360","1"
"4020","2100007","3","4021","30","4019","575","2","10590","1"
"4023","2100008","5","4024","30","4022","575","2","10590","1"
"4026","2100009","7","4027","30","4025","575","2","10590","1"
"4029","2100010","3","4030","30","4028","575","2","10590","1"
"5002","2200001","3","5003","33","5001","700","2","9360","2"
"5005","2200002","5","5006","33","5004","700","2","9360","2"
"5008","2200003","7","5009","33","5007","700","2","9360","2"
"5011","2200004","3","5012","33","5010","700","2","9360","2"
"5014","2200005","5","5015","33","5013","700","2","9360","2"
"5017","2200006","7","5018","33","5016","700","2","9360","2"
"5020","2200007","3","5021","33","5019","700","2","9360","2"
"5023","2200008","5","5024","33","5022","700","2","9360","2"
"5026","2200009","7","5027","33","5025","700","2","9360","2"
"5029","2200010","3","5030","33","5028","700","2","9360","2"
"5032","2200011","5","5033","33","5031","700","2","9360","2"
"5035","2200012","7","5036","33","5034","700","2","9360","2"
"5038","2200013","3","5039","34","5037","575","2","10590","2"
"5041","2200014","5","5042","34","5040","575","2","10590","2"
"5044","2200015","7","5045","34","5043","575","2","10590","2"
"5047","2200016","3","5048","34","5046","575","2","10590","2"
"5050","2200017","5","5051","34","5049","575","2","10590","2"
"5053","2200018","7","5054","34","5052","575","2","10590","2"
"5056","2200019","5","5057","34","5055","575","2","10590","2"
"5059","2200020","7","5060","34","5058","575","2","10590","2"
"6002","2300001","3","6003","33","6001","700","2","9360","3"
"6005","2300002","5","6006","33","6004","700","2","9360","3"
"6008","2300003","7","6009","33","6007","700","2","9360","3"
"6011","2300004","3","6012","33","6010","700","2","9360","3"
"6014","2300005","5","6015","33","6013","700","2","9360","3"
"6017","2300006","7","6018","33","6016","700","2","9360","3"
"6020","2300007","3","6021","33","6019","700","2","9360","3"
"6023","2300008","5","6024","33","6022","700","2","9360","3"
"6026","2300009","7","6027","33","6025","700","2","9360","3"
"6029","2300010","3","6030","33","6028","700","2","9360","3"
"6032","2300011","5","6033","33","6031","700","2","9360","3"
"6035","2300012","7","6036","33","6034","700","2","9360","3"
"6038","2300013","3","6039","33","6037","700","2","9360","3"
"6041","2300014","5","6042","33","6040","700","2","9360","3"
"6044","2300015","7","6045","33","6043","700","2","9360","3"
"6047","2300016","3","6048","33","6046","700","2","9360","3"
"6050","2300017","5","6051","33","6049","700","2","9360","3"
"6053","2300018","7","6054","33","6052","700","2","9360","3"
"6056","2300019","3","6057","34","6055","575","2","10590","3"
"6059","2300020","5","6060","34","6058","575","2","10590","3"
"6062","2300021","7","6063","34","6061","575","2","10590","3"
"6065","2300022","3","6066","34","6064","575","2","10590","3"
"6068","2300023","5","6069","34","6067","575","2","10590","3"
"6071","2300024","7","6072","34","6070","575","2","10590","3"
"6074","2300025","3","6075","34","6073","575","2","10590","3"
"6077","2300026","5","6078","34","6076","575","2","10590","3"
"6080","2300027","7","6081","34","6079","575","2","10590","3"
"6083","2300028","3","6084","34","6082","575","2","10590","3"
"6086","2300029","5","6087","34","6085","575","2","10590","3"
"6089","2300030","7","6090","34","6088","575","2","10590","3"
"7002","3100001","1","7003","39","7001","340","3","14280","1"
"7005","3100002","1","7006","39","7004","340","3","14280","1"
"7008","3100003","1","7009","39","7007","340","3","14280","1"
"7011","3100004","1","7012","39","7010","340","3","14280","1"
"7014","3100005","1","7015","39","7013","340","3","14280","1"
"7017","3100006","1","7018","39","7016","340","3","14280","1"
"7020","3100007","1","7021","36","7019","375","3","13050","1"
"7023","3100008","1","7024","36","7022","375","3","13050","1"
"7026","3100009","1","7027","36","7025","375","3","13050","1"
"7029","3100010","1","7030","36","7028","375","3","13050","1"
"8002","3200001","1","8003","41","8001","340","3","14280","2"
"8005","3200002","1","8006","41","8004","340","3","14280","2"
"8008","3200003","1","8009","41","8007","340","3","14280","2"
"8011","3200004","1","8012","41","8010","340","3","14280","2"
"8014","3200005","1","8015","41","8013","340","3","14280","2"
"8017","3200006","1","8018","41","8016","340","3","14280","2"
"8020","3200007","1","8021","41","8019","340","3","14280","2"
"8023","3200008","1","8024","41","8022","340","3","14280","2"
"8026","3200009","1","8027","41","8025","340","3","14280","2"
"8029","3200010","1","8030","41","8028","340","3","14280","2"
"8032","3200011","1","8033","41","8031","340","3","14280","2"
"8035","3200012","1","8036","41","8034","340","3","14280","2"
"8038","3200013","1","8039","38","8037","375","3","13050","2"
