f96bc51d30dcd6a40c52b43cdb5cd8e614e6532ac8bcf439036058b7ddcdf103,f390bc104ae3405cff87f861639eac1c09626da24e436b9fc955c09c2c479624,bc32e59005b9a33ecb5bdf606178cb2bcbaa3224da1b25b007cdd190b8acc7dc,3b9f6c159ba69a39f34871c8137985cb26d23ee5d9f5412a3950363b32192ac0,4dd495065346f229e2c092f1bfc689aae5f13eebe0632ba3a7d8716f6f2ce8da
"8","1","1","100","91002"
"8","2","2","100","91002"
"8","3","3","100","91002"
"8","4","4","100","91002"
"8","5","5","100","91002"
"2","6","6","500","23003"
"4","7","7","100","140001"
"2","8","8","1","21953"
"2","9","9","500","23003"
"2","10","10","100","25001"
"2","11","11","100","90005"
"2","12","12","1","41000"
"2","13","13","500","23003"
"2","14","14","10000","25011"
"2","15","15","10000","25012"
"2","16","16","10000","25013"
"2","17","17","10000","25014"
"2","18","18","10000","25015"
"2","19","19","5000","25021"
"2","20","20","1","25101"
"2","21","21","100","23003"
"2","22","22","10000","25011"
"2","23","23","10000","25012"
"2","24","24","10000","25013"
"2","25","25","10000","25014"
"2","26","26","10000","25015"
"2","27","27","5000","25021"
"8","28","28","100","91002"
"2","29","29","150","23003"
"2","30","30","150","23003"
"2","31","31","150","23003"
"2","32","32","150","23003"
"2","33","33","150","23003"
"2","34","34","150","23003"
"2","35","35","50000","26202"
"2","36","36","50000","26202"
"2","37","37","1","26203"
"2","38","38","50000","26202"
"2","39","39","50000","26202"
"2","40","40","1","26203"
"2","41","41","50000","26202"
"2","42","42","50000","26202"
"2","43","43","1","26203"
"2","44","44","50000","26202"
"2","45","45","50000","26202"
"2","46","46","1","26203"
"2","47","47","50000","26202"
"2","48","48","50000","26202"
"2","49","49","1","26203"
