c89fe0b91a1beac35d642354b9bade38cba823a8fb8b1e9e7d863d048c26cdf1,3c6e0ae20b3fe21685e71cbd8aad736579d8b071b8fd236f2bd224f02fd7de75,3a54440619ca7de4c5e38d21752a0c3d66b7068e0e9a0dbc576e198f92e31268,629b44c8da6e6fda8d0e357582a669ee5dc26bc8e81b699957506141f025901b
"1","1","10000","HP"
"1","2","10000","物理攻擊力"
"1","3","10000","物理防禦力"
"1","4","10000","魔法攻擊力"
"1","5","10000","魔法防禦力"
"1","6","10000","物理暴擊率"
"1","7","10000","魔法暴擊率"
"0","8","1","迴避率"
"0","9","1","HP吸收"
"0","10","1","HP自動恢復"
"0","11","1","TP自動恢復"
"0","12","1","物理貫通傷害"
"0","13","1","魔法貫通傷害"
"0","14","1","TP上升"
"0","15","1","回復量上升"
"0","16","1","TP消耗減輕"
"0","17","1","命中"
"1","100","100","物理暴擊傷害"
"1","101","100","魔法暴擊傷害"
"1","102","100","物理造成的傷害"
"1","103","100","魔法造成的傷害"
"1","104","10000","屬性獎勵"
