97f84a3f6bcf5dd6674e3567be4c7dc3677dd41bc4670699ce0fe7e140f8d8ff,79b85b23361b2a4b485eda6d15d121ea3ec63ac166fdcd13fdcf7fe85e9c66ca,fa0d50484fc421794ad39d64cedf2a758182dbec769b0f4e0277bf37d510d987,18b8e3b8b253768718554712ef3003c5625bb583fb728c8619a978d62ae4c87d,865855b93fda0cbf7053c348b2e9ca85bb12ae04f763e98544aced33fac7c19d,2ae6968d643675180577b9a1c9edd5611824eb053ba73887cde04c42093ae46c,df5346c571a3e0fea8e448ce5810189f8de5b5e0cbb72a6df92e8e752bd762d8,ab92196559c21bb572cd3d7b5d216e687f25ecdf5df3c40ba4ee9ab78bc77db1,bd499d67a9959d9c6870d1b304c702f4e19347b629ba8ad66339366e40e655b9
"1001","4101","100101","3","100000001","1","3","累積獲得3個★","0"
"1001","4101","100102","6","100000002","2","6","累積獲得6個★","0"
"1001","4101","100103","9","100000003","3","9","累積獲得9個★","1"
"1001","4101","100104","12","100000004","4","12","累積獲得12個★","0"
"1001","4101","100105","15","100000005","5","15","累積獲得15個★","0"
"1001","4101","100106","18","100000006","6","18","累積獲得18個★","0"
"1001","4101","100107","21","100000007","7","21","累積獲得21個★","1"
"1001","4101","100108","24","100000008","8","24","累積獲得24個★","0"
"1001","4101","100109","27","100000009","9","27","累積獲得27個★","1"
"1001","4101","100110","30","100000010","10","30","累積獲得30個★","0"
"1001","4101","100111","33","100000011","11","33","累積獲得33個★","0"
"1001","4101","100112","36","100000012","12","36","累積獲得36個★","1"
"1001","4101","100113","39","100000013","13","39","累積獲得39個★","0"
"1001","4101","100114","42","100000014","14","42","累積獲得42個★","0"
"1001","4101","100115","45","100000015","15","45","累積獲得45個★","1"
"1001","4101","100116","48","100000016","16","48","累積獲得48個★","0"
"1001","4101","100117","51","100000017","17","51","累積獲得51個★","1"
"1001","4101","100118","54","100000018","18","54","累積獲得54個★","0"
"1002","4101","100201","3","100200001","1","3","累積獲得3個★","0"
"1002","4101","100202","6","100200002","2","6","累積獲得6個★","0"
"1002","4101","100203","9","100200003","3","9","累積獲得9個★","1"
"1002","4101","100204","12","100200004","4","12","累積獲得12個★","0"
"1002","4101","100205","15","100200005","5","15","累積獲得15個★","0"
"1002","4101","100206","18","100200006","6","18","累積獲得18個★","0"
"1002","4101","100207","21","100200007","7","21","累積獲得21個★","1"
"1002","4101","100208","24","100200008","8","24","累積獲得24個★","0"
"1002","4101","100209","27","100200009","9","27","累積獲得27個★","1"
"1002","4101","100210","30","100200010","10","30","累積獲得30個★","0"
"1002","4101","100211","33","100200011","11","33","累積獲得33個★","0"
"1002","4101","100212","36","100200012","12","36","累積獲得36個★","1"
"1002","4101","100213","39","100200013","13","39","累積獲得39個★","0"
"1002","4101","100214","42","100200014","14","42","累積獲得42個★","0"
"1002","4101","100215","45","100200015","15","45","累積獲得45個★","1"
"1002","4101","100216","48","100200016","16","48","累積獲得48個★","0"
"1002","4101","100217","51","100200017","17","51","累積獲得51個★","1"
"1002","4101","100218","54","100200018","18","54","累積獲得54個★","0"
