941a94a0b0b724e482289f01c79982686d00e9e334776dbbdf3bf5fb2216fde1,6c23bb8d8822f8d4c061312d4149ae92eef3a8ceb27eb7256205944075006716,eff0195d1a803d97716c03b48f309ea3d0e733a18e9797e55ca9d2eed9ff6f35,745de025101d1c53775bcb4ba49f419ac033ebe95250d518b0a17a940fd9bb38,cce5f153e7a73472074434111bb54ac8b9d6df00e9507f66e36a2dbfdebf76eb,b32098d63abbcfefdd5a79cba95462d6882a001464cdc6c2e0c0596760c040fb,d58a998e1e623323ffb337955464a0b5b0d1b7c787676a1b0ba134b01beaee8a,eeba1f71f8ee1f07876c791f0c82e59bc457fbac4efea451ac8d61d69ff47078,88d45eaaa26ae4dac403093bf13885e4f7cc53c2be6011d450ce3b52e7e95b2f,707b4c082d9a3b8e2ef19f3484d95d5379032ee4b577971c900a5fad612c0e33,5721ea2651af4375722b9d7d217e5ec0be47e1d2febec577603afad60a214638,3df92f76eb445a87b8749a25a77ab69ec083a0c3188a815c7bf912500278a4d6
"1","0.05","27","0.025","0","0","0","35","31","0","324","0"
"2","0.05","26","0.025","0","0","0","34","30","0","315","0"
"3","0.05","25","0.025","0","0","0","33","29","0","306","0"
"4","0.05","24","0.025","0","0","0","32","28","0","297","0"
"5","0.05","23","0.025","0","0","0","31","27","0","288","0"
"6","0.05","22","0.025","0","0","0","30","26","0","279","0"
"7","0.05","21","0.025","0","0","0","29","25","0","270","0"
"8","0.05","20","0.025","0","0","0","28","24","0","261","0"
"9","0.05","19","0.025","0","0","0","27","23","0","252","0"
"10","0.05","18","0.025","0","0","0","26","22","0","243","0"
"11","0.05","17","0.025","0","0","0","25","21","0","234","0"
"12","0.05","16","0.025","0","0","0","24","20","0","225","0"
"13","0.05","15","0.025","0","0","0","23","19","0","216","0"
"14","0.05","14","0.025","0","0","0","22","18","0","207","0"
"15","0.05","13","0.025","0","0","0","21","17","0","198","0"
"16","0.05","12","0.025","0","0","0","20","16","0","189","0"
"17","0.05","11","0.025","0","0","0","19","15","0","180","0"
"18","0.05","10","0.025","0","0","0","18","14","0","171","0"
"19","0.05","9","0.025","0","0","0","17","13","0","161","0"
"20","0.05","8","0.025","0","0","0","16","12","0","152","0"
"21","0.05","7","0.025","0","0","0","15","11","0","143","0"
"22","0.05","6","0.025","0","0","0","14","10","0","134","0"
"23","0.05","5","0.025","0","0","0","13","9","0","125","0"
"24","0.05","4","0.025","0","0","0","12","8","0","116","0"
"25","0.05","3","0.025","0","0","0","11","7","0","107","0"
"26","0.05","2","0.025","0","0","0","10","6","0","101","0"
"27","0","0","0","0","0","0","0","0","0","1","0"
