8f61a91b16388ebc6dd6f9d9f6a9905ea8dc745cb14207367aabc92b47db36a7,bf88bb5f573252a37c55186fd4befc0889d0d96f58c0c09e2b9b737b8614ab08,dd049dcd7cd5f4eaa44d0a4310b8069bf122dfcecdf16ed82aa12e1c3c3f4aa5,388155026d85001cd31d0531cafeb8be6f58335c4f4f9e5e76f1846eed9b281e,e1c1388652be18182d79b3ad90c557d344f743adc8f28b1a729a5245463a10f6
"27003","27001","2021/08/20 15:59:59","519","2021/08/02 16:00:00"
"27004","27001","2022/02/22 15:59:59","550","2022/02/01 16:00:00"
"27005","27001","2022/05/23 15:59:59","571","2022/05/02 16:00:00"
"27006","27005","2022/08/20 15:59:59","572","2022/08/01 16:00:00"
"27007","27001","2023/02/10 15:59:59","575","2023/01/20 16:00:00"
"27008","27001","2023/05/26 15:59:59","609","2023/05/11 16:00:00"
"27009","27005","2023/08/20 15:59:59","616","2023/08/01 16:00:00"
"27010","27009","2023/09/26 15:59:59","626","2023/09/01 16:00:00"
"27011","27001","2024/02/25 15:59:59","632","2024/02/07 16:00:00"
"27013","27012","2024/05/22 15:59:59","641","2024/05/01 16:00:00"
"27014","27005","2024/09/03 15:59:59","649","2024/08/15 16:00:00"
"27015","27012","2024/10/31 23:59:59","656","2024/10/01 00:00:00"
"27016","27012","2025/02/27 23:59:59","664","2025/02/01 00:00:00"
"27018","27012","2025/05/25 23:59:59","674","2025/05/01 00:00:00"
"27019","27018","2025/08/19 23:59:59","698","2025/08/01 00:00:00"
"27020","27012","2025/08/19 23:59:59","697","2025/08/01 00:00:00"
