caeef10ce1cf0092684a8cebd71fcf9716b5e3a30327e1d1f542001fdbb574e2,9d0a17401e355f7b8ba0c7e399d0bd9bcd47a511b0a18fe1868f9ce78d506afd,64225cf92192ad2d7485072c525b4711ee265cd22f6658fd38d3ecc9d74c10fa,4eb70f8cccfd43ca4fc35a3b8dc7bd28256e55c14e140eb01d55158ae47da757,178313e7ee2923d7dde02d51b160a0bb6b58d262252c00c9ee0592559f00d37c,ff0017bc66cde0c2889138e562936cd37049196a2b55d75e991005a4218ae6fa,8b8d05fe59ffdf549470bdfa3aacc265aa183981e795aa54f0f3efd14d228c65,71971db89d45ecaee1ef5964d84a3b735e5e7a993c777beb70c11867fa0b0a1d,68cbf84b78a5b38c0b91cd95b6c70161c1b0cde64b96a17e03e3b2d0f840ea6a,9452edca5b17d340e605d62e6bbc98b2eacaacdfc7c0042245e44ee3ad476fc0,edc23b30dc4384bb616066db6408bb37b3e1ef406e1158bd73c47ff779ad8105
"100","1","130011","0","0","1001","1","bsm_idle_yamato","1","0","1.3"
"0","3","bsm_drama_arm_crossed","0","1","1002","1","","130011","bsm_drama_arm_crossed_loop","0.2"
"0","21","vo_minigame_1014_top_1000","","","1003","1","","vo_minigame_1014","0",""
"5","11","弱肉強食很好啊。\n從正面上贏不了的時候，\n也要去想怎樣才能出乎對方預料。","0","0","1004","1","1","130011","1","0"
"","91","","","","1005","1","","0","",""
"1","3","bsm_idle_yamato","","","1006","1","","130011","","0.3"
"100","1","130011","0","0","2001","2","bsm_idle_yamato","1","0","1.3"
"1","3","bsm_drama_thinking","","","2002","2","","130011","","0.2"
"0","21","vo_minigame_1014_top_1001","","","2003","2","","vo_minigame_1014","0",""
"6","11","總有一天\n我也來教若菜，\n戰勝敵人之後\n品嘗的八鹽折的滋味吧。","0","0","2004","2","1","130011","1","0"
"","91","","","","2005","2","","0","",""
"1","3","bsm_idle_yamato","","","2006","2","","130011","","0.3"
"100","1","130011","0","0","3001","3","bsm_idle_yamato","1","0","1.3"
"0","3","bsm_drama_doya","0","1","3002","3","","130011","bsm_drama_doya_loop","0.2"
"0","21","vo_minigame_1014_top_1002","","","3003","3","","vo_minigame_1014","0",""
"7","11","作為維修員，\n布武機的技術好到像神一樣啊……\n她是我妹妹\n真的是太好了。","0","0","3004","3","1","130011","1","0"
"","91","","","","3005","3","","0","",""
"1","3","bsm_idle_yamato","","","3006","3","","130011","","0.3"
"100","1","130111","0","0","4001","4","bsm_idle_wakana","1","0","1.3"
"0","3","bsm_drama_guts","0","1","4002","4","","130111","bsm_drama_guts_loop","0.2"
"0","21","vo_minigame_1014_top_2000","","","4003","4","","vo_minigame_1014","0",""
"8","11","雖然很對不起\n各位參加者……\n但是為了還錢，\n我要贏下這場比賽！","0","0","4004","4","1","130111","1","0"
"","91","","","","4005","4","","0","",""
"1","3","bsm_idle_wakana","","","4006","4","","130111","","0.3"
"100","1","130111","0","0","5001","5","bsm_idle_wakana","1","0","1.3"
"1","3","bsm_drama_wish","","","5002","5","","130111","","0.2"
"0","21","vo_minigame_1014_top_2001","","","5003","5","","vo_minigame_1014","0",""
"8","11","雖然這樣說\n有點那個……\n但是姊姊看起來很開心，\n我也很高興。","0","0","5004","5","1","130111","1","0"
"","91","","","","5005","5","","0","",""
"1","3","bsm_idle_wakana","","","5006","5","","130111","","0.3"
"100","1","130111","0","0","6001","6","bsm_idle_wakana","1","0","1.3"
"1","3","bsm_drama_pazzled","","","6002","6","","130111","","0.2"
"0","21","vo_minigame_1014_top_2002","","","6003","6","","vo_minigame_1014","0",""
"7","11","要怎麼樣\n才能讓布武機\n吃蔬菜呢……\n要、要更強硬一點……？","0","0","6004","6","1","130111","1","0"
"","91","","","","6005","6","","0","",""
"1","3","bsm_idle_wakana","","","6006","6","","130111","","0.3"
"100","1","130211","0","0","7001","7","bsm_idle_fubuki","1","0","1.3"
"1","3","bsm_drama_smile","","","7002","7","","130211","","0.2"
"0","21","vo_minigame_1014_top_3000","","","7003","7","","vo_minigame_1014","0",""
"5","11","對戰對手的工作是～\n替我們\n搬運獎金過來♪\n請多指教囉～♡","0","0","7004","7","1","130211","1","0"
"","91","","","","7005","7","","0","",""
"1","3","bsm_idle_fubuki","","","7006","7","","130211","","0.2"
"100","1","130211","0","0","8001","8","bsm_idle_fubuki","1","0","1.3"
"0","3","bsm_drama_doya","","1","8002","8","","130211","bsm_drama_doya_loop","0.2"
"0","21","vo_minigame_1014_top_3001","","","8003","8","","vo_minigame_1014","0",""
"7","11","倭姊已經\n穩拿第一了啊～♪\n把獎金全部拿走\n也沒關係吧～？","0","0","8004","8","1","130211","1","0"
"","91","","","","8005","8","","0","",""
"1","3","bsm_idle_fubuki","","","8006","8","","130211","","0.2"
"100","1","130211","0","0","9001","9","bsm_idle_fubuki","1","0","1.3"
"0","3","bsm_drama_laugh","0","1","9002","9","","130211","bsm_drama_laugh_loop","0.2"
"0","21","vo_minigame_1014_top_3002","","","9003","9","","vo_minigame_1014","0",""
"7","11","把大哥哥當子彈\n射出去的武器，如何啊～？\n呀哈哈，感覺很弱呢～♡","0","0","9004","9","1","130211","1","0"
"","91","","","","9005","9","","0","",""
"1","3","bsm_idle_fubuki","","","9006","9","","130211","","0.2"
