6436bdcbf8f5b0da52d02389c03dc41ca4bed629d0e5a32bf5c1354e057b30b9,8933baca6cbc85bf5bab50e0368b3f28b7bee2446ad5d046a4e7307c33c78ec4,11cfc75a4364333dc4b1cbbb8fda0aaecb67183ca337dd126e93247b6333d041,f6df762daabf11a1a5a8919c8109d363f91013da22ea38b1ec395883dc15247a,069c556e401d1c606785e31117621ac81b72235f09bb4be7d2e6878ac1030521,0f7b042bd36975d7368030e0652b2cc8b3d5df439a139f8d5811ff124316297d,16cffe6046d498468802eb4873b20c264e74fbca83142c5b1a43f4835d9a241f,09ed6e00d6cabc21398eb7006593d6be044fc6a65a20a6e9327a3110e6e983d8,3e21b3a4334716256051c9ef476bd363393e99c6c37f8e7d5578370e853860b8,865cfc6583296755862237afa836fc12e02b237f6c616e1503665535f3ec3ca6,b5c25306879b86a362f000898f8f6961ab0c4b21f168cd9ec1415262cd2e9caf,b8384f5c85f85e904b5dd0f2cda2c814af079cb8035210d7a752225287589c6c,95253e76d15bacd6aca6a084c00948c6070a00ee3362131ab8e686506f1bb9a0,11f5debdbe3b5dd314c68aedd2fd4dc7c477901d61b5e5a6ec616d4de0cfb77d,500f186f0c5e12bcc7585f3d15b2fcb3bbe266663fffdc417415de22408116ab
"0","0","0","0","0","0","0","0","1","0","0","宮子的廚房","0","0","0"
"102","0","0","0","0","0","0","0","2","0","48","把你變成布丁喲","0","0","0"
"152","0","0","0","0","0","0","0","3","0","96","比幽靈還可怕的東西？","0","0","0"
"142","0","0","0","0","0","0","0","4","0","144","宴會要與做布丁並行","0","0","0"
"127","0","0","0","0","0","0","0","5","0","168","愛就是為了布丁","0","0","0"
"107","0","0","0","0","0","0","0","6","0","192","稍微成長了？","0","0","0"
"0","0","0","0","0","0","0","0","7","0","240","啾啾～！","0","0","0"
"153","0","0","0","0","0","0","0","8","20","0","可愛的三名手下","155","154","0"
"150","0","0","0","0","0","0","0","9","40","0","好奇怪的興趣喲","0","157","0"
"125","0","0","0","0","0","0","0","10","50","0","不要亂加很危險喲","0","161","0"
"116","0","0","0","0","0","0","0","11","60","0","這是食譜？","0","135","0"
