9449d7b1f4fa0733479b2c0faf3577fea94abe7ee62c24b3f1a1af503c3c22b6,d7d8f4171b142cf0e9abf01fabf9e94284a7e012833dc0c45fc6075b0469bf00,23b0f032047995c7f52c5989a8599f3c7470064b722879b1f0de2f64138b15bd,9f643e279848ee6730dc943a57653a06169b19d649a88e438104f3c23f5a056c,14ad8825dbd6d5b9352ea989b8bb35a2885a372729143287fe7a5257ab3761a6,ef04a6ac6ed8311efdcf7a3894a576dc499e0e809c9349c50c65fda08252bd60,ca51b526697a7c68f2b10de276a54c30f93b3df82be96406e85093b16aecc8f8,e16d10f5d8e32f1da7e4fe987786886aa702f63e20217880d403fb3b43717439
"10050640","10050650","0","30050236","0","30050237","0","3000"
"10050659","10050670","0","30050413","0","30050414","0","3000"
"10050723","10050735","0","30050421","0","30050422","30050423","3000"
"10050818","10050360","0","30050424","0","30050425","30050426","3000"
"10060402","10060413","0","30060187","30060190","30060188","30060189","3000"
"10060480","10060492","0","30060191","0","30060192","30060193","3000"
"10060542","10060545","0","30060194","30060197","30060195","30060196","3000"
"10060591","10060606","30060212","30060208","30060211","30060209","30060210","3000"
"10070608","10070626","0","30070186","30070189","30070187","30070188","3000"
"10070914","10070926","30070202","30070198","30070201","30070199","30070200","3000"
"10071038","10071052","30070210","30070206","30070209","30070207","30070208","3000"
"10071117","10071131","0","30070193","30070196","30070194","30070195","3000"
