476b5651a24a2b699824c7677c6655d0453773c9ad5365584237825d4aaff7de,2cb4057e850f59e2455960c7aef3d2d4dc0664893a9f806a64c041bfe9da7dea,a13c48ec74610296da0c7eb0c90acad293878acda16ae6767c8e65ac305a0fff,d4eaa00b74866a7ed64e881219bfc567dc6e7d3943290f9a9ebc997a47061cb9,6482354cf7740e6b64c042ffc1c77efb299df72031fe8c4bd061e0c792d253ea,cb260fb4415d8dd6860ce279da6dc8c45f187f23256f4a6710e60d947a8128f3,b7ae205ae1c8f5a2afefd984ad0de3d3ff58b69495afec1992c9aa00b0fe8c51
"1000101","vo_minigame_1004","vo_minigame_1004_top_1_000","10001","1","呵呵呵，這樣一來就能報復嘉夜夜和老大了！","2"
"1000201","vo_minigame_1004","vo_minigame_1004_top_1_003","10002","1","接龍之戰，我要找哥哥幫忙。","2"
"1000301","vo_minigame_1004","vo_minigame_1004_top_1_004","10003","2","打手就是不管別人怎樣找碴都來者不拒！看我的！","1"
"1000401","vo_minigame_1004","vo_minigame_1004_top_1_005","10004","2","用石板進行接龍嗎……祈梨那人想的活動真有趣呢。","1"
"1000501","vo_minigame_1004","vo_minigame_1004_top_1_006","10005","2","管它是接龍還是什麼，就給他們回馬槍吧！","1"
"1000601","vo_minigame_1004","vo_minigame_1004_top_1_007","10006","3","咕麼……（我、肚子餓了）","2"
"1000701","vo_minigame_1004","vo_minigame_1004_top_1_008","10007","3","咕麼麼麼麼（接龍真有趣）","2"
"1000801","vo_minigame_1004","vo_minigame_1004_top_1_009","10008","3","咕麼麼麼麼！（祈梨 是好人）","2"
"1000901","vo_minigame_1004","vo_minigame_1004_top_2_010","10009","1","就算對手是嘉夜夜，我也不會手下留情。","2"
"1000902","vo_minigame_1004","vo_minigame_1004_top_2_011","10009","2","好極了！要比的話就要認真的比哦。","1"
"1001001","vo_minigame_1004","vo_minigame_1004_top_2_012","10010","1","嘉夜夜，要道歉就趁現在。","2"
"1001002","vo_minigame_1004","vo_minigame_1004_top_2_013","10010","2","祈梨才是，妳要偷哭的話就趁現在吧？","1"
"1001101","vo_minigame_1004","vo_minigame_1004_top_2_014","10011","1","嘉夜夜，今後可是知性的時代哦？","2"
"1001102","vo_minigame_1004","vo_minigame_1004_top_2_015","10011","2","慢著！不要把我說得像笨蛋一樣！！","1"
"1001201","vo_minigame_1004","vo_minigame_1004_top_2_016","10012","1","來，讓妳見識一下我們的力量！","1"
"1001202","vo_minigame_1004","vo_minigame_1004_top_2_017","10012","3","咕麼！（交給我！）","2"
"1001301","vo_minigame_1004","vo_minigame_1004_top_2_018","10013","1","乖乖，很好，做得好的話，就給你巧克力！","1"
"1001302","vo_minigame_1004","vo_minigame_1004_top_2_019","10013","3","咕麼！（我 喜歡巧克力）","2"
"1001401","vo_minigame_1004","vo_minigame_1004_top_2_023","10014","2","喏，祈梨……妳是不是已經迷失當時的目的了？","1"
"1001402","vo_minigame_1004","vo_minigame_1004_top_2_024","10014","1","我當然記得，就是要打倒嘉夜夜，證明我們的智慧。","2"
"1001501","vo_minigame_1004","vo_minigame_1004_top_2_025","10015","2","就算對手是祈梨，我也不會把勝利讓給妳的！","1"
"1001502","vo_minigame_1004","vo_minigame_1004_top_2_026","10015","1","正合我意，我可不會手下留情哦！","2"
