cc7b6c1d1748ea6fbcdf45095d56748b953ee7c28b7abf7922c9f3d87d11bedc,c836db830b0941226c28095f4934feb1ed2c397471184df7bda0e78be7c1b29a,689bdbc143bebfd038320f681fdedb24950a7256c734e38c6ff0ea1944bc838b,419b608157de588373fefc46b99018e42b06fe1c66d49ead6a5a659e83b00fe9,e0b49402ef80d032b5af76355be7f43e4bfaa041c7842a9de9bb0135c5aef3a2,214b3a93d89e48d49280f786af69a01a59c51f6fe7fc1ae0f9222bbb43a4941d,66212e2ee9271b88243fe20156bf05baf1b963fb75d5cac3b47dd68867d7ab13,4c9f4c202f86e78346e3e2271254792a3da07c13bc325fc3c5939c060a0988b7,d1d2e2b846089358756874246ae732e81d4e8811ad2aa148291e73166813b52e,efba51914fa1a2f625a1d24bc72f67f6b91abdccb30aea872ebd4fe8f22ee66d,d31e61ed41becc1693e5c1a566dec5d87901aad61dbdad28082c128714dcbc65
"1.3","-100","1001","1","55","2","1000001","0","-250","110010001","<weapon>_idle"
"1","0","1001","31","0","100","100","","1","110010002",""
"0","0","1001","31","0","101","101","","1","110010003",""
"1","0","1001","31","0","4","4","","1","110010004",""
"1","0","1001","31","94.5","5","5","","1","110010005",""
"","","1001","91","","0","0","","","110010006",""
"","","1001","93","","0.4","0","","","110010007",""
"0.2","","1001","3","0","1000001","<weapon>_joy_short","","","110010008",""
"","","1001","93","","1.3","0","","","110010009",""
"0","","1001","3","1","1000001","<weapon>_run","","","110010010",""
"","1","1001","2","-250","1000001","800","","0","110010011",""
"","","1001","93","","0.7","0","","","110010012",""
"","","1001","32","","101","1","","","110010013",""
"","","1001","93","","0.7","0","","","110010014",""
"1.3","-640","1101","1","55","2","1000001","0","-250","111010001","<weapon>_run"
"1","0","1101","31","0","100","100","","1","111010002",""
"0","0","1101","31","0","101","101","","1","111010003",""
"1","0","1101","31","0","4","4","","1","111010004",""
"","","1101","35","","4","0","","","111010005",""
"1","0","1101","31","0","5","5","","1","111010006",""
"1","0","1101","31","0","10","10","","1","111010007",""
"","","1101","91","","0","","","","111010008",""
"","","1101","35","","100","1","","","111010009",""
"","2.1","1101","2","-250","1000001","640","","0","111010010",""
"","","1101","93","","1.7","0","","","111010011",""
"","","1101","32","","101","1","","","111010012",""
"","","1101","93","","0.7","0","","","111010013",""
"1.3","0","2001","1","55","1","1000001","0","-240","120010001","look_loop"
"0","0","2001","31","0","1","1","0","1","120010002",""
"","","2001","35","","1","0","","","120010003",""
"","","2001","32","","1","1","","","120010004",""
"1","0","2001","31","345.4","2","2","0","1","120010005",""
"","","2001","35","","2","0","","","120010006",""
"0","0","2001","31","345.4","3","3","0","1","120010007",""
"","","2001","35","","3","0","","","120010008",""
"","","2001","32","","3","1","","","120010009",""
"1","0","2001","31","-345.4","31000001","31000001","","1","120010010",""
"1","0","2001","31","345.4","31000002","31000002","","1","120010011",""
"1","0","2001","31","0","100","100","","1","120010012",""
"0","0","2001","31","0","101","101","","1","120010013",""
"","","2001","91","","0","","","","120010014",""
"","","2001","35","","100","1","","","120010015",""
"0","look_loop","2001","3","0","1000001","look_in","0","1","120010016",""
"","","2001","93","","1.3","0","","","120010017",""
"0","0","2101","31","0","12","998","","1","121010001",""
"0","0","2101","31","0","14","997","","1","121010002",""
"0","0","2101","31","0","16","996","","1","121010003",""
"","","2101","32","","31000001","0","","","121010004",""
"","","2101","32","","31000002","0","","","121010005",""
"0","1","2101","121","-1","0","0","","0","121010006",""
"","","2101","35","","1","1","","","121010007",""
"","","2101","35","","3","1","","","121010008",""
"0","","2101","3","0","1000001","pointing","","","121010009",""
"","","2101","93","","1","0","","","121010010",""
"0","1.47","2101","121","-1.47","505","100","","2","121010011",""
"0.2","","2101","3","1","1000001","run_talk1","","","121010012",""
"","1","2101","2","-240","1000001","100","","0","121010013",""
"","","2101","23","0","se_travel","se_travel_treasure_cha_run","","","121010014",""
"","","2101","93","","1","0","","","121010015",""
"0","0","2201","31","0","11","998","","1","122010001",""
"0","0","2201","31","0","13","997","","1","122010002",""
"0","0","2201","31","0","15","996","","1","122010003",""
"","","2201","32","","31000001","0","","","122010004",""
"","","2201","32","","31000002","0","","","122010005",""
"","","2201","35","","1","1","","","122010006",""
"","","2201","35","","3","1","","","122010007",""
"0","","2201","3","0","1000001","pointing","","","122010008",""
"","","2201","93","","1","0","","","122010009",""
"0","1.47","2201","121","1.47","-505","100","","2","122010010",""
"0.2","","2201","3","1","1000001","run_talk1","","","122010011",""
"","1","2201","2","-240","1000001","100","","0","122010012",""
"","","2201","23","0","se_travel","se_travel_treasure_cha_run","","","122010013",""
"","","2201","93","","1","0","","","122010014",""
"0","0","3000","31","345.4","300000","300000","","1","130000001",""
"","","3000","91","","0","","","","130000002",""
"0","1.05","3000","123","1.05","1.05","1.05","","7.4","130000003",""
