d7f229442b5a4edf05262ee18c2f6f7e49d6d0551998189665fb33b76060a323,1bbfaac4a17d8d28ea0921f9d86be9b345d9be4ae70624e77e94b52e16037779,b379dbbc1aed02065931884cfafe3f3fa22b76d9c003dd22f03d8f24dbdb103a,4c9810458641976507a6dcb759c89d363b1faf0cf852e49a14e024c84581d08a,f9d6d64d21b13815f2e1fd8432185a9fdcd262ae74a439367c9e2320aec63e9a,94117bfbdf2c788a981a89d7a6d90ba890159545f978224b2485b51503654d12,9538299ddc2c7707c9fb99f98e18d81b4e905f98e698a630623f5268c339439b,edd2f44b37446a5d2f336206c6ba5eeed851be467e42d6093783b5eca6abddd3,432410ebb6a09490d92a079fea13006862b403d8d0bfe47e7ba67d024de659df,588822f76eb2e5f7f49c6c89129daa3e38fb71dd2f042c32ae1bd80c11dfbe40,094eed318a53f3551d9b6f5bc09df749d726292c3fcdf14326620008db8a923c,8381ef297d5967616b2bd363d66f56aa0fec453c800d88f55d5b2fc58d73b411,9cee26dbd45b07cf51bc75d0aca6de9d1f6cae625c8e26317320b4604336a4ed,8c901e38d8671c7f6eba513abc76f2d67538232edd4c4a49f1550b905db84d89,79016e9e12e2b4a922f77550df521dc59c1daa27068f248362bf117e6c84e8e9,534d33ff69f4b48e8df4b3de525305e6ff4169418b57d73ef002a2003c2000a8,81639b7993112c32103fd0c2dd3ff77b004e1e1a7914ae53324feb9240fd8ead,adecdc7e885680830983ea6dd29eeb23e6aab187baf725b74fb1e4be92dd168c,594335ce13dfb1d09b54510b5409df193f0a87e3c56fe209eb28921a40d17a1b,9b8c8659f034c14a992af02167f0cd00123b79ad3b1f5c4da71aa79b51ccfb58,98e27c4519e8fc3d4698c2b2046b53ba075050de808d1a6d8cd9791da4f627ee,2ccc3c01425495143dfc343d727b02404df7da35770a4279118b12cf33aae315
"0.8","0.6","210","10010101","bgm_M64","1","1001","0.7","101001","101001","1","-120","1","0","1","0","250","-480","-30","-30","1","10"
"1.2","0.75","200","10010102","bgm_M64","2","1001","1","101001","101001","1","-120","2","0","1","0","0","-260","-30","0","1","10"
"1.1","0.75","200","10010103","bgm_M64","3","1001","1","101001","101001","1","0","3","0","1","-50","100","-40","-30","-10","1","0"
"1","0.7","200","10010104","bgm_M64","4","1001","1","101001","101001","1","-50","4","0","1","0","0","240","-30","0","1","0"
"1.3","1.2","250","10010105","bgm_M55","5","1001","1","101011","101011","1","-40","5","0","1","0","200","480","-30","0","1","0"
"0.8","0.6","210","10020101","bgm_M64","1","1002","0.7","101021","101001","1","-155","1","0","1","0","250","-480","-30","-30","1","10"
"1.2","0.75","200","10020102","bgm_M64","2","1002","1","101021","101001","1","-120","2","0","1","0","250","-265","-30","0","1","10"
"1.4","0.9","200","10020103","bgm_M64","3","1002","1","101021","101001","1","30","3","-15","1","-30","100","-30","-30","-10","1","0"
"1.5","1","200","10020104","bgm_M64","4","1002","1.25","101021","101001","1","-90","4","0","1","-30","100","220","-30","0","1","0"
"1.8","1.4","250","10020105","bgm_M55","5","1002","1.6","101031","101011","1","0","5","0","1","0","200","440","-30","0","1","0"
"0.8","0.6","210","10030101","bgm_M64","1","1003","0.7","101041","101041","1","-155","1","0","1","0","250","-470","-30","-30","1","10"
"1.2","0.75","200","10030102","bgm_M64","2","1003","1","101041","101041","1","-95","2","0","1","0","250","-210","-30","0","1","10"
"1.1","0.75","200","10030103","bgm_M64","3","1003","1","101041","101041","1","-120","3","0","1","-50","100","50","-30","-10","1","0"
"1.5","0.8","200","10030104","bgm_M64","4","1003","1.2","101041","101041","1","35","4","0","1","-30","100","195","-30","0","1","0"
"1.8","1.1","210","10030105","bgm_M55","5","1003","1.35","101042","101042","1","-55","5","0","1","-50","150","450","-30","0","1","0"
"0.8","0.6","210","10040101","bgm_M64","1","1004","0.7","101161","101161","1","-120","1","0","1","0","250","-480","-30","-30","1","10"
"1.2","0.75","200","10040102","bgm_M64","2","1004","1","101161","101161","1","-120","2","0","1","0","0","-260","-30","0","1","10"
"1.4","0.9","200","10040103","bgm_M64","3","1004","1","101161","101161","1","55","3","-15","1","-30","100","-20","-30","-10","1","0"
"1.3","0.9","200","10040104","bgm_M64","4","1004","1","101161","101161","1","-30","4","0","1","-30","0","180","-30","0","1","0"
"1.2","0.9","250","10040105","bgm_M55","5","1004","0.9","101162","101162","1","-60","5","-40","1","-50","200","470","-30","-30","1","0"
"0.8","0.6","210","10050101","bgm_M64","1","1005","0.7","101171","101161","1","-120","1","0","1","0","250","-480","-30","-30","1","10"
"1.2","0.75","200","10050102","bgm_M64","2","1005","1","101171","101161","1","-120","2","0","1","0","0","-260","-30","0","1","10"
"1.4","0.9","200","10050103","bgm_M64","3","1005","1","101171","101161","1","45","3","-15","1","-30","100","-20","-30","-10","1","0"
"1","0.7","200","10050104","bgm_M64","4","1005","1","101171","101161","1","-70","4","0","1","0","0","190","-30","0","1","0"
"1.3","1","240","10050105","bgm_M55","5","1005","1","101172","101162","1","-25","5","-40","1","-30","200","445","-30","0","1","0"
"0.8","0.6","210","10060101","bgm_M64","1","1006","0.7","101191","101161","1","-120","1","0","1","0","250","-480","-30","-30","1","10"
"1.2","0.75","200","10060102","bgm_M64","2","1006","1","101191","101161","1","-100","2","0","1","0","0","-260","-30","0","1","10"
"1.1","0.8","200","10060103","bgm_M64","3","1006","1","101191","101161","1","65","3","-15","1","0","100","-10","-30","-10","1","0"
"1.2","0.8","200","10060104","bgm_M64","4","1006","1","101191","101161","1","-110","4","0","1","0","0","190","-30","0","1","0"
"1.15","0.9","280","10060105","bgm_M55","5","1006","1","101192","101162","1","-70","5","0","1","-50","270","485","-30","-45","1","-10"
"0.8","0.6","210","10070101","bgm_M64","1","1007","0.7","101201","101161","1","-120","1","0","1","0","250","-480","-30","-30","1","10"
"1.2","0.9","240","10070102","bgm_M64","2","1007","1","101201","101161","1","-120","2","0","1","0","120","-260","-30","0","1","10"
"1.1","0.8","200","10070103","bgm_M64","3","1007","1","101201","101161","1","65","3","-15","1","0","100","-10","-30","-10","1","0"
"1.2","0.9","200","10070104","bgm_M64","4","1007","1","101201","101161","1","-110","4","0","1","0","100","190","-30","0","1","0"
"1.45","1","250","10070105","bgm_M55","5","1007","1","101202","101162","1","-30","5","-20","1","-50","270","475","-30","-45","1","10"
"0.8","0.6","210","10080101","bgm_M64","1","1008","0.7","101291","101161","1","-120","1","0","1","0","250","-480","-30","-30","1","10"
"1.2","0.9","240","10080102","bgm_M64","2","1008","1","101291","101161","1","-120","2","0","1","0","120","-260","-30","0","1","10"
