9674f91c1aed28a54d90d97acfb834555dbcb21a290052c132abada94becfc1e,d946c53135607f83aefccac47c2c47eae870203e0a38209bc3bff0453942c2b8,3a287afb35bc7584981acc3173278f0fb5e08524407b3cbde3e240aff6ddb2ce,d69025c41477e4193d742433a50982d173b948be6b21c6c6245fa15976c4d25f,fcda9ee4c2c9024e7ff0bcc6afbaed16205d74d8cedc850ed5d5d34b548593eb
"255","100","30","10","10001"
"110","100","34","10","10002"
"185","100","37","10","10003"
"388","101","41","10","10004"
"603","100","46","10","10005"
"696","100","51","10","10006"
"478","100","54","10","10007"
"240","101","58","10","10008"
"371","100","62","10","10009"
"253","100","67","10","10010"
"408","100","71","10","10011"
"342","100","75","10","10012"
"549","101","78","10","10013"
"696","100","82","10","10014"
"468","100","87","10","10015"
"641","100","92","10","10016"
"701","100","96","10","10017"
"531","100","101","10","10018"
"387","100","105","10","10019"
"315","100","108","10","10020"
"241","100","112","10","10021"
"316","100","117","10","10022"
"741","100","120","10","10023"
"1007","100","125","10","10024"
"730","101","129","10","10025"
"647","100","133","10","10026"
"836","100","137","10","10027"
"1087","100","140","10","10028"
"818","100","143","10","10029"
"558","100","147","10","10030"
"228","101","152","10","10031"
"569","100","155","10","10032"
"724","101","159","10","10033"
"367","101","162","10","10034"
"9","100","165","10","10035"
"101","100","170","10","10036"
"509","101","173","10","10037"
"214","100","178","10","10038"
"511","400","183","10","10039"
"477","100","188","10","10040"
"739","100","192","10","10041"
"485","101","197","10","10042"
"670","100","202","10","10043"
"339","100","205","10","10044"
"193","100","210","10","10045"
"376","101","215","10","10046"
"719","100","219","10","10047"
"1012","100","224","10","10048"
"1199","100","227","10","10049"
"870","100","232","10","10050"
"521","100","237","10","10051"
"632","100","240","10","10052"
"263","100","244","10","10053"
"180","101","247","10","10054"
"295","100","252","10","10055"
"594","200","255","10","10056"
"252","100","259","10","10057"
"623","100","262","10","10058"
"219","101","265","10","10059"
"379","100","270","10","10060"
"218","101","273","10","10061"
"478","100","277","10","10062"
"415","100","281","10","10063"
"700","100","284","10","10064"
"411","100","289","10","10065"
"326","100","292","10","10066"
"763","101","296","10","10067"
"591","100","300","10","10068"
"837","300","304","10","10069"
"432","100","307","10","10070"
"379","100","310","10","10071"
"31","101","314","10","10072"
"216","100","317","10","10073"
"412","100","321","10","10074"
