b65d8c7fbc99001941fbc0af2e7c32848f59556e9d80cb9844a61d9dad1bea77,84427f02bcbbca314557bebcd5c0d153579cacb8c4a8a410c97d4530333d51e8,303cb07b90f6c8fca9f0e4e04d62773d9bb4cbaa4bde5e7ae94fe090b9ad0332,448c993c30df99c921b427cb45a59b6c7379f31fd1f4fdc5d57b48f0e3698f6a,508737d9ad7d96f7cc190170a5772e5142e629beb4a61cbbce307712f282298b,f95e718e5cd60a9ef1dd45f80bf3227e83ee12ae1963bf95dbefbd4cdfb40390,a7015add1c231e058d6c99dd06f8dc97caa1551807cf68bfa1f967c3d217fb63,f192de01104ab9e8330b66e321e3d9bc79dd412e4bf11a9db3432519f7e6e0ee
"11001","101","2015/12/17 15:00:00","1.朱諾平原","bgm_M61","bgm_M61","1.朱諾平原","2030/12/17 14:59:59"
"11002","101","2015/12/17 15:00:00","2.帕拉斯高原","bgm_M61_02","bgm_M61","2.帕拉斯高原","2030/12/17 14:59:59"
"11003","101","2015/12/17 15:00:00","3.赫柏丘陵","bgm_M61_03","bgm_M61","3.赫柏丘陵","2030/12/17 14:59:59"
"11004","101","2015/12/17 15:00:00","4.維斯塔溪谷","bgm_M61_04","bgm_M61","4.維斯塔溪谷","2030/12/17 14:59:59"
"11005","101","2015/12/17 15:00:00","5.刻瑞斯森林","bgm_M62_01","bgm_M62","5.刻瑞斯森林","2030/12/17 14:59:59"
"11006","101","2015/12/17 15:00:00","6.佛洛拉湖畔","bgm_M62_02","bgm_M62","6.佛洛拉湖畔","2030/12/17 14:59:59"
"11007","101","2015/12/17 15:00:00","7.墨提斯大瀑布","bgm_M62_03","bgm_M62","7.墨提斯大瀑布","2030/12/17 14:59:59"
"11008","101","2015/12/17 15:00:00","8.伊麗絲樹海","bgm_M42_02","bgm_M42","8.伊麗絲樹海","2030/12/17 14:59:59"
"11009","101","2015/12/17 15:00:00","9.弗麗嘉雪原","bgm_M58","bgm_M58","9.弗麗嘉雪原","2030/12/17 14:59:59"
"11010","101","2018/10/05 16:00:00","10.洛麗泰海岸","bgm_M101","bgm_M101","10.洛麗泰海岸","2030/12/17 14:59:59"
"11011","101","2018/11/07 16:00:00","11.蓋奴亞荒漠","bgm_M93","bgm_M93","11.蓋奴亞荒漠","2030/12/17 14:59:59"
"11012","101","2018/12/07 16:00:00","12.波諾尼亞砂丘","bgm_M94","bgm_M94","12.波諾尼亞砂丘","2030/12/17 14:59:59"
"11013","101","2019/01/03 16:00:00","13.朵羅西亞濕地","bgm_M118","bgm_M118","13.朵羅西亞溼地","2030/12/17 14:59:59"
"11014","101","2019/01/30 16:00:00","14.尤金尼亞熱地","bgm_M95","bgm_M95","14.尤金尼亞熱地","2030/12/17 14:59:59"
