803d74c62c5af4807a944a394af7fb6158fcdff1fb1207620c58df9ade6c9d8a,209026d6957acb72899835cb54b77c040fd3d14abde18a86eb104a1c4efe9e10,66a1f1920b9da7e21c7cb0a20667783f4f9c06118bb19087414f4948ccec58f8,60e1f28f4167b824d7d32b343a6a741414c38f8a0844c3ed829271f155e3eef5,b354ad10393de3b0ecbc8f5f1a8f6f8fa2392b7905f0a4e73f8d4a885fb5734d,8b727392f0465832b29be7392ee251e84990590140a200d6e18033290a4a3832,e5616414eb45520c7c205c39ec8be5ceb78a623df8ab45d42c384dcc28326cac,c0cbe43ddc3740c37ff49c1be51d928f5535de52a0e23664db786d834d13a9f9,1931f466312f268db87834bd44eb1b7be152b128bc26b85df567152f65953892,d86ab3c97263bd43a27bda7e63f5ee3b809955c141f2238428858aae2d61deaf,63b9a7f3e05c8d55478f3432d75cd58bd5ad71d702975d258c8796e902a32929,e8b27e2a245593ac65d457bf341d3140f1863546c44bb714d4cf757a22f4ec04,22676ec677207badb65de67007510f63963da46715b0b7d3f5832c669e87a5c1,0188a52340ea9e35f5cba37b85da2f778cede200faede748e86114734a5f46e6,d6428d431f8fcfc3790b5791137df4646f822c295609fa546aac18fcb4f0b114,bdfd8d6dbef4bd9bebc9d7cae131047cfe1a80e1ca183e36d60d569241e29e8f,b188de685be25483fac11ac62319732e1b05b51baa0b18a2c3efbecedfd8ace4,fdc2d7e4fa8e8c9ff3059381e40687e368c6150b71f076bb441389149a11e540,b44a35bc5532b5c6c844e97b246fc89d91d7156a7906e80b70b2805637e1bde6,f3ef5b6a9c533a229adb83a9a680ac1eb94a91361faaa651086406c82372c692,a70688dec9983a62a50b5219efff278bb5de8cdae0b8b06af87aba08e03b7395,6ec0a6fb4188fd0d2746ca145d78a8d2af412a635c125e24b8ab3dc028afa43b
"0","0.7","210","1001","0.8","1","1","-480","1","-30","10010101","1","-30","101001","bgm_M64","-120","250","0.6","0","10","101001","1"
"0","1","200","1001","1.2","2","1","-260","2","0","10010102","1","-30","101001","bgm_M64","-120","0","0.75","0","10","101001","1"
"-50","1","200","1001","1.1","3","1","-40","3","-10","10010103","1","-30","101001","bgm_M64","0","100","0.75","0","0","101001","1"
"0","1","200","1001","1","4","1","240","4","0","10010104","1","-30","101001","bgm_M64","-50","0","0.7","0","0","101001","1"
"0","1","250","1001","1.3","5","1","480","5","0","10010105","1","-30","101011","bgm_M55","-40","200","1.2","0","0","101011","1"
"0","0.7","210","1002","0.8","1","1","-480","1","-30","10020101","1","-30","101001","bgm_M64","-155","250","0.6","0","10","101021","1"
"0","1","200","1002","1.2","2","1","-265","2","0","10020102","1","-30","101001","bgm_M64","-120","250","0.75","0","10","101021","1"
"-30","1","200","1002","1.4","3","1","-30","3","-10","10020103","1","-30","101001","bgm_M64","30","100","0.9","-15","0","101021","1"
"-30","1.25","200","1002","1.5","4","1","220","4","0","10020104","1","-30","101001","bgm_M64","-90","100","1","0","0","101021","1"
"0","1.6","250","1002","1.8","5","1","440","5","0","10020105","1","-30","101011","bgm_M55","0","200","1.4","0","0","101031","1"
"0","0.7","210","1003","0.8","1","1","-470","1","-30","10030101","1","-30","101041","bgm_M64","-155","250","0.6","0","10","101041","1"
"0","1","200","1003","1.2","2","1","-210","2","0","10030102","1","-30","101041","bgm_M64","-95","250","0.75","0","10","101041","1"
"-50","1","200","1003","1.1","3","1","50","3","-10","10030103","1","-30","101041","bgm_M64","-120","100","0.75","0","0","101041","1"
"-30","1.2","200","1003","1.5","4","1","195","4","0","10030104","1","-30","101041","bgm_M64","35","100","0.8","0","0","101041","1"
"-50","1.35","210","1003","1.8","5","1","450","5","0","10030105","1","-30","101042","bgm_M55","-55","150","1.1","0","0","101042","1"
"0","0.7","210","1004","0.8","1","1","-480","1","-30","10040101","1","-30","101161","bgm_M64","-120","250","0.6","0","10","101161","1"
"0","1","200","1004","1.2","2","1","-260","2","0","10040102","1","-30","101161","bgm_M64","-120","0","0.75","0","10","101161","1"
"-30","1","200","1004","1.4","3","1","-20","3","-10","10040103","1","-30","101161","bgm_M64","55","100","0.9","-15","0","101161","1"
"-30","1","200","1004","1.3","4","1","180","4","0","10040104","1","-30","101161","bgm_M64","-30","0","0.9","0","0","101161","1"
"-50","0.9","250","1004","1.2","5","1","470","5","-30","10040105","1","-30","101162","bgm_M55","-60","200","0.9","-40","0","101162","1"
"0","0.7","210","1005","0.8","1","1","-480","1","-30","10050101","1","-30","101161","bgm_M64","-120","250","0.6","0","10","101171","1"
"0","1","200","1005","1.2","2","1","-260","2","0","10050102","1","-30","101161","bgm_M64","-120","0","0.75","0","10","101171","1"
"-30","1","200","1005","1.4","3","1","-20","3","-10","10050103","1","-30","101161","bgm_M64","45","100","0.9","-15","0","101171","1"
"0","1","200","1005","1","4","1","190","4","0","10050104","1","-30","101161","bgm_M64","-70","0","0.7","0","0","101171","1"
"-30","1","240","1005","1.3","5","1","445","5","0","10050105","1","-30","101162","bgm_M55","-25","200","1","-40","0","101172","1"
"0","0.7","210","1006","0.8","1","1","-480","1","-30","10060101","1","-30","101161","bgm_M64","-120","250","0.6","0","10","101191","1"
"0","1","200","1006","1.2","2","1","-260","2","0","10060102","1","-30","101161","bgm_M64","-100","0","0.75","0","10","101191","1"
"0","1","200","1006","1.1","3","1","-10","3","-10","10060103","1","-30","101161","bgm_M64","65","100","0.8","-15","0","101191","1"
"0","1","200","1006","1.2","4","1","190","4","0","10060104","1","-30","101161","bgm_M64","-110","0","0.8","0","0","101191","1"
"-50","1","280","1006","1.15","5","1","485","5","-45","10060105","1","-30","101162","bgm_M55","-70","270","0.9","0","-10","101192","1"
"0","0.7","210","1007","0.8","1","1","-480","1","-30","10070101","1","-30","101161","bgm_M64","-120","250","0.6","0","10","101201","1"
