6d907e1911f9fb6eef07e8f53ac8c202b68f19bc37828762ae5c9db3f047c8f3,c1ad9d42400745c2af686e917bfc6427cac7a4835a93f8965e03a99f51f9db71,ab000945bba089ecf87d4321861f470fdfbcae19fb5a6ae57156e60438c33038,e17a863c92ed53b014dc1bdc069653df7d832c50019ec348f891c46d86508be4,dd515a45a0a3aa582b722dba61d3abd7bc6302d6075d25d9c0871e16de8112e7,541cad453e7cbd25e0c29eacaa105ca4919d0fc97480ed807dbdcef07c037e50,2f17a41b0fdb23a156f7658fbc9190664d08ade41dd198559878370b59fe66e3,1fc7eb0648b7e655c700895c810e055eaee71ca2883cb49ce3344b897dcebae2,9a7d34967639aa5489e754a30a3145b4f03d3062a6415ed774474c3c2b9f392e,6aa5cda1fe364205ed2fcd72aac5aa0e08108ec90d67afd32dd6068f7859f63c,412a253b3c29024bee52b930544470e149d5dc4190e4455b9152573b25147456,654b7cd0684c0c8e8bcca8f25cc06caf6ebc81b646fcaed497adc8ec16913d6e
"92407110","92407","92407120","924072101","1","500000000","924073101","0","90","1","924071100","1"
"92407120","92407","92407130","924072102","1","1000000000","924073102","92407110","90","2","924071200","2"
"92407130","92407","92407140","924072103","1","1500000000","924073103","92407120","90","3","924071300","3"
"92407140","92407","0","924072104","1","0","924073104","92407130","90","4","924071400","3"
"92407210","92407","92407220","924072201","1","500000000","924073201","0","90","1","924072100","1"
"92407220","92407","92407230","924072202","1","1000000000","924073202","92407210","90","2","924072200","2"
"92407230","92407","92407240","924072203","1","1500000000","924073203","92407220","90","3","924072300","3"
"92407240","92407","0","924072204","1","0","924073204","92407230","90","4","924072400","3"
"92407310","92407","92407320","924072301","1","500000000","924073301","0","90","1","924073100","1"
"92407320","92407","92407330","924072302","1","1000000000","924073302","92407310","90","2","924073200","2"
"92407330","92407","92407340","924072303","1","1500000000","924073303","92407320","90","3","924073300","3"
"92407340","92407","0","924072304","1","0","924073304","92407330","90","4","924073400","3"
"92408110","92408","92408120","924082101","1","500000000","924083101","0","90","1","924081100","1"
"92408120","92408","92408130","924082102","1","1000000000","924083102","92408110","90","2","924081200","2"
"92408130","92408","92408140","924082103","1","1500000000","924083103","92408120","90","3","924081300","3"
"92408140","92408","0","924082104","1","0","924083104","92408130","90","4","924081400","3"
"92408210","92408","92408220","924082201","1","500000000","924083201","0","90","1","924082100","1"
"92408220","92408","92408230","924082202","1","1000000000","924083202","92408210","90","2","924082200","2"
"92408230","92408","92408240","924082203","1","1500000000","924083203","92408220","90","3","924082300","3"
"92408240","92408","0","924082204","1","0","924083204","92408230","90","4","924082400","3"
"92408310","92408","92408320","924082301","1","500000000","924083301","0","90","1","924083100","1"
"92408320","92408","92408330","924082302","1","1000000000","924083302","92408310","90","2","924083200","2"
"92408330","92408","92408340","924082303","1","1500000000","924083303","92408320","90","3","924083300","3"
"92408340","92408","0","924082304","1","0","924083304","92408330","90","4","924083400","3"
"92409110","92409","92409120","924092101","1","500000000","924093101","0","90","1","924091100","1"
"92409120","92409","92409130","924092102","1","1000000000","924093102","92409110","90","2","924091200","2"
"92409130","92409","92409140","924092103","1","1500000000","924093103","92409120","90","3","924091300","3"
"92409140","92409","0","924092104","1","0","924093104","92409130","90","4","924091400","4"
"92409210","92409","92409220","924092201","1","500000000","924093201","0","90","1","924092100","1"
"92409220","92409","92409230","924092202","1","1000000000","924093202","92409210","90","2","924092200","2"
"92409230","92409","92409240","924092203","1","1500000000","924093203","92409220","90","3","924092300","3"
"92409240","92409","0","924092204","1","0","924093204","92409230","90","4","924092400","4"
"92409310","92409","92409320","924092301","1","500000000","924093301","0","90","1","924093100","1"
"92409320","92409","92409330","924092302","1","1000000000","924093302","92409310","90","2","924093200","2"
"92409330","92409","92409340","924092303","1","1500000000","924093303","92409320","90","3","924093300","3"
"92409340","92409","0","924092304","1","0","924093304","92409330","90","4","924093400","4"
"92410110","92410","92410120","924102101","1","500000000","924103101","0","90","1","924101100","1"
"92410120","92410","92410130","924102102","1","1000000000","924103102","92410110","90","2","924101200","2"
"92410130","92410","92410140","924102103","1","1500000000","924103103","92410120","90","3","924101300","3"
"92410140","92410","0","924102104","1","0","924103104","92410130","90","4","924101400","4"
"92410210","92410","92410220","924102201","1","500000000","924103201","0","90","1","924102100","1"
"92410220","92410","92410230","924102202","1","1000000000","924103202","92410210","90","2","924102200","2"
"92410230","92410","92410240","924102203","1","1500000000","924103203","92410220","90","3","924102300","3"
"92410240","92410","0","924102204","1","0","924103204","92410230","90","4","924102400","4"
"92410310","92410","92410320","924102301","1","500000000","924103301","0","90","1","924103100","1"
"92410320","92410","92410330","924102302","1","1000000000","924103302","92410310","90","2","924103200","2"
