982a0b2c0b55ba86975b44edeb0a790755899c23e392bf35be33f0cfa6a9d252,b3993932ebcf3b04fecdcd4be99613ca53881cf22cbfc0a1d692f92443408aa9,67970a6387dbcdff069f7880504dad0410a5b400b039f7d15cc9b8f683f16c0a,52af120085b71dd1865e94fcdb18df9e299770698a76714a697d3340f32c758c,df0277a1e23ce9d25e533c9ef1ef0bcef4865e418a89e480fa760ad8bed4e067,72154ed32d42f994236512828d776e58ba8611adcad50725f536e20328530f74,8f05c34218ff8da490124c758188731a41cdc74be4cff41c9967e9a9e1a11826
"1","306700","81001105","0","1001101","1","0"
"1","306700","81001106","0","1001102","1","0"
"1","306800","81001205","0","1001201","1","0"
"1","306800","81001206","0","1001202","1","0"
"1","307000","81001305","0","1001301","1","0"
"1","307000","81001306","0","1001302","1","0"
"1","307500","81001405","0","1001401","1","0"
"1","307500","81001406","0","1001402","1","0"
"1","307300","81001505","0","1001501","1","0"
"1","307300","81001506","0","1001502","1","0"
"1","307700","81001605","0","1001601","1","0"
"1","307700","81001606","0","1001602","1","0"
"1","307400","81001705","0","1001701","1","0"
"1","307400","81001706","0","1001702","1","0"
"1","307900","81001805","0","1001801","1","0"
"1","307900","81001806","0","1001802","1","0"
"1","307800","81001905","0","1001901","1","0"
"1","307800","81001906","0","1001902","1","0"
"1","308100","81002005","0","1002001","1","0"
"1","308100","81002006","0","1002002","1","0"
"1","308000","81002101","0","1002101","1","0"
"1","308000","81002102","0","1002102","1","0"
"1","308300","81002205","0","1002201","1","0"
"1","308300","81002206","0","1002202","1","0"
"1","308200","81002301","0","1002301","1","0"
"1","308200","81002302","0","1002302","1","0"
"1","304705","81002405","0","1002401","1","0"
"1","304705","81002406","0","1002402","1","0"
"1","308400","81002501","0","1002501","1","0"
"1","308400","81002502","0","1002502","1","0"
"1","305004","81002605","0","1002601","1","0"
"1","305004","81002606","0","1002602","1","0"
"1","308600","81002701","0","1002701","1","0"
"1","308600","81002702","0","1002702","1","0"
"1","305205","81002805","0","1002801","1","0"
"1","305205","81002806","0","1002802","1","0"
"1","309300","81002901","0","1002901","1","0"
"1","309300","81002902","0","1002902","1","0"
"1","305500","81003005","0","1003001","1","0"
"1","305500","81003006","0","1003002","1","0"
"1","310000","81003101","0","1003101","1","0"
"1","310000","81003102","0","1003102","1","0"
"1","306000","81003205","0","1003201","1","0"
"1","306000","81003206","0","1003202","1","0"
"1","310300","81000605","0","1003301","1","0"
"1","310300","81003301","0","1003302","1","0"
"1","306700","81001105","0","1003401","1","0"
"1","306700","81001106","0","1003402","1","0"
"2.5","310500","100021","0","1003501","2.5","0"
"2.5","310500","100531","0","1003502","2.5","0"
"0.4","310600","81003601","0","1003601","0.4","0"
"0.4","310600","81003602","0","1003602","0.4","0"
"1","306800","81001205","0","1003701","1","0"
"1","306800","81001206","0","1003702","1","0"
"1.2","310700","81003801","0","1003801","1.2","0"
"1.2","310700","81003802","0","1003802","1.2","0"
"1","307000","81001305","0","1003901","1","0"
"1","307000","81001306","0","1003902","1","0"
"1","310800","81004001","0","1004001","1","0"
"1","310800","81004002","0","1004002","1","0"
"1","307300","81001505","0","1004101","1","0"
"1","307300","81001506","0","1004102","1","0"
"1","311100","81004201","0","1004201","1","0"
"1","311100","81004202","0","1004202","1","0"
"1","307800","81001905","0","1004301","1","0"
"1","307800","81001906","0","1004302","1","0"
"1","311300","81004401","0","1004401","1","0"
"1","311300","81004402","0","1004402","1","0"
"1","308000","81002101","0","1004501","1","0"
"1","308000","81002102","0","1004502","1","0"
"1","311400","81004601","0","1004601","1","0"
"1","311400","81004602","0","1004602","1","0"
"1","308200","81002301","0","1004701","1","0"
"1","308200","81002302","0","1004702","1","0"
"1","311500","81002405","0","1004801","1","0"
"1","311500","81002406","0","1004802","1","0"
"1","308400","81002501","0","1004901","1","0"
"1","308400","81002502","0","1004902","1","0"
"1.4","311600","81005001","-28","1005001","1.4","0"
"1.4","311600","81005002","-28","1005002","1.4","0"
"1","308600","81002701","0","1005101","1","0"
"1","308600","81002702","0","1005102","1","0"
"1","312100","81000605","0","1005201","1","0"
"1","312100","81003301","0","1005202","1","0"
"1","307400","81001705","0","1005301","1","0"
"1","307400","81001706","0","1005302","1","0"
"1","312200","81003005","0","1005401","1","0"
"1","312200","81003006","0","1005402","1","0"
"1","309300","81002901","0","1005501","1","0"
"1","309300","81002902","0","1005502","1","0"
"1","312300","81005601","0","1005601","1","0"
"1","312302","81005602","0","1005602","1","0"
"1","310000","81003101","0","1005701","1","0"
"1","310000","81003102","0","1005702","1","0"
"1.75","312600","100021","0","1005801","1.75","0"
"1.75","312600","100531","0","1005802","1.75","0"
"1","312700","101821","0","1005901","1","0"
"1","312700","101841","0","1005902","1","0"
"1","310300","81000605","0","1006001","1","0"
"1","310300","81003301","0","1006002","1","0"
"0.65","312800","81006101","-27","1006101","0.65","0"
"0.65","312800","81006102","-27","1006102","0.65","0"
"2.5","310500","100021","0","1006201","2.5","0"
"2.5","310500","100531","0","1006202","2.5","0"
"0.4","310600","81003601","0","1006301","0.4","0"
"0.4","310600","81003602","0","1006302","0.4","0"
"1","313200","81006401","-30","1006401","1","0"
"1","313200","81006402","-30","1006402","1","0"
"1.2","310700","81003801","0","1006501","1.2","0"
"1.2","310700","81003802","0","1006502","1.2","0"
"0.7","313100","81006601","-25","1006601","0.7","0"
"0.7","313100","81006602","-25","1006602","0.7","0"
"1","310800","81004001","0","1006701","1","0"
"1","310800","81004002","0","1006702","1","0"
"1.25","313300","81006801","-26","1006801","1.25","0"
"1.25","313300","81006802","-26","1006802","1.25","0"
"1","311100","81004201","0","1006901","1","0"
"1","311100","81004202","0","1006902","1","0"
"1.25","314001","81007001","-30","1007001","1.25","0"
"1.25","314002","81007002","-30","1007002","1.25","0"
"1","311300","81004401","0","1007101","1","0"
"1","311300","81004402","0","1007102","1","0"
"0.77","314100","81007201","-27","1007201","0.77","0"
"0.77","314100","81007202","-27","1007202","0.77","0"
"1","311400","81004601","0","1007301","1","0"
"1","311400","81004602","0","1007302","1","0"
"1.33","314200","81007401","-33","1007401","1.33","0"
"1.33","314200","81007402","-33","1007402","1.33","0"
"1","311500","81002405","0","1007501","1","0"
"1","311500","81002406","0","1007502","1","0"
"1.7","314300","81007601","-20","1007601","1.7","0"
"1.7","314300","81007602","-20","1007602","1.7","0"
"1.4","311600","81005001","-28","1007701","1.4","0"
"1.4","311600","81005002","-28","1007702","1.4","0"
"1.25","314400","81007801","-33","1007801","1.25","0"
"1.25","314400","81007802","-33","1007802","1.25","0"
"1","312100","81000605","0","1007901","1","0"
"1","312100","81003301","0","1007902","1","0"
"1","314500","81003006","-20","1008001","1","0"
"1","314500","81008002","-20","1008002","1","0"
"1","312200","81003005","0","1008101","1","0"
"1","312200","81003006","0","1008102","1","0"
"1.6","314600","81003205","-25","1008201","1.6","0"
"1.6","314600","81003206","-25","1008202","1.6","0"
"1","312300","81005601","0","1008301","1","0"
"1","312302","81005602","0","1008302","1","0"
"1","314700","100111","0","1008401","1","0"
"1","314700","100431","0","1008402","1","0"
"0.9","314800","81008501","0","1008501","0.9","0"
"0.9","314800","81008504","0","1008502","0.9","0"
"1.75","312600","100021","0","1008601","1.75","0"
"1.75","312600","100531","0","1008602","1.75","0"
"1","312700","101821","0","1008701","1","0"
"1","312700","101841","0","1008702","1","0"
"0.8","315100","81008801","-20","1008801","0.8","0"
"0.8","315100","81008802","-20","1008802","0.8","0"
"0.65","312800","81006101","-27","1008901","0.65","0"
"0.65","312800","81006102","-27","1008902","0.65","0"
"0.85","315400","102994","-25","1009001","0.85","0"
"0.85","315400","102997","-25","1009002","0.85","0"
"1","313200","81006401","-30","1009101","1","0"
"1","313200","81006402","-30","1009102","1","0"
"0.95","316000","103021","-20","1009201","0.95","0"
"0.95","316000","103011","-20","1009202","0.95","0"
"0.7","313100","81006601","-25","1009301","0.7","0"
"0.7","313100","81006602","-25","1009302","0.7","0"
"1.5","316200","102091","-20","1009401","1.5","0"
"1.5","316200","102111","-20","1009402","1.5","0"
"1.25","313300","81006801","-26","1009501","1.25","0"
"1.25","313300","81006802","-26","1009502","1.25","0"
"0.77","316300","102591","-27","1009601","0.77","0"
"0.77","316300","102601","-27","1009602","0.77","0"
"1.25","314001","81007001","-30","1009701","1.25","0"
"1.25","314002","81007002","-30","1009702","1.25","0"
