fa8b2f61aad4df1df04e81e6e2125eff48c4e474e5a8f88ef7bcde3a3e86bb33,7f40ea7bef47d44134854b51ecb14e70baf3e6f7983105461c2db7e65588cf84,5c362cf4bf34dc8a1f70a3569758b0647c979e927f43a3d720e2bc525f363820,a44a1fe40128311ec7c508e1d701d91879e74fcd29743ce0020d9de75e271593,3a12c1698d561f38df359007645d8ab02aa53ef3c334b30c166eb955bc4d0b5c,8a060e3e3810b0e26b1ed55b0bed98fec82116f9a9fa9d545e6a79477128ef38,e071386a22e50bfdf9ffe52ac5d60b7a417159a9fbef83b626a85c5769a2e8c7,ff8e1ed93d5e41df1e727ca375c000f6490904d0f84f0b6cd04f0f4e9efc33b4,ecdf2dc56dc735947e6ac2bc67a2c4cdb74c35948fc8d0e230b5648556925a81,5a4ba5e576697a92683b019fb303e2da3398c39de4a3e907659545bb6c1b60e4,d9087056ff7fb2281b1dab5a1a80a9415529d55ba3f999a15ec7cb65ffc7496e,26130e29531438f08bc4f4f48c279b8e463ee13c4724a58dfbe2abdd838cfbf2,f7a1e01d0406375aa896980f419ed9a3e3f7f432eb1853711d7cd8df4daa07fe,b4b5ac9629f9b6fea6e5c61cfea6994fa17236f181803b25429b72ae742202dd,3906423bb47ec4218cf11c5862040822056bbf74395a8541cab59e277cfc5de6,133ae975d6f924dc017cb7e765f66e873e11ed3590c8499123525402197d6ee8,9c2b593e6288a0c2f65c8d04e325e1c428b6cad7d3474fb0f3cae8befb2e4493,52a0301866f19bdfd6b0a50336e7b5611b5f9402b6b0bb5492979f467044e6fc,8ab7b4d4759bab95a4468ab910c747cc7ee18e12dcc390cd2c4e491ccbcfad31,799974eb536756305d93ebafa8cdacbbe2201ff48f311e7ad393a4d3e931d8d4
"1","「宮子」的口頭禪，同時也是其必殺技名稱的詞語。","35722","變成布丁喲","6","1","6","1001","6","把你變成布丁喲","25104","1001","這個的名稱是什麼？","19969","1","24067","6","21938","6","把你變成布丁喲"
"1","每半年舉行一次的障礙物賽跑。來猜猜四名跑者中哪一名角色會跑第一吧！","34349","蘭德索爾盃","6","1","6","0","6","","24503","1008","這個的名稱是什麼？","29246","1","32034","6","30403","6","蘭德索爾盃"
"1","「怜（★6）」的必殺技。","26028","斬擊暴風雨","6","1","6","0","6","","25802","1010","這個的名稱是什麼？","39080","1","26292","6","38632","6","斬擊暴風雨"
"1","「莉瑪（★6）」的必殺技。","27489","歡樂軟綿綿","6","1","6","0","6","歡樂軟綿綿突擊","27138","1011","這個的名稱是什麼？","32191","1","36575","6","32191","6","歡樂軟綿綿突擊"
"2","「珠希（★6）」的必殺技。","24187","幻影大暴走","6","1","6","0","6","喵咪喵咪幻影大暴走","24433","1012","這個的名稱是什麼？","26292","1","22823","6","36208","6","喵咪喵咪幻影大暴走"
"2","「七七香（★6）」的必殺技。","19971","七七香閃亮","6","1","6","0","6","","19971","1013","這個的名稱是什麼？","38275","1","39321","6","20142","6","七七香‧∞‧閃亮"
"2","「優妮」的必殺技。","35469","認知發展性","6","1","6","0","6","認知與發展性的哲學","30693","1014","這個的名稱是什麼？","23637","1","30332","6","24615","6","認知與發展性的哲學"
"2","「伊緒（★6）」的必殺技。","24515","心Love","2","1","3","0","6","心型Love颶風","76","1015","這個的名稱是什麼？","118","1","111","3","101","3","心型Love颶風"
"2","「美美（★6）」的必殺技。","20820","兔子先生旋","6","1","6","0","6","","23376","1016","這個的名稱是什麼？","29983","1","20808","6","26059","6","兔子先生旋風"
"2","「妮諾（★6）」的必殺技。","28872","烈火之紅蓮","6","1","6","0","6","忍法‧烈火之紅蓮旋風","28779","1017","這個的名稱是什麼？","32005","1","20043","6","34030","6","忍法‧烈火之紅蓮旋風"
"1","「咲戀（★6）」的必殺技。","19981","不死鳥終結","6","1","6","0","6","不死鳥之終結","27515","1018","這個的名稱是什麼？","32066","1","40165","6","32080","6","不死鳥之終結"
"2","「真陽（★6）」的必殺技。","20234","伊麗莎聯合","6","1","6","0","6","伊麗莎白聯合攻擊","40599","1019","這個的名稱是什麼？","32879","1","33678","6","21512","6","伊麗莎白聯合攻擊"
"2","「鏡華（★6）」的必殺技。","23431","宇宙藍行星","6","1","6","0","6","宇宙藍色行星","23449","1020","這個的名稱是什麼？","34892","1","34253","6","26143","6","宇宙藍色行星"
"2","「綾音（★6）」的必殺技。","22103","噗吉全壘打","6","1","6","0","6","噗吉旋風全壘打","21513","1021","這個的名稱是什麼？","22744","1","20840","6","25171","6","噗吉旋風全壘打"
"1","「矛依未」的必殺技。","22825","天樓霸斷劍","6","1","6","0","6","","27155","1022","這個的名稱是什麼？","26039","1","38712","6","21133","6","天樓霸斷劍"
"1","「琪愛兒」的必殺技。","22165","嚕切大滅絕","6","1","6","0","6","切嚕切嚕☆大滅絕","20999","1023","這個的名稱是什麼？","28357","1","22823","6","32085","6","切嚕切嚕☆大滅絕"
"2","登山時，改變預定行程後用以下山的路徑。","20840","全撤離路線","6","2","6","0","6","安全撤離路線","25764","1067","這個的名稱是什麼？","36335","1","38626","6","32218","6","安全撤離路線"
"3","請解釋「冰爪鞋套」","37329","金屬爪鞋子","6","2","6","0","6","有金屬爪的鞋子","23660","1068","這是什麼？","38795","1","29226","6","23376","6","有金屬爪的鞋子"
"2","山岳分級，請解釋「高山」","51","3000M","1","2","1","0","1","3000M以上的山","48","1070","這是什麼？","48","1","48","1","77","2","3000M以上的山"
"2","請解釋「遠足」","20013","中長距離的","6","2","6","0","6","進行中長距離的走路鍛鍊","38263","1071","這是什麼？","38626","1","36317","6","30340","6","進行中長距離的走路鍛鍊"
"3","划水是運用□□□□□的合理動作來產生推進速度的技能，是游泳的重點技術環節","25163","手臂在水中","6","2","6","0","6","","33218","1075","這是什麼？","27700","1","22312","6","20013","6","手臂在水中"
"1","冰壺是一種冬季運動，因其高戰略性，也被稱為□□□□□","20912","冰上西洋棋","6","2","6","0","6","","19978","1076","這個的名稱是什麼？","27915","1","35199","6","26827","6","冰上西洋棋"
"1","男子十項全能第二天比賽順序為","25744","撐桿跳標槍","6","2","6","0","6","110米跨欄⇒鐵餅⇒撐桿跳⇒標槍⇒1500米跑步","26751","1077","這個的名稱是什麼？","27161","1","36339","6","27085","6","110米跨欄⇒鐵餅⇒撐桿跳⇒標槍⇒1500米跑步"
"1","柔道分為三種技巧","22266","固技當身技","6","2","6","0","6","投技、固技、當身技","25216","1078","這個的名稱是什麼？","36523","1","30070","6","25216","6","投技、固技、當身技"
