d8fa640d5de4c284f2a12f60dcde7c9ffba44c4475c03a4ad279f95586f316bc,82d3808c75f9299b652f0ce5c70a8492ffa355a5e634931e92225360f43921aa,d98c10714d118129e44ede9b0fa3accea2440d02996404bc3f5f9e4dc3b296c8,cb0df0fcd086bc403205c2f2d9d7402d119508276cb2e76b089912dfb5954930,0c103ec5efea47d2f2a78e1100a2c77bfe3c4096441b2950dced3aeb217e7ef9,d626759db30e0465ac091aca4234d515db0271e9908dfcbf6ac4f3fcb094bcb3,51f356c3e2a793307510273ed483ef565136b901f3d1bda69dec339f41f7c272,2aa7885fe8a15f8f10133d185039152e405e32397b259e2dc00a96948905ed6b,33968317e2003629a7a8be232eddabbe59bdb3956b892f3b884972b140e0998f,811cabcc1ae24d3611a42c8d75fcfa9aa30b10b7974d1e82a2660123dda37489,4ff7007e16dc1b6d6aeab3630769a68bb4f671a8ad0e4c13b91c73aa552876b4
"0","10101","0","1","0","empty","1","1101010001","5","53","1"
"0","10101","0","101000","0","empty","2","1101010002","5","56","1"
"0","10101","0","101000","0","empty","3","1101010003","5","70","1"
"1","10101","","101000","0","","0","1101010004","31","0","0"
"1","10101","","101001","0","","1","1101010005","31","0","0"
"1","10101","","101002","0","","2","1101010006","31","0","0"
"1","10101","","101003","0","","3","1101010007","31","0","0"
"1","10101","","101004","0","","4","1101010008","31","0","0"
"1","10101","","1","0","","10","1101010009","31","0","0"
"1","10101","","3","0","","30","1101010010","31","0","0"
"","10101","","0","","","0","1101010011","91","",""
"","10101","","0","","","1","1101010012","32","",""
"","10101","","10","","","1","1101010013","32","",""
"","10101","","2","","","getDish_1_in","1101010014","3","0","0"
"","10101","","0.2","","","0","1101010015","93","",""
"","10101","","1","","","getDish","1101010016","3","0","0"
"","10101","","2","","","getDish_1_B","1101010017","3","0","0"
"","10101","","3","","","getDish_1_F","1101010018","3","0","0"
"","10101","","1","","","1","1101010019","32","",""
"","10101","","3","","","1","1101010020","32","",""
"","10101","","7.2","","","0","1101010021","93","",""
"","10101","","1101010023","","","1","1101010022","101","",""
"","10101","","2","","","1","1101010023","35","",""
"","10101","","2","","","1","1101010024","32","",""
"","10101","","4","","","1","1101010025","35","",""
"","10101","","4","","","1","1101010026","32","",""
"","10101","","3","","","0","1101010027","32","",""
"","10101","","2.3","","","0","1101010028","93","",""
"","10101","","30","","","1","1101010029","35","",""
"","10101","","30","","","1","1101010030","32","",""
"","10101","","0.2","","","0","1101010031","93","",""
"0","10101","0","1","1","","1","1101010032","6","1","0"
"0","10101","0","2","1","","1","1101010033","6","1","0"
"0","10101","0","3","1","","1","1101010034","6","1","0"
"","10101","","0","","","0","1101010035","32","",""
"","10101","","1","","","0","1101010036","32","",""
"","10101","","2","","","0","1101010037","32","",""
"","10101","","3","","","0","1101010038","32","",""
"","10101","","4","","","0","1101010039","32","",""
"","10101","","10","","","0","1101010040","32","",""
"","10101","","0.3","","","0","1101010041","93","",""
"0","10101","0","1","1","","1","1101010042","111","1","0.1"
"-325","10201","0","2","-205","empty","1","1102010001","5","50","0.9"
"-325","10201","0","102000","-205","empty","2","1102010002","5","58","0.9"
"-263","10201","0","100","1500","idle_single","100","1102010003","5","54","0.6"
"1","10201","","102000","0","","0","1102010004","31","0","0"
"1","10201","","102001","-263","","1","1102010005","31","1500","0"
"1","10201","","102002","0","","2","1102010006","31","0","0"
"1","10201","","102003","-136","","3","1102010007","31","-132","0"
"1","10201","","102004","0","","4","1102010008","31","0","0"
"1","10201","","1","0","","10","1102010009","31","0","0"
"1","10201","","2","0","","20","1102010010","31","0","0"
"1","10201","","3","0","","30","1102010011","31","0","0"
"","10201","","0","","","0","1102010012","91","",""
"","10201","","0","","","1","1102010013","32","",""
"","10201","","10","","","1","1102010014","32","",""
"","10201","","se_caravan","","","se_caravan_dice_get_intro","1102010015","23","0",""
"","10201","","1","","","getDice_idle","1102010016","3","1","0"
"1","10201","0","100","eat_loop","","run_getDice","1102010017","3","0","0"
"","10201","","1","","","1","1102010018","32","",""
"11","10201","","100","2","","344","1102010019","2","-263",""
"11","10201","","1","2","","344","1102010020","33","-263",""
"","10201","","2","","","1","1102010021","32","",""
"","10201","","1.7","","","0","1102010022","93","",""
