1b5aaa02540007477ff045c5295d97f720f5712776184950bc74e0e876fa547f,2c4339a5a1656daae4bd79f54bd1206140662f3a65e5805cc42564d631e8052f,d6cfcdb623a624e56d3de0588d5c8de19a9042e70bb4ed49d6a490eee6e60cda,1634966c4d3629abe26fbc11845a3e5e1ebc9389b4899c205c808ddd935575a7,ce326fb71cf2367d4dc71c1ae1960999df813dae7f2d65cb00fbef135a79ceb9,a75b672ccfb15f6219b345d79288bcd2d0aefd7a2b6ca80f7992ad86a7d3cd55,36239e62c89f62ba9057b6a0c26301cb6273facfffb3091f0ab6799003b23f27,21aca5570a19a976a989087da812601c91455cc477b8891f2c5d825effc67fb3,5aea6ae887427ff71b2b9db27bd0f9551861f468ce7a25e5af4f9964a54489dc,d0797ad5dfe1dcc3a1ca7992fe0940c21e171b17e5eb6c918a9d3d77b8e9f793,71caa3d50b22a7d84eb46e4e6e3cbcc27d17f349fe0d3b1a47920ea9132b3a0a,75d49c99f0d459f73dbf9dd82a25c1ccc976767731e9a827453fc1cae7fe9be4,dc196272855edde8a4b6f8113f2fe5beb30e5f08d80b70cd510cd95dcc007294,de54c774f2e03617eb7433adc255913db6b9ea489313a8e8e5160105a9ab2a23,48f3901f9124cfd1d0ebd0055f0ab8e1fc3551517802c6db21f8b6b1fc921078,d3972cc821ee604e6cb9ce6bfab77edad69d665e2e128973ea4e9b57ce857492,1950a3d19a2a6493f1d6fd580613b8360a99398b38439506986d23de48d59183,fa3658789d6b5daa7e482b950d2a4842b867a7e13bbaef4e1ae43f87027b9420
"1","2000","用空花大旋轉飛行共2000ｍ吧","12","94002","5000","0","0","0","0","0","0","0","0","0","0","0","0"
"2","4000","用空花大旋轉飛行共4000ｍ吧","12","94002","10000","0","0","0","0","0","0","0","0","0","0","0","0"
"3","6000","用空花大旋轉飛行共6000ｍ吧","12","94002","15000","0","0","0","0","0","0","0","0","0","0","0","0"
"4","8000","用空花大旋轉飛行共8000ｍ吧","12","94002","20000","0","0","0","0","0","0","0","0","0","0","0","0"
"5","10000","用空花大旋轉飛行共10000ｍ吧","8","91002","50","2","23001","5","0","0","0","0","0","0","0","0","0"
"6","12000","用空花大旋轉飛行共12000ｍ吧","12","94002","25000","0","0","0","0","0","0","0","0","0","0","0","0"
"7","14000","用空花大旋轉飛行共14000ｍ吧","12","94002","30000","0","0","0","0","0","0","0","0","0","0","0","0"
"8","16000","用空花大旋轉飛行共16000ｍ吧","12","94002","35000","0","0","0","0","0","0","0","0","0","0","0","0"
"9","18000","用空花大旋轉飛行共18000ｍ吧","12","94002","40000","0","0","0","0","0","0","0","0","0","0","0","0"
"10","20000","用空花大旋轉飛行共20000ｍ吧","8","91002","50","2","23001","5","0","0","0","0","0","0","0","0","0"
"11","22000","用空花大旋轉飛行共22000ｍ吧","12","94002","55000","0","0","0","0","0","0","0","0","0","0","0","0"
"12","24000","用空花大旋轉飛行共24000ｍ吧","12","94002","35000","0","0","0","0","0","0","0","0","0","0","0","0"
"13","26000","用空花大旋轉飛行共26000ｍ吧","12","94002","40000","0","0","0","0","0","0","0","0","0","0","0","0"
"14","28000","用空花大旋轉飛行共28000ｍ吧","12","94002","45000","0","0","0","0","0","0","0","0","0","0","0","0"
"15","30000","用空花大旋轉飛行共30000ｍ吧","7","1405","1","8","91002","150","2","23001","10","0","0","0","0","0","0"
