52dbab11ec2d170f8c0e91fd7ef2a78779fcb6091eacc10619157061004a33d3,7acc478fd198eba876e2b7304b11ee7a8fe53b31b3bc353a627fd7223faa8987,02d0692026f410fd964886c727dd8f70130a93f529631028fa5fa4ab4ef683fb,866fa255df6a5c7a7fcbcf9ecbb826802db98d0cc4cb88997354bb8e19363166,04febbeb42461f7c593b9a0c362f0eb722e54be244c8a486ec15d0ebb9aef42d
"1","1","小雞","26999","0"
"2","1","生手","26999","0"
"3","1","魚苗","26999","0"
"4","3","新手賽跑者","26999","0"
"5","1","小嬰兒","26999","0"
"6","1","寶寶","26999","0"
"7","1","小人物","26999","0"
"8","1","無用之人","26999","0"
"9","1","外行人","26999","0"
"10","1","小魚","33999","27000"
"11","1","新手","33999","27000"
"12","3","愉悅賽跑者","33999","27000"
"13","1","小輩","33999","27000"
"14","1","新人","33999","27000"
"15","1","女孩","33999","27000"
"16","1","期待之星","33999","27000"
"17","1","原石","33999","27000"
"18","2","新希望","33999","27000"
"19","1","探究者","50399","34000"
"20","1","暴徒","50399","34000"
"21","1","天才","50399","34000"
"22","1","奇才","50399","34000"
"23","1","大人物","50399","34000"
"24","1","麒麟兒","50399","34000"
"25","1","希望","50399","34000"
"26","1","新星","50399","34000"
"27","1","逸才","50399","34000"
"28","1","女僕","59999","50400"
"29","1","前輩","59999","50400"
"30","1","中級者","59999","50400"
"31","3","沙灘搶旗者","59999","50400"
"32","1","魚","59999","50400"
"33","1","領袖","59999","50400"
"34","1","主將","59999","50400"
"35","1","獨當一面","59999","50400"
"36","1","半職業","59999","50400"
"37","1","大型新人","59999","50400"
"38","1","流星","69999","60000"
"39","1","老師","69999","60000"
"40","1","海豚","69999","60000"
"41","1","職人","69999","60000"
"42","1","選手","69999","60000"
"43","1","金槍鮪","69999","60000"
"44","1","中等之中","69999","60000"
"45","2","知名人士","69999","60000"
"46","1","異才","69999","60000"
"47","1","精英","69999","60000"
"48","1","高手","69999","60000"
"49","1","行家","69999","60000"
"50","1","虎鯨","83999","70000"
"51","1","名人","83999","70000"
"52","1","魔術師","83999","70000"
"53","1","師傅","83999","70000"
"54","1","潛水艇","83999","70000"
"55","2","短跑選手","83999","70000"
"56","1","名手","83999","70000"
"57","2","王牌賽跑者","83999","70000"
"58","1","職業選手","83999","70000"
"59","1","看板選手","83999","70000"
"60","1","最高權威","83999","70000"
"61","1","教師","83999","70000"
"62","2","速度之星","99999","84000"
"63","1","豪傑","99999","84000"
"64","1","公主","99999","84000"
"65","1","女神","99999","84000"
"66","1","大師","99999","84000"
"67","2","頭號人物","99999","84000"
"68","1","寵兒","99999","84000"
"69","3","狂暴格里芬","99999","84000"
"70","1","飛龍","99999","84000"
"71","2","專家","99999","84000"
"72","2","頂尖賽跑者","99999","84000"
"73","1","飛毛腿","119999","100000"
"74","1","皇后","119999","100000"
"75","2","冠軍","119999","100000"
"76","2","天才賽跑者","119999","100000"
"77","3","紀錄保持人","119999","100000"
"78","1","極致","119999","100000"
"79","2","涅普堤利昂","119999","100000"
"80","2","希德雷克","119999","100000"
"81","1","女傑","119999","100000"
"82","1","革命家","119999","100000"
"83","2","巨星","119999","100000"
"84","2","幻想之星","999999","120000"
"85","2","超級巨星","999999","120000"
"86","3","世界冠軍","999999","120000"
"87","1","傳奇","999999","120000"
"88","1","超人","999999","120000"
"89","1","托爾披頓","999999","120000"
"90","1","加爾基諾司","999999","120000"
"91","2","水之里歐斯","999999","120000"
"92","1","至寶","999999","120000"
"93","3","宗師","999999","120000"
"94","1","英雄","999999","120000"
"95","1","統治天下","999999","120000"
