d8c1285ce3d09070d97f17dab36dca56fc2150614871ead69c5aa227f8852a40,5f54583dc8ec5f130e721e05e715ddda68cd1419eb45c6f91784688f1a7952bd,7933b62391f37edee87e917b9c3dc5cbbf8b870be01758674896d33ffe1737e8,bc0c91e109b3c24c9a4e16a0d1dba3c16c26c9af5a349a949452fb3915e6e9dc,a9d38dda932c29d11186489a3f329c23da8dac87cc942b61d563fe9efa4565b0,17de0f4218dd9ff6b972ad6874adf962d0f5329284b217f938eeae5b7d1e9c59,03d1bcea7269a1abf2d6a7dad9ccab2f30783928775f10ab019472087baf976c,ee942e2fdae586010f47fdbacecd2b4e5e7d7b301087eed315474ae950873dcd,dc19fde6f15056faf7a67cf6c7275826ddff8041ea2db04d3093831f99058512,d384927e09191534705a1c7136c736a5c7dcd696bcdc7d263cae1708794e1a40,162f796decf8940f5cdd0433320a635f19935b44a8addf975646a7d470e381c7,47519cc61b6b11b6e8dbdb21cec86564662ab3e29148b996bd0f18b37aeed053,c45b62762eaccd7bb34f244441de7e511e0b7d9281fa57b6f744d26a84b1bcd7,73bf9347994f69505bc258e6b2df5b8b79a82c6bd5a8b633d556f63d4127e278,643bed1a7d1415e2d911ab5dc971ac110691937097bc8e1ac6a3138937cabecb
"92407020","25","8","92407","924072001","924070100","1","924073001","96","90","0","前哨冒險","92407010","0","6"
"92407030","25","8","92407","924072002","924070200","2","924073002","96","90","0","前哨冒險","92407020","92407010","6"
"0","25","8","92407","924072003","924070300","3","924073003","96","90","0","前哨冒險","92407030","92407020","6"
"92408020","25","25","92408","924082001","924080100","1","924083001","540","90","0","前哨冒險","92408010","0","25"
"92408030","25","25","92408","924082002","924080200","2","924083002","540","90","0","前哨冒險","92408020","92408010","25"
"0","25","25","92408","924082003","924080300","3","924083003","540","90","0","前哨冒險","92408030","92408020","25"
"92409020","25","25","92409","924092001","924090100","1","924093001","540","90","0","前哨冒險","92409010","0","25"
"92409030","25","25","92409","924092002","924090200","2","924093002","540","90","0","前哨冒險","92409020","92409010","25"
"0","25","25","92409","924092003","924090300","3","924093003","540","90","0","前哨冒險","92409030","92409020","25"
"92410020","25","25","92410","924102001","924100100","1","924103001","540","90","0","前哨冒險","92410010","0","25"
"92410030","25","25","92410","924102002","924100200","2","924103002","540","90","0","前哨冒險","92410020","92410010","25"
"0","25","25","92410","924102003","924100300","3","924103003","540","90","0","前哨冒險","92410030","92410020","25"
"92411020","25","25","92411","924112001","924110100","1","924113001","540","90","0","前哨冒險","92411010","0","25"
"92411030","25","25","92411","924112002","924110200","2","924113002","540","90","0","前哨冒險","92411020","92411010","25"
"0","25","25","92411","924112003","924110300","3","924113003","540","90","0","前哨冒險","92411030","92411020","25"
"92412020","25","25","92412","924122001","924120100","1","924123001","540","90","0","前哨冒險","92412010","0","25"
"92412030","25","25","92412","924122002","924120200","2","924123002","540","90","0","前哨冒險","92412020","92412010","25"
"0","25","25","92412","924122003","924120300","3","924123003","540","90","0","前哨冒險","92412030","92412020","25"
"92414020","25","25","92414","924142001","924140100","1","924143001","540","90","0","前哨冒險","92414010","0","25"
"92414030","25","25","92414","924142002","924140200","2","924143002","540","90","0","前哨冒險","92414020","92414010","25"
"0","25","25","92414","924142003","924140300","3","924143003","540","90","0","前哨冒險","92414030","92414020","25"
"92415020","25","25","92415","924152001","924150100","1","924153001","540","90","0","前哨冒險","92415010","0","25"
"92415030","25","25","92415","924152002","924150200","2","924153002","540","90","0","前哨冒險","92415020","92415010","25"
"0","25","25","92415","924152003","924150300","3","924153003","540","90","0","前哨冒險","92415030","92415020","25"
"92416020","25","25","92416","924162001","924160100","1","924163001","540","90","0","前哨冒險","92416010","0","25"
"92416030","25","25","92416","924162002","924160200","2","924163002","540","90","0","前哨冒險","92416020","92416010","25"
"0","25","25","92416","924162003","924160300","3","924163003","540","90","0","前哨冒險","92416030","92416020","25"
"92501020","25","25","92413","925012001","925010100","1","925013001","540","90","0","前哨冒險","92501010","0","25"
"92501030","25","25","92413","925012002","925010200","2","925013002","540","90","0","前哨冒險","92501020","92501010","25"
"0","25","25","92413","925012003","925010300","3","925013003","540","90","0","前哨冒險","92501030","92501020","25"
