289f2bde1947e330419708ce1bbc8b07ada075c3eda9d4328db35b8f06bbfd02,7dee409530ab1e1d6787728548df6de132e9571d5182ae906f51265aef96f796,7d6a6fecc376917beaa8d576aaad19173084c8c375987c3379d3d1b794bfda60,0e234b8cc3258fbb4472ff9d2542990a11c608ca0504f93cc3b73edd13ec533c,3c2795aa0d3ee38cde30881044171bb01127cc8f69e13f7d2db0ae70ad4ae748,6136226dd458954900c99d63ce22744bfab02ae8d677a050b879615ae46ec284,83de750a4f6e335b8fb5e1dc617d3bb3ee1f21a53754fb7c5991094eaef51851,e19ad0c91998296cda547e4c134e28634785318460a0b938dba09fa5dc1d3f43,fd92650b06d9c22504b5df103a26b60e7394cb959352c547eb498ac2bc85dd8a,c93615480830b2fa388418235459762bdb8aaa8719597d581a73a721ad8b2223,1c53954eea0121018ef478898027fcefe2149d7b8479ad4e6608598c681253e1,837e0675d5caa852b028b5ba018a22f1f39b76a4d61e7160ee8144d0e5db6868,440c627c226281d51dcaf46259e0c6a259e9958371182f15111bfb2425c03124,9951f6d5b68f2a4bcc3a4ba18cff364bf11d203bf570c112813ca282dfdef685,f8a03e8262d3a3c67dd1858bd9be59aaab67ba9cb38f6aefafebee957fc6db7d,f2957082353004523ee199853854d8d54eae30fcace314dadbc16645cbb176bd,14066122ea7fa4533888bb49a6a60bfe3bda1bbe4b6eb428f2486bf24bd8c77c,dd58e98bd490f38abfff81f5f6081d91eee6b395129e42e18f19d10091f0799c,5fdd87323e0894b010d32c9d14381ba7dfab20c1d9d01865beb6141ba9435a34,ef6eba077f2316fb6af9a810e16d94be92a5e467eb864450b5768c5e01b7388a,aa5af208b43de5c6b1dac7a9c9284f2ad5b6eaa7cfc6a35c1bd9812e7529cfef,6b969fa498d2030c37390ae7ca09d5f7ebd4a63e847e0f972194046a6a9fd567,18f68ae86a3f3f2454e8227ebb2552450a9e794a9beaf88e48390c4584caa44e,44e209eaaeb917dbe3c444d01f46800e228b4cdc69d5fced4e8277d19feb71f7,844e3b5ce2295756dd79727e0efc18a5e385d2cbfeff9563bf769d3bef1328b4,9841f3ce1fc550e2d6b30a5940019d0a18119b699dc7c0a62f3983cef8d41906,ee4437624891102a96790225266a110bbaf777907f74655082223d1c112f456c,b9183966440a11bcee0030c711d2422716be513f8d39316daf1763e46c60429d,1be5d1f4072510a86e6f32386184a40e7ce1a3913f00a7e9525a22a4ca8833b2,aca6cbc93748a2c69af81537a8537b2bd4e5253edc8aaabe741dad198cfeb977,28594aac2d93ba2e46a0eca4da4ee65f387e863345e028e81bc9003f336feb53,3982319e29bb7c7acb2f19ef1f5b029321aed929aadf2657443f73843e7e6f54,f7aad2bce183018396fbe9273ea951f29c2b9ce812f4c6de50f78ce4c5b7c347,de23d1805ec641d8929f23e0496660cbaf53c02c05ae7472e6c144a157bde1b9,01e5b461d5ab9c2e9e23dfbfe332b899686fafe31516373eb147349c18802476,cbf77f21278ff20557e30d36759e24efa9b773a86dbd236136ec714f119e5802,3ebea46bf031a5e6c2bf62132c2d805c9268b429c5dd7278821250d3404f41d3,03b59a14d3f891ea24ca6e89b44d0e56e588e8047171dfb895c74722b7cc68b1,7469c2ee8637d042b2e8e633440634e71204a3024e687e6a5ffb400c782fa3a2,3c8ba9b08ca7d94f436b5a3d4a39c0adb513fd5fa14872f6a3ae89e6cc317fdc,15b7930dbe0b75f00e59c69020b50751ca23de016aac3b340fe1fe70df58b430,26336194ea7f4fc5df2924c260530f96710c7dcc9967ed4fa4e27b70cc267004,81f093ecb88f8b179f78f6bfe5555356aeffec320a487c38c025bd3f8e524a17,3820196f686df18174d450ca00673f2d7481c321605061e749167d9e64139732,6f328e9654ff51a950f428349e74f1c1b366bb3dda2e965032fe92d7d56ddd4e,b67015c444a39aabfb79bcdeaaafb883e0df2d2bb1796d61bd5b6983d7c39bbb,fdb53946eb4189e1ae3a44cb5b68f0dc648b2d7e4980a1b9797096f5181f4988
"BOSS戰(NORMAL)","200010","0","770","1","0","1","0","0","0","0","870","bgm_M47","1","0","10001","0","270","10001101","10","-40","610001011","0","0","0","1","1","0","20","0","0.6","100000","2018/09/19 15:59:59","0","2018/08/28 16:00:00","bgm_M47","0","0","81000105","1","0","81000105","0.03","610001146","10001101","90","1000101"
"BOSS戰(HARD)","200010","0","450","1","0","1","0","0","0","0","500","bgm_M47","2","0","10001","0","270","10001201","10","-40","610001021","0","0","0","1","1","0","30","0","0.6","100000","2018/09/19 15:59:59","0","2018/08/28 16:00:00","bgm_M47","0","0","81000106","1","0","81000106","0.03","610001216","10001201","90","1000102"
"BOSS戰(NORMAL)","510021","0","770","1","0","1","0","0","0","0","870","bgm_M102","1","0","10002","0","40","10002101","10","-40","610002011","0","0","0","1","1","0","20","0","0.6","100000","2018/10/28 15:59:59","0","2018/10/03 16:00:00","bgm_M102","5002301","0","81000205","1.3","0","81000205","0.03","610002001","10002101","90","1000201"
"BOSS戰(HARD)","510022","0","450","1","0","1","0","0","0","0","500","bgm_M102","2","0","10002","0","40","10002201","10","-40","610002021","0","0","0","1","1","0","30","0","0.6","100000","2018/10/28 15:59:59","0","2018/10/03 16:00:00","bgm_M102","5002302","0","81000207","1.3","0","81000207","0.03","610002002","10002201","90","1000202"
"BOSS戰(NORMAL)","510031","0","770","1","0","1","0","0","30","0","870","bgm_M109","1","0","10003","0","20","10003101","10","-40","610003011","0","0","0","1","1","0","20","0","0.6","100000","2018/11/25 15:59:59","0","2018/11/01 15:59:59","bgm_M109","5003302","0","81000305","1.1","0","81000305","0.03","610003001","10003101","90","1000301"
"BOSS戰(HARD)","510032","0","450","1","0","1","0","0","30","0","500","bgm_M109","2","0","10003","0","20","10003201","10","-40","610003021","0","0","0","1","1","0","30","0","0.6","100000","2018/11/25 15:59:59","0","2018/11/01 15:59:59","bgm_M109","5003301","0","81000306","1.1","0","81000306","0.03","610003002","10003201","90","1000302"
"BOSS戰(NORMAL)","510041","0","770","1","0","1","0","0","30","0","870","bgm_M116","1","0","10004","0","20","10004101","10","-40","610004011","0","0","0","1","1","0","20","0","0.6","100000","2018/12/24 15:59:59","0","2018/12/01 16:00:00","bgm_M116","5004301","0","81000405","1.1","0","81000405","0.03","610004001","10004101","90","1000401"
"BOSS戰(HARD)","510042","0","450","1","0","1","0","0","30","0","30","bgm_M116","2","0","10004","0","20","10004201","-5","-40","610004021","0","0","0","1","1","0","30","0","0.6","100000","2018/12/24 15:59:59","0","2018/12/01 16:00:00","bgm_M116","5004302","0","81000406","1.1","0","81000406","0.03","610004002","10004201","90","1000402"
"Boss戰(VERYHARD)","510042","0","450","1","0","1","0","0","30","0","500","bgm_M116","3","0","10004","0","20","10004301","-70","-40","610004031","0","1","0","1","1","0","30","0","0.6","100000","2018/12/24 15:59:59","0","2018/12/01 16:00:00","bgm_M116","5004308","0","81000406","1.1","0","81000406","0.03","610004003","10004201","90","1000403"
"BOSS戰(NORMAL)","510051","0","770","1","0","1","0","0","90","0","870","bgm_M124","1","0","10005","0","90","10005101","10","-40","610005011","0","0","0","1","1","0","20","0","0.6","100000","2019/01/25 15:59:59","0","2019/01/03 16:00:00","bgm_M124","5005301","0","81000505","1.3","0","81000505","0.03","610005001","10005101","90","1000501"
"BOSS戰(HARD)","510052","0","450","1","0","1","0","0","90","0","370","bgm_M124","2","0","10005","0","90","10005201","-115","-40","610005021","0","0","0","1","1","0","30","0","0.6","100000","2019/01/25 15:59:59","0","2019/01/03 16:00:00","bgm_M124","5005302","0","81000506","1.3","0","81000506","0.03","610005002","10005201","90","1000502"
"Boss戰(VERYHARD)","510052","0","450","1","0","1","0","0","90","0","520","bgm_M124","3","0","10005","0","90","10005301","58","-40","610005031","0","1","0","1","1","0","30","0","0.6","100000","2019/01/25 15:59:59","0","2019/01/03 16:00:00","bgm_M124","5005308","0","81000506","1.3","0","81000506","0.03","610005003","10005201","90","1000503"
"BOSS戰(NORMAL)","510061","0","770","1","0","0.8","0","0","0","0","888","bgm_M131","1","0","10006","0","120","10006101","14","-40","610006011","0","0","0","1","1","0","20","0","0.6","100000","2019/02/22 15:59:59","0","2019/02/01 12:00:00","bgm_M131","5006301","0","81000605","1.5","0","81000605","0.03","610006001","10006101","90","1000601"
"BOSS戰(HARD)","510062","0","450","1","0","0.8","0","0","0","0","42","bgm_M131","2","0","10006","0","120","10006201","14","-40","610006021","0","0","0","1","1","0","30","0","0.6","100000","2019/02/22 15:59:59","0","2019/02/01 12:00:00","bgm_M131","5006302","0","81000606","1.5","0","81000606","0.03","610006002","10006201","90","1000602"
"Boss戰(VERYHARD)","510062","0","450","1","0","0.8","0","0","0","0","500","bgm_M131","3","0","10006","0","120","10006301","-60","-40","610006031","0","1","0","1","1","0","30","0","0.6","100000","2019/02/22 15:59:59","0","2019/02/01 12:00:00","bgm_M131","5006308","0","81000606","1.5","0","81000606","0.03","610006003","10006201","90","1000603"
"BOSS戰(NORMAL)","510071","0","770","1","0","1","0","0","-50","0","482","bgm_M138","1","0","10007","0","140","10007101","10","-40","610007011","0","0","0","1","1","0","20","0","0.6","100000","2019/03/28 15:59:59","0","2019/03/06 16:00:00","bgm_M138","5007301","0","81000705","1.3","0","81000705","0.03","610007001","10007103","90","1000701"
"BOSS戰(HARD)","510072","0","450","1","0","1","0","0","-50","0","-333","bgm_M138","2","0","10007","0","140","10007201","-186","-40","610007021","0","0","0","1","1.3","0","30","0","0.6","100000","2019/03/28 15:59:59","0","2019/03/06 16:00:00","bgm_M138","5007302","0","81000706","1.3","0","81000706","0.03","610007002","10007201","90","1000702"
"Boss戰(VERYHARD)","510072","0","450","1","0","1","0","0","-50","0","455","bgm_M138","3","0","10007","0","140","10007301","-85","-40","610007031","0","1","0","1","1.3","0","30","0","0.6","100000","2019/03/28 15:59:59","0","2019/03/06 16:00:00","bgm_M138","5007308","0","81000706","1.3","0","81000706","0.03","610007003","10007201","90","1000703"
"BOSS戰(NORMAL)","510081","0","770","1","0","1","0","0","-50","0","1400","bgm_M165","1","0","10008","0","100","10008101","-110","-40","610008011","0","0","0","1","1","0","20","0","0.6","100000","2019/04/21 15:59:59","0","2019/04/03 16:00:00","bgm_M165","5008301","0","81000805","1.5","0","81000805","0.03","610008001","10008101","90","1000801"
