6c6e7ae8a55f73bc1f8f9543cd11b20455867b1eae4eb74109c0273502483fff,fbbb51a892162a271ad1781d6cb8025cb7723108f7c7f077b8b040b4fc4a968c,e9795cb8bf36bb204cea38e9299b26f1f0dfed01082f984411fa3550c6d20f94,0e91362d0566f037c20aa267d616ce97e5231336f386b79510796144029e65ca,90258f194a11eb60462e2cf3064cf4d8dacccdc9c7e7d521067e533c5f23f6ec,25e928fa9a91b24d84aa339e0f35817b24de8c6c65c753ecd7b9d84e2c6d030e,aa4c44bf084db1233f7e051a50d2b594ecd0714b3467ade359c9e73dd2e21cc8,4db8ceeb68a7e96b4b823a9505d9776c83fb09f76b48e4d6a88aecf5ede40967,c6c8b7ee9d9aeba67217a7825b6056bdf7c93f353db25038bfc201979f2656ef,4d83b96288c54f03334bc9d655fa93e7f370359316ce0712ffa7b9a3dea7cfa1,1af37774698cd4bbf8dcacae9c5a5835d5d1706418d689238b75cdec8f995b9f,207ca37f64ace1032a049aeb368666b018398f9b7bbd4cc3060b501c7a8c83e6,ff78c7e2e953897d1810a0a7655964e14d0de7baa3b1c93e89d2ec6f792928c3,76838fa7a77c7ad4eec52c990afc2469c17e7da79ec812d681a137b2fb031391
"30","1","0","0","1","34","1","2018/08/20 16:00:00","103","2018/08/27 15:59:59","0","-1","2000","0"
"40","1","0","0","1","44","2","2018/08/20 16:00:00","103","2018/08/27 15:59:59","0","-1","2000","0"
"40","1","0","0","1","45","3","2018/08/27 16:00:00","104","2018/09/03 15:59:59","0","-1","2000","0"
"30","1","0","0","1","31","4","2018/09/05 16:00:00","101","2018/09/10 15:59:59","0","-1","2000","0"
"40","1","0","0","1","41","5","2018/09/05 16:00:00","101","2018/09/10 15:59:59","0","-1","2000","0"
"30","1","0","0","1","32","6","2018/09/10 16:00:00","102","2018/09/14 15:59:59","0","-1","2000","0"
"40","1","0","0","1","42","7","2018/09/10 16:00:00","102","2018/09/14 15:59:59","0","-1","2000","0"
"30","1","0","0","1","34","8","2018/09/14 16:00:00","103","2018/09/21 15:59:59","0","-1","2000","0"
"40","1","0","0","1","44","9","2018/09/14 16:00:00","103","2018/09/21 15:59:59","0","-1","2000","0"
"40","1","0","0","1","45","10","2018/09/21 16:00:00","104","2018/10/01 04:59:59","0","-1","2000","0"
"30","1","0","0","1","34","11","2018/10/01 05:00:00","103","2018/10/11 04:59:59","0","-1","2000","0"
"40","1","0","0","1","44","12","2018/10/01 05:00:00","103","2018/10/11 04:59:59","0","-1","2000","0"
"40","1","0","0","1","45","13","2018/10/11 05:00:00","104","2018/10/22 04:59:59","0","-1","2000","0"
"30","1","0","0","1","31","14","2018/10/22 05:00:00","101","2018/10/27 04:59:59","0","-1","2000","0"
"40","1","0","0","1","41","15","2018/10/22 05:00:00","101","2018/10/27 04:59:59","0","-1","2000","0"
"30","1","0","0","1","32","16","2018/10/27 05:00:00","102","2018/11/01 04:59:59","0","-1","2000","0"
"40","1","0","0","1","42","17","2018/10/27 05:00:00","102","2018/11/01 04:59:59","0","-1","2000","0"
"30","1","0","0","1","34","18","2018/11/01 05:00:00","103","2018/11/10 04:59:59","0","-1","2000","0"
"40","1","0","0","1","44","19","2018/11/01 05:00:00","103","2018/11/10 04:59:59","0","-1","2000","0"
"40","1","0","0","1","45","20","2018/11/10 05:00:00","104","2018/11/20 04:59:59","0","-1","2000","0"
"30","1","0","0","1","31","21","2018/11/20 05:00:00","101","2018/11/26 04:59:59","0","-1","2000","0"
"40","1","0","0","1","41","22","2018/11/20 05:00:00","101","2018/11/26 04:59:59","0","-1","2000","0"
"30","1","0","0","1","32","23","2018/11/26 05:00:00","102","2018/11/30 04:59:59","0","-1","2000","0"
"40","1","0","0","1","42","24","2018/11/26 05:00:00","102","2018/11/30 04:59:59","0","-1","2000","0"
"30","1","0","0","1","34","25","2018/12/01 05:00:00","103","2018/12/11 04:59:59","0","-1","2000","0"
"40","1","0","0","1","44","26","2018/12/01 05:00:00","103","2018/12/11 04:59:59","0","-1","2000","0"
"40","1","0","0","1","45","27","2018/12/11 05:00:00","104","2018/12/21 04:59:59","0","-1","2000","0"
"30","1","0","0","1","31","28","2018/12/21 05:00:00","101","2018/12/26 04:59:59","0","-1","2000","0"
"40","1","0","0","1","41","29","2018/12/21 05:00:00","101","2018/12/26 04:59:59","0","-1","2000","0"
"30","1","0","0","1","32","30","2018/12/26 05:00:00","102","2018/12/31 04:59:59","0","-1","2000","0"
"40","1","0","0","1","42","31","2018/12/26 05:00:00","102","2018/12/31 04:59:59","0","-1","2000","0"
"30","1","0","0","1","34","32","2018/12/31 05:00:00","103","2019/01/11 04:59:59","0","-1","2000","0"
"40","1","0","0","1","44","33","2018/12/31 05:00:00","103","2019/01/11 04:59:59","0","-1","2000","0"
"40","1","0","0","1","45","34","2019/01/11 05:00:00","104","2019/01/22 04:59:59","0","-1","2000","0"
"30","1","0","0","1","31","35","2019/01/22 05:00:00","101","2019/01/27 04:59:59","0","-1","2000","0"
"40","1","0","0","1","41","36","2019/01/22 05:00:00","101","2019/01/27 04:59:59","0","-1","2000","0"
"30","1","0","0","1","32","37","2019/01/27 05:00:00","102","2019/02/01 04:59:59","0","-1","2000","0"
"40","1","0","0","1","42","38","2019/01/27 05:00:00","102","2019/02/01 04:59:59","0","-1","2000","0"
"30","1","0","0","1","34","39","2019/02/01 05:00:00","103","2019/02/10 04:59:59","0","-1","3000","0"
"40","1","0","0","1","44","40","2019/02/01 05:00:00","103","2019/02/10 04:59:59","0","-1","3000","0"
"40","1","0","0","1","45","41","2019/02/10 05:00:00","104","2019/02/19 04:59:59","0","-1","2000","0"
"30","1","0","0","1","31","42","2019/02/19 05:00:00","101","2019/02/24 04:59:59","0","-1","3000","0"
"40","1","0","0","1","41","43","2019/02/19 05:00:00","101","2019/02/24 04:59:59","0","-1","3000","0"
"30","1","0","0","1","32","44","2019/02/24 05:00:00","102","2019/03/01 04:59:59","0","-1","3000","0"
"40","1","0","0","1","42","45","2019/02/24 05:00:00","102","2019/03/01 04:59:59","0","-1","3000","0"
"30","1","0","0","1","34","46","2019/03/01 05:00:00","103","2019/03/11 04:59:59","0","-1","2000","0"
"40","1","0","0","1","44","47","2019/03/01 05:00:00","103","2019/03/11 04:59:59","0","-1","2000","0"
"80","1","0","0","1","151","48","2019/03/06 16:00:00","6004","2019/03/25 15:59:59","0","-1","1500","0"
"80","1","0","0","1","152","49","2019/03/06 16:00:00","6005","2019/03/25 15:59:59","0","-1","1500","0"
"40","1","0","0","1","45","50","2019/03/11 05:00:00","104","2019/03/22 04:59:59","0","-1","2000","0"
"30","1","0","0","1","31","51","2019/03/22 05:00:00","101","2019/03/27 04:59:59","0","-1","2000","0"
"40","1","0","0","1","41","52","2019/03/22 05:00:00","101","2019/03/27 04:59:59","0","-1","2000","0"
"30","1","0","0","1","32","53","2019/03/27 05:00:00","102","2019/04/01 04:59:59","0","-1","2000","0"
"40","1","0","0","1","42","54","2019/03/27 05:00:00","102","2019/04/01 04:59:59","0","-1","2000","0"
"30","1","0","0","1","34","55","2019/04/01 05:00:00","103","2019/04/11 04:59:59","0","-1","2000","0"
"40","1","0","0","1","44","56","2019/04/01 05:00:00","103","2019/04/11 04:59:59","0","-1","2000","0"
"80","1","0","0","1","151","57","2019/04/03 16:00:00","6004","2019/04/17 15:59:59","0","-1","1500","0"
"80","1","0","0","1","152","58","2019/04/03 16:00:00","6005","2019/04/17 15:59:59","0","-1","1500","0"
"40","1","0","0","1","45","59","2019/04/11 05:00:00","104","2019/04/21 04:59:59","0","-1","2000","0"
"30","1","0","0","1","31","60","2019/04/21 05:00:00","101","2019/04/26 04:59:59","0","-1","2000","0"
"40","1","0","0","1","41","61","2019/04/21 05:00:00","101","2019/04/26 04:59:59","0","-1","2000","0"
