dc34b82d2ead1618e3919b014871671cc386dd71d0ba026d97751b16b97f9994,9a6cc38a9c441326954dea0dbb9797a138572c7f97e3d6f86107b4470ca37158,2156ec6087f986449294406249f4d08d3fc1b54327d7b6acd37094e3b700baad,ccc97c6d10ba083690b0a58ea9f23b74206dc6da5bc26f7af33c9c6eafe391a2,2996573f7e825957acf3252c6866cecb71d94163f5828eaa025a4bde6a15c61f,30f67b8132f392ef417b3699e0dac8de0dafce61acc6211c731c448ee1ed787b,be8ae4de9b7cb135bbb6f561fe9dc729c3299023ec84c5198851f130b7540d6d,e3f73156a7b6e71e776241afe58795d9b4c72688bea9764c5338b878914fc180,ecc27ab01b6b52ec362b7f94e6a1a3da024e161e44b19ccdd565a24b996ac4e4,c506f699b1affaaae25de2e3c208dc5e67cf8e074851a855ebf34ab8dcb9deb0,72761b0c538db51791342e310f33abf94ddd52b1254a2428eeaa4db2ba8bba8c,896114734bd9b1160575afe4863799f9e67ebfe7d32c5d4d44981e8c721d8786
"0","2030/08/01 14:59:59","2015/12/17 15:00:00","可獲得隨機的 EXP 藥水。","0","隨機 EXP 藥水BOX","20000","2","6","0","0","1"
"0","2030/08/01 14:59:59","2015/12/17 15:00:00","用來強化角色的 Lv，使用後增加 60 的 EXP。","80","小型 EXP 藥水","20001","1","1","60","0","999999"
"0","2030/08/01 14:59:59","2015/12/17 15:00:00","用來強化角色的 Lv，使用後增加 300 的 EXP。","400","普通 EXP 藥水","20002","2","1","300","0","999999"
"0","2030/08/01 14:59:59","2015/12/17 15:00:00","用來強化角色的 Lv，使用後增加 1500 的 EXP。","2000","高劑量 EXP 藥水","20003","3","1","1500","0","999999"
"0","2030/08/01 14:59:59","2015/12/17 15:00:00","用來強化角色的 Lv，使用後增加 7500 的 EXP。","10000","特級 EXP 藥水","20004","4","1","7500","0","999999"
"0","2030/08/01 14:59:59","2015/12/17 15:00:00","用來強化角色的 Lv，使用後增加 37500 的 EXP。","50000","究極EXP藥水","20005","5","1","37500","0","999999"
"0","2030/08/01 14:59:59","2021/04/01 16:00:00","優花梨（聖誕節）專用的輝光水晶球。可將角色的能力值強化至Lv180/RANK19。","0","優花梨（聖誕節）專用水晶球 / Lv180","21001","1","21","1","0","999"
"0","2030/08/01 14:59:59","2021/05/04 16:00:00","矛依未（新年）專用的輝光水晶球。可將角色的能力值強化至Lv180/RANK19。","0","矛依未（新年）專用水晶球 / Lv180","21002","1","21","2","0","999"
"0","2030/08/01 14:59:59","2021/06/02 16:00:00","優衣（祭服）專用的輝光水晶球。可將角色的能力值強化至Lv180/RANK19。","0","優衣（祭服）專用水晶球 / Lv180","21003","1","21","3","0","999"
"0","2030/08/01 14:59:59","2021/07/05 16:00:00","莉瑪（灰姑娘）專用的輝光水晶球。可將角色的能力值強化至Lv180/RANK19。","0","莉瑪（灰姑娘）專用水晶球 / Lv180","21004","1","21","5","0","999"
