a613ea68747c3df75d5e944c7bd21852f58a28bf578064abb419f81e4d212d99,c5131d8eff28f111bfa9b4ba21da360a071ef235d37acaf2b4ff9170a390e229,2fe93329d5c2ed3f3057d8145dcbc92164efc30fd60935a72c5ec23bcb5311a0,2eaf4de626e2ffa6686fa3a2e52a95f629cdfdf2f02c459073a263d3d1c8af65,110f9e31d44ee29a43a7e31890bc41e3145b65bb2c178b8f3efab9610d46a322
"100101","2015/04/01 14:00:00","29","2099/08/01 14:59:59","加油！"
"100201","2015/04/01 14:00:00","30","2099/08/01 14:59:59","謝謝"
"100301","2015/04/01 14:00:00","31","2099/08/01 14:59:59","參戰"
"100401","2015/04/01 14:00:00","32","2099/08/01 14:59:59","早安~！！"
"100501","2021/12/09 12:00:00","59","2099/08/01 14:59:59","有點難為情呢"
"100601","2021/12/09 12:00:00","60","2099/08/01 14:59:59","好厲害喔～♪"
"100701","2021/12/09 12:00:00","61","2099/08/01 14:59:59","布丁～布丁～"
"100801","2021/12/09 12:00:00","62","2099/08/01 14:59:59","叫我嗎？"
"100901","2015/04/01 14:00:00","33","2099/08/01 14:59:59","就是現在！"
"101001","2015/04/01 14:00:00","34","2099/08/01 14:59:59","真是辛苦呀"
"101101","2015/04/01 14:00:00","35","2099/08/01 14:59:59","收到！"
"101201","2015/04/01 14:00:00","36","2099/08/01 14:59:59","開始囉─"
"101301","2021/12/09 12:00:00","63","2099/08/01 14:59:59","出現了！"
"101401","2021/12/09 12:00:00","64","2099/08/01 14:59:59","線索湊齊了呢"
"101501","2021/12/09 12:00:00","65","2099/08/01 14:59:59","好乖好乖♪"
"101601","2015/04/01 14:00:00","37","2099/08/01 14:59:59","OK！"
"101701","2015/04/01 14:00:00","38","2099/08/01 14:59:59","船到橋頭自然直"
"101801","2021/12/09 12:00:00","66","2099/08/01 14:59:59","我來教‧教‧你"
"102001","2015/04/01 14:00:00","39","2099/08/01 14:59:59","晚安"
"102101","2015/04/01 14:00:00","40","2099/08/01 14:59:59","哇！哇！"
"102201","2015/04/01 14:00:00","41","2099/08/01 14:59:59","抖~抖~"
"102301","2015/04/01 14:00:00","42","2099/08/01 14:59:59","怒怒"
"102501","2015/04/01 14:00:00","43","2099/08/01 14:59:59","辛苦啦…哇哇！？"
"102601","2021/12/09 12:00:00","67","2099/08/01 14:59:59","好累喔～"
"102701","2015/04/01 14:00:00","44","2099/08/01 14:59:59","呵呵呵…"
"102801","2015/04/01 14:00:00","45","2099/08/01 14:59:59","要上了！"
"102901","2015/04/01 14:00:00","46","2099/08/01 14:59:59","交給我！"
"103001","2021/12/09 12:00:00","68","2099/08/01 14:59:59","統一天下是也！"
