06335e755d651915bba20ac6915913c0dcd091e08897e9ef1a04a6bd93e5732b,8ea3d770100b428ba12634302d734a2d1a8a66d739d49f6c0fa9ba57806311d1,ba624ccd29c1e1ad4ff9fa3cd0fc318136bd00073e665db93a938d873069dee0,e9fdc80e7a89651da415a0272212db9fe08246a1dd3706e549a115814a76644b,d65c39c1ca86277351465203e577d6c2ec4db9046cd3127ade456b07b820819d,3523597e68782b78543a54f14c147e92419fc160f7e14ad4d99c3d60e4e4a252,1f7812eafd79dcdd231ae2d7b5300ff0875ebb564f13e582f311a34d33a872ae
"4","10064","1006401","20036104","開幕式","0","0"
"3","10064","1006402","20036104","開幕式","0","0"
"1","10064","1006403","20036104","賽跑","0","1006402"
"4","10064","1006404","20036104","賽跑","0","1006402"
"2","10064","1006405","20036104","賽跑","0","1006402"
"2","10064","1006406","20036104","騎馬戰","0","1006405"
"4","10064","1006407","20036104","騎馬戰","0","1006405"
"3","10064","1006408","20036106","午休時間","0","1006406"
"4","10064","1006409","20036106","午休時間","0","1006406"
"3","10064","1006410","20036106","各種學術文化展覽","0","1006408"
"4","10064","1006411","20036106","各種學術文化展覽","0","1006408"
"1","10064","1006412","20036106","各種學術文化展覽","0","1006408"
"4","10064","1006413","20036108","女僕咖啡廳","0","1006410"
"3","10064","1006414","20036108","女僕咖啡廳","0","1006410"
"3","10064","1006415","20036113","綜合接力賽","0","1006414"
"4","10064","1006416","20036113","綜合接力賽","0","1006414"
"1","10064","1006417","0","頒獎典禮","2003601","1006415"
"4","10064","1006418","0","頒獎典禮","2003601","1006415"
"2","10064","1006419","0","頒獎典禮","2003601","1006415"
"3","10064","1006420","0","閉幕式","2003601","1006419"
"4","10064","1006421","0","閉幕式","2003601","1006419"
"4","10064","1006422","0","達成動畫","2003601","1006420"
