6261f431f96f1de06cc3b9562aa01eda35c3058d3c70d51a8d3f7cc10442e65f,65afe792ccc538aa3951619782773d2502b9edc857359db279cd167a689a9b2d,4c519ca43c7ace9f17a2237af9360982e5ea01ee161f0c92a4dc508aee1cc1ad,6ea1631a933867a0f0374c8453ac9bfacad4ef24b6daac4787f6408de07b42af,262b7bf562be5a41898c0c94422f15e2984c57b2428f0b56e0f18bdb080dce54,7f94c1372140c474e185ce4c8c9c7a0cccf21795a56f1edcdd0a029c64eaa9e4,23b2e5a5645388348110e5c25f02606974c4ec7a39b716fdd14bb08a1235f0f8,443912d2bb68d1d9e29296191738373318c2034404d8e7e90f42606a3298b445,fa181ff98c4f4cded4e9f49771d4f073bb99908b2d594dd20792a04f012a4927,8efbfefb0f56ca39b2a6e171c38d8f6005931911d10e3a79d8005181e766892c,2f31c36ec3d2640165b65797b667644b54d6947f27d72620c4449e124339afb3
"1","1","1","pkb_idle_normal","1","-175","1010001","64","1.65","100","113511"
"","3","1","","113511","","1010002","","0.2","1","pkb_talk_wish"
"","21","1","","vo_minigame_1006","","1010003","0","","0","vo_minigame_1006_top_101"
"0","11","1","0","113511","0","1010004","0","0","8","今天也和老師\n一起努力加油吧～"
"","91","1","","0","","1010005","","","",""
"","3","1","","113511","","1010006","","0.2","1","pkb_idle_normal"
"1","1","2","pkb_idle_normal","1","-175","1020001","64","1.65","100","113511"
"","3","2","","113511","","1020002","","0.2","1","pkb_talk_wish"
"","21","2","","vo_minigame_1006","","1020003","0","","0","vo_minigame_1006_top_102"
"0","11","2","0.5","113511","0","1020004","0","0","6","老師很相信\n大家的實力喔～！\n要加油喲～♪"
"","93","2","","6","","1020005","","","",""
"","3","2","","113511","1","1020006","pkb_idle_normal","0.2","0","pkb_talk_fun"
"","91","2","","1020004","","1020007","","","",""
"","3","2","","113511","","1020008","","0.2","1","pkb_idle_normal"
"1","1","3","pkb_idle_normal","1","-175","1030001","64","1.65","100","113511"
"0.2","3","3","","113511","1","1030002","pkb_idle_normal","0.2","0","pkb_smile"
"","21","3","","vo_minigame_1006","","1030003","0","","0","vo_minigame_1006_top_103"
"0","11","3","0","113511","0","1030004","0","0","6","要小心別受傷喔，\n不可以勉強自己～♪"
"","93","3","","2","","1030005","","","",""
"","3","3","","113511","","1030006","","0.2","1","pkb_talk_wish"
"","91","3","","1030004","","1030007","","","",""
"","3","3","","113511","","1030008","","0.2","1","pkb_idle_normal"
"1","5","4","pkb_idle_normal_l","3","-155","1040001","64","57","100","3"
"0.2","3","4","","3","1","1040002","pkb_idle_arm_crossed_l","0.2","0","pkb_talk_arm_crossed_l"
"","21","4","","vo_minigame_1006","","1040003","0","","0","vo_minigame_1006_top_601"
"","11","4","0","3","0","1040004","0","0","8","今天的練習\n我也不會手下留情的！\n好好跟上我吧！"
"","91","4","","0","","1040005","","","",""
"","3","4","","3","","1040006","","0.2","1","pkb_idle_normal_l"
"1","5","5","pkb_idle_normal_l","3","-155","1050001","64","57","100","3"
"0.2","3","5","","3","1","1050002","pkb_idle_arm_crossed_l","0.2","0","pkb_talk_arm_crossed_l"
"","21","5","","vo_minigame_1006","","1050003","0","","0","vo_minigame_1006_top_602"
"","11","5","0","3","0","1050004","0","0","8","很好！\n提起幹勁\n開始練習吧──！"
"","93","5","","2","","1050005","","","",""
"0.2","3","5","","3","1","1050006","pkb_idle_normal_l","0.2","0","pkb_talk_handsup_l"
"","91","5","","1050004","","1050007","","","",""
