cf34da91dd6a0fd320a9cabf05de52b2475bea7dd8eb46d8f5add4c18b41d73d,6945800def8750e75572b99f83da8de41e4b65402def07266e34bcd9c40cbc22,203376db561537a3a183b1f334d5fe8e322b01b75f84de7024e1382da4b7fb71,40daad86138368a7cca8ce5b16b02866a3249b3915c45cdf5e40214298c84634,fc46fb47dec9f2bd541469db150ba7e404210397cbb29a5fe6ef86008542a3fc,86cbdd3790a3a44c8621bcb50c3a9880f953dbdec14f0e75aa578fb22c58d5cb,35d3134adc44d5b4ca8ba2e08653c4a1d56b2d45212949a0f8f8971df64121db
"1","10201101","10201","5201401","2025/06/01 16:00:00","10201101","0"
"1","10201102","10201","5201402","2025/06/07 16:00:00","10201151","0"
"2","10201201","10201","5201411","2025/06/01 16:00:00","13","5201010"
"1","10202101","10202","5202401","2025/07/01 16:00:00","10202101","0"
"2","10202201","10202","5202411","2025/07/01 16:00:00","23","0"
"1","10203101","10203","5203401","2025/08/01 16:00:00","10203101","0"
"2","10203201","10203","5203411","2025/08/01 16:00:00","23","5203007"
"1","10204101","10204","5204401","2025/09/01 16:00:00","10204101","0"
"2","10204201","10204","5204411","2025/09/01 16:00:00","23","5204006"
"1","10205101","10205","5205401","2025/10/01 16:00:00","10205101","0"
"2","10205201","10205","5205411","2025/10/01 16:00:00","23","0"
"1","10206101","10206","5206401","2025/11/01 16:00:00","10206101","0"
"2","10206201","10206","5206411","2025/11/01 16:00:00","23","5206007"
"1","10207101","10207","5207401","2025/12/01 16:00:00","10207101","0"
"2","10207201","10207","5207411","2025/12/01 16:00:00","23","5207007"
"1","10208101","10208","5208401","2026/01/01 16:00:00","10208101","0"
"2","10208201","10208","5208411","2026/01/01 16:00:00","23","5208007"
"1","10209101","10209","5209401","2026/02/01 16:00:00","10209101","0"
"2","10209201","10209","5209411","2026/02/01 16:00:00","23","5209007"
"1","10210101","10210","5210401","2026/03/01 16:00:00","10210101","0"
"2","10210201","10210","5210411","2026/03/01 16:00:00","23","5210000"
"1","10211101","10211","5211401","2026/04/01 16:00:00","10211101","0"
"2","10211201","10211","5211411","2026/04/01 16:00:00","23","5211006"
"1","10212101","10212","5212401","2026/05/01 16:00:00","10212101","0"
"2","10212201","10212","5212411","2026/05/01 16:00:00","23","5212007"
"1","10213101","10213","5213401","2026/06/01 16:00:00","10213101","0"
"1","10213102","10213","5213402","2026/06/13 16:00:00","10213151","0"
"2","10213201","10213","5213411","2026/06/01 16:00:00","23","5213013"
"3","10213302","10213","5213602","2026/06/13 16:00:00","0","0"
"1","10214101","10214","5214401","2026/07/01 16:00:00","10214101","0"
"2","10214201","10214","5214411","2026/07/01 16:00:00","23","5214006"
"1","10215101","10215","5215401","2026/08/01 16:00:00","10215101","0"
"2","10215201","10215","5215411","2026/08/01 16:00:00","23","5215006"
