8e38d5c5310e09fd542666c5937efa26c6302903d17fbb545cf7ea76803cf260,689c8007cc0c26f49e447d6a64ea960ab8069795f45145b0306b8b6987d00c9d,cec6f68871eb60fceffce382568dc31096a8ab62c64de4d2def2529f18a685c5,232b5dd139c682963689fe393f6a20bac6a06603caa577ad9fa73869f910e389
"1","1001","1","11001"
"2","1001","0","11002"
"3","1001","0","11003"
"4","1001","0","11004"
"5","1001","0","11005"
"6","1001","0","12001"
"7","1001","0","12002"
"8","1001","0","12003"
"9","1001","0","12004"
"10","1001","0","12005"
"11","1001","0","13001"
"12","1001","0","13002"
"13","1001","0","13003"
"14","1001","0","13004"
"15","1001","0","13005"
"16","1001","0","14001"
"17","1001","0","14002"
"18","1001","0","14003"
"19","1001","0","14004"
"20","1001","0","14005"
"21","1001","0","15001"
"22","1001","0","15002"
"23","1001","0","15003"
"24","1001","0","15004"
"25","1001","0","15005"
"26","1001","0","21001"
"27","1001","0","21002"
"28","1001","0","21003"
"29","1001","0","21004"
"30","1001","0","21005"
"31","1001","0","22001"
"32","1001","0","22002"
"33","1001","0","22003"
"34","1001","0","22004"
"35","1001","0","22005"
"36","1001","0","23001"
"37","1001","0","23002"
"38","1001","0","23003"
"39","1001","0","23004"
"40","1001","0","23005"
"41","1001","0","24001"
"42","1001","0","24002"
"43","1001","0","24003"
"44","1001","0","24004"
"45","1001","0","24005"
"46","1001","0","25001"
"47","1001","0","25002"
"48","1001","0","25003"
"49","1001","0","25004"
"50","1001","0","25005"
"51","1001","0","31001"
"52","1001","0","31002"
"53","1001","0","31003"
"54","1001","0","31004"
"55","1001","0","31005"
"56","1001","0","32001"
"57","1001","0","32002"
"58","1001","0","32003"
"59","1001","0","32004"
"60","1001","0","32005"
"61","1001","0","33001"
"62","1001","0","33002"
"63","1001","0","33003"
"64","1001","0","33004"
"65","1001","0","33005"
"66","1001","0","34001"
"67","1001","0","34002"
"68","1001","0","34003"
"69","1001","0","34004"
"70","1001","0","34005"
"71","1001","0","35001"
"72","1001","0","35002"
"73","1001","0","35003"
"74","1001","0","35004"
"75","1001","0","35005"
"76","1002","1","11001"
"77","1002","0","11002"
"78","1002","0","11003"
"79","1002","0","11004"
"80","1002","0","11005"
"81","1002","0","12001"
"82","1002","0","12002"
"83","1002","0","12003"
"84","1002","0","12004"
"85","1002","0","12005"
"86","1002","0","13001"
"87","1002","0","13002"
"88","1002","0","13003"
"89","1002","0","13004"
"90","1002","0","13005"
"91","1002","0","14001"
"92","1002","0","14002"
"93","1002","0","14003"
"94","1002","0","14004"
"95","1002","0","14005"
"96","1002","0","15001"
"97","1002","0","15002"
"98","1002","0","15003"
"99","1002","0","15004"
"100","1002","0","15005"
"101","1002","0","21001"
"102","1002","0","21002"
"103","1002","0","21003"
"104","1002","0","21004"
"105","1002","0","21005"
"106","1002","0","22001"
"107","1002","0","22002"
"108","1002","0","22003"
"109","1002","0","22004"
"110","1002","0","22005"
"111","1002","0","23001"
"112","1002","0","23002"
"113","1002","0","23003"
"114","1002","0","23004"
"115","1002","0","23005"
"116","1002","0","24001"
"117","1002","0","24002"
"118","1002","0","24003"
"119","1002","0","24004"
"120","1002","0","24005"
"121","1002","0","25001"
"122","1002","0","25002"
"123","1002","0","25003"
"124","1002","0","25004"
"125","1002","0","25005"
"126","1002","0","31001"
"127","1002","0","31002"
"128","1002","0","31003"
"129","1002","0","31004"
"130","1002","0","31005"
"131","1002","0","32001"
"132","1002","0","32002"
"133","1002","0","32003"
"134","1002","0","32004"
"135","1002","0","32005"
"136","1002","0","33001"
"137","1002","0","33002"
"138","1002","0","33003"
"139","1002","0","33004"
"140","1002","0","33005"
"141","1002","0","34001"
"142","1002","0","34002"
"143","1002","0","34003"
"144","1002","0","34004"
"145","1002","0","34005"
"146","1002","0","35001"
"147","1002","0","35002"
"148","1002","0","35003"
"149","1002","0","35004"
"150","1002","0","35005"
