82cff6836a14945a0d9b951bba77d3a170899264f139edee06366a046bfd353a,48aa8ed7b08320c6e9f44e59a7d23f3bac14602702905944617aac6ef204960c,06ca03f2efb663bfa5dfec97e12e5a6c20a820bbaeb3a90ce348394079a576b0,24b81176f557c3cbfb001e2d5b7207d636bd83a3995248eb696e08a227b31c14,acea3e46f7b75ff9e1a3ae56c231e5c158f964bcd23ac0aed091594ceeee4b1e,3743371c68eb6a157179fc68fecd7856ffca3c6c8c9dce7a2bf5ba0308bbea10,2759a75f81e9525948b5c978a47d6667bf96d239f3a3bf32372b43cce1c7bf58,48e3b41d3c6ef905d5da1054b2b2b70ea21292bb63bb7229bda79b43d85fdbb6,b3caa8ad0f333d6a1f0a1cbc8ffde3dee1b24736e777d4033125f158cf061b9a,8234059c92d5d47f17b7ae5cba974f634aa5260c489f5bfc01f9f424ec8f459c,47be2b0fc4f8a7f626b9b17f47f06964d76f5f5a10bdf8930a25b84a5fe97824,699767d543e307aa6565e13379eb148695dabf7d97c4641bc64f54a45863b840,6849aaeb34f92cd617bb7fbbed322e394e5ae000530ff4b36142c2eee5305aa5,f7ce7d1f714164124406b772efda8192444d71ed1801396d743ceffb8eb28c0a,df54f4d61c7621f9eaebd24235748635d3725fc7a42587301817c189310d60ad,71b67c68af8d0ccec2554edd797de775d3d95c7f95ea99e125f599271095eb92
"0","0","0","0","1","15","0","20000","0","0","收集 15 種布丁","94002","0","0","1","12"
"0","0","0","0","1","30","0","30000","0","0","收集 30 種布丁","94002","0","0","2","12"
"0","0","0","0","1","40","0","50","0","0","收集 40 種布丁","91002","0","0","3","8"
"0","0","0","0","1","50","0","50000","0","0","收集 50 種布丁","94002","0","0","4","12"
"0","0","0","0","1","55","0","50","0","0","收集 55 種布丁","91002","0","0","5","8"
"0","0","0","0","1","60","0","100000","0","0","收集 60 種布丁","94002","0","0","6","12"
"0","0","0","91002","1","66","0","1","0","0","收集所有 66 種布丁","11001164","8","100","7","15"
"0","0","0","0","2","25","0","50000","0","0","完成 25％ 布丁筆記本","94002","0","0","8","12"
"0","0","0","0","2","50","0","50","0","0","完成 50％ 布丁筆記本","91002","0","0","9","8"
"0","0","0","0","2","75","0","100000","0","0","完成 75％ 布丁筆記本","94002","0","0","10","12"
"0","8","91002","11001165","2","100","0","1","0","100","完成 100％ 布丁筆記本","9000100","15","1","11","16"
